,name,desc,angel_url,location,employees,raised,website,angel_id
33,Clutter,Making the world more convenient.,https://angel.co/clutter,San Francisco,201-500,96300000.0,http://clutter.com,251943
34,Calm,Making the world happier and healthier through the superpower of Calm.,https://angel.co/calm,San Francisco,11-50,993000.0,http://www.calm.com,89425
35,Bloc,Structured online training programs in software development and design.,https://angel.co/bloc,San Francisco,51-200,8000000.0,https://www.bloc.io,28772
36,BetterUp,Personalized leadership development for everyone,https://angel.co/betterup,San Francisco,51-200,12900000.0,http://www.betterup.co,416859
37,Unity Technologies,"Unity is the world’s leading platform for creating and operating real-time 3D (RT3D) content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life",https://angel.co/unity-technologies,San Francisco,1001-5000,17500000.0,http://unity3d.com,38445
38,Chewse,Chewse delivers family-style office meals from the best local restaurants.,https://angel.co/chewse,San Francisco,11-50,16000000.0,https://www.chewse.com/,30557
39,NexTravel,Business Travel Made Simple,https://angel.co/nextravel,San Francisco,11-50,9900000.0,http://www.nextravel.com,665683
40,Mode,Collaborative Analytics Platform,https://angel.co/mode,San Francisco,51-200,10425000.0,http://modeanalytics.com,282640
41,Wefunder,"""Kickstarter for investing"".  Saving the American Dream for the next generation.",https://angel.co/wefunder,San Francisco,11-50,6067000.0,http://www.wefunder.com,75239
42,Gigster,Software development on-demand,https://angel.co/gigster,San Francisco,51-200,10000000.0,https://gigster.com,244177
43,Loom.ai,"Personalized expressive 3D avatars from photographs for chat, mobile AR, VR, e-commerce",https://angel.co/loomai,San Francisco,11-50,9900000.0,http://loom.ai,1111456
44,Republic,Invest in startups via Republic equity crowdfunding platform,https://angel.co/republic,San Francisco,11-50,9900000.0,https://republic.co,1105543
45,Scale API,API for human intelligence,https://angel.co/scaleapi,San Francisco,11-50,4500000.0,http://scaleapi.com,1160092
46,Bright,SolarCity for the developing world,https://angel.co/bright-3,San Francisco,1-10,4240000.0,http://thinkbright.mx,400547
47,Fitbit,"we are a company dedicated to providing clients with life-changing health and fitness products. We offer a large assortment of smartwatches, scales, apparel, apps, fitness trackers, how-to videos, accessories, and a wide assortment of other tools to help people attain their wellness goals.",https://angel.co/fitbit,San Francisco,1001-5000,66000000.0,http://www.fitbit.com,32178
48,Seed,Online Business Banking,https://angel.co/seed-8,San Francisco,11-50,5000000.0,https://seed.co,462906
49,Grove Collaborative,"Helping families create a healthy, beautiful environment in their homes",https://angel.co/grovecollab,San Francisco,11-50,44700000.0,http://www.grove.co,166017
50,Mystery Science,Open-and-go lessons that inspire kids to love science.,https://angel.co/mystery-science,San Francisco,11-50,9900000.0,http://mysteryscience.com,135064
51,Xola,Booking & Distribution Platform for Experience Providers. (Sabre for Activities).,https://angel.co/xola,San Francisco,11-50,6800000.0,http://www.xola.com,19935
52,Opencare,Your personal healthcare expert,https://angel.co/opencare,San Francisco,1-10,9900000.0,https://www.opencare.com,175143
53,8tracks,Internet radio curated by people | 5m MAU,https://angel.co/8tracks,San Francisco,11-50,5100000.0,http://8tracks.com,4741
54,Lenda,"We make home loans honest, fast, and completely online.",https://angel.co/lenda,San Francisco,11-50,9000000.0,https://www.lenda.com,214025
55,Triplebyte,Intelligent technical recruiting,https://angel.co/triplebyte,San Francisco,11-50,3000000.0,https://triplebyte.com,696603
56,UrbanSitter,Your community's most trusted babysitters and nannies. On-demand.,https://angel.co/urbansitter,San Francisco,11-50,22400000.0,https://www.urbansitter.com,21275
57,Standard Cyborg,The API for the Physical World,https://angel.co/standard-cyborg,San Francisco,1-10,9900000.0,http://standardcyborg.com,431970
58,Instaread,Enrich human lives through voice,https://angel.co/instaread,San Francisco,11-50,1675000.0,http://instaread.co,581757
59,Kelvin,Intelligent Control for Natural Resource Operations,https://angel.co/kelvin-6,San Francisco,11-50,9900000.0,http://kelvininc.com,183382
60,Zipline,Real-time Operations for Retail,https://angel.co/retailzipline,San Francisco,11-50,9900000.0,http://www.retailzipline.com,584082
61,Siftery,"Share products you use at work, explore what others are using",https://angel.co/siftery,San Francisco,11-50,4000000.0,https://siftery.com,867984
62,TrendMD,Knowledge discovery for doctors,https://angel.co/trendmd,San Francisco,11-50,9900000.0,https://www.trendmd.com/,112410
63,PlanGrid,Bridging the gap between good software and the construction industry,https://angel.co/plangrid,San Francisco,201-500,59100000.0,http://www.plangrid.com,85839
64,MURAL,Visual workspace that helps you design together,https://angel.co/mural,San Francisco,11-50,2075000.0,http://www.mural.co,23166
65,Instawork,Local jobs marketplace (YC S15),https://angel.co/instawork,San Francisco,51-200,9900000.0,http://www.instawork.com,837595
66,Equidate,The stock market for private companies.,https://angel.co/equidate,San Francisco,11-50,3500000.0,https://equidateinc.com/,330569
67,Stripe,The new standard in online payments.,https://angel.co/stripe,San Francisco,1001-5000,343000000.0,https://stripe.com/,37232
68,Memebox,Beauty Full Stack E-Commerce,https://angel.co/memebox,San Francisco,51-200,156200000.0,http://us.memebox.com,431924
69,Gridspace,Software that understands and automates real-time conversation,https://angel.co/gridspace,San Francisco,11-50,9900000.0,http://www.gridspace.com/,523636
70,Fleksy,"Touch typing, re-invented",https://angel.co/fleksy,San Francisco,11-50,5900000.0,http://fleksy.com/,103541
71,App.io,Interactive streaming like never before.,https://angel.co/app-io,San Francisco,1-10,1180000.0,http://app.io,102051
72,Close.io,Inside Sales Communication Platform. Helps sales people close more deals. Y Combinator.,https://angel.co/close-io,San Francisco,11-50,9900000.0,http://close.io/,103032
73,Joist,Estimating & Invoicing Tool for Contractors,https://angel.co/joist,San Francisco,11-50,9900000.0,http://www.joist.com,103703
74,Dealflicks,Priceline for movie tickets,https://angel.co/dealflicks,San Francisco,11-50,4600000.0,http://www.dealflicks.com,104489
75,Discoverly,Put Social to Work,https://angel.co/discoverly,San Francisco,1-10,750000.0,http://Discover.ly,104133
76,BeRecruited,LinkedIn/Match.com for College Athletic Recruiting,https://angel.co/berecruited,San Francisco,11-50,1200000.0,http://berecruited.com,103791
77,Sense,Enterprise Data Science Platform,https://angel.co/sense,San Francisco,1-10,11260000.0,https://sense.io,105875
78,Meldium,Account & password manager for teams (YC W13),https://angel.co/meldium,San Francisco,11-50,16000000.0,https://www.meldium.com,106374
79,OLSET,OLSET - Personalized Travel Booking,https://angel.co/olset,San Francisco,1-10,2815000.0,http://www.olset.com,106081
80,Plympton,Digital Publisher and Distributor,https://angel.co/plympton,San Francisco,1-10,80000.0,http://plympton.com,108489
81,Partnered,The company-to-company business development network connecting startups and brands,https://angel.co/partnered,San Francisco,1-10,1098400.0,http://partnered.com,108524
82,Mango Health,Mobile health company inspiring patients with chronic conditions to lead healthier lives.,https://angel.co/mango-health,San Francisco,11-50,8300000.0,http://www.mangohealth.com,112863
83,Xockets,Acceleration appliances for Big Data analytics,https://angel.co/xockets,San Francisco,1-10,9900000.0,http://xockets.com,114527
84,Celery,Accept Pre-Orders Easily,https://angel.co/celery-5,San Francisco,11-50,2300000.0,https://www.trycelery.com,114450
85,Kamcord,(YC S12),https://angel.co/kamcord,San Francisco,11-50,37250000.0,http://kamcord.com,115146
86,NoRedink,Adaptive learning tool that helps students improve their grammar/writing skills.,https://angel.co/noredink,San Francisco,11-50,8000000.0,http://www.noredink.com,115616
87,FlightCar,Travel made convienent,https://angel.co/flightcar,San Francisco,51-200,40410000.0,https://www.flightcar.com,117187
88,Grow Mobile,A single mobile ad buying solution across networks with ROI analytics and optimization.  ,https://angel.co/grow-mobile,San Francisco,51-200,43000000.0,http://www.growmobile.com,117240
89,Foundersuite,Productivity tools for the world's 400M entrepreneurs.,https://angel.co/foundersuite,San Francisco,1-10,9900000.0,http://www.foundersuite.com,117816
90,Bitnami,"Easy to use cloud images, containers, and VMs that work on any platform.",https://angel.co/bitnami,San Francisco,51-200,9900000.0,https://bitnami.com,108348
91,Famous.AF / Stolen,Be the biggest fan of your favorite people on Twitter!,https://angel.co/famousaf,San Francisco,11-50,5500000.0,http://famous.af,108911
92,Cloudflare,Cloudflare's mission is to help build a better Internet.,https://angel.co/cloudflare,San Francisco,201-500,182050000.0,http://www.cloudflare.com,112288
93,Meetings.io,Effortless Video Meetings,https://angel.co/meetings-io,San Francisco,0,9900000.0,http://meetings.io,111423
94,RentMetrics,The Pricing Source For The Rental Market,https://angel.co/rentmetrics,San Francisco,1-10,9900000.0,http://www.rentmetrics.com,149576
95,doxIQ,document analytics startup. acquired by Nitro in 2015,https://angel.co/doxiq,San Francisco,1-10,9900000.0,http://www.gonitro.com,153114
96,LawPal,Conversational search AI for Law ,https://angel.co/lawpal,San Francisco,1-10,9900000.0,https://lawpal.com/,149072
97,byUs,Exclusive recommendations for hard-to-find service providers.,https://angel.co/byus,San Francisco,1-10,1500000.0,http://byUs.com,152954
98,Graph Ventures,Early stage investing,https://angel.co/graph,San Francisco,1-10,9900000.0,http://graphventures.com,181901
99,Unwind Me,"Massage Made Simple: The best therapists, straight to you, at an affordable price (YC S14)",https://angel.co/unwind-me,San Francisco,1-10,9900000.0,http://unwind.me,182792
100,Judicata,Mapping the legal genome to help you better understand the law.,https://angel.co/judicata,San Francisco,11-50,7825000.0,https://www.judicata.com,183868
101,Rock Health,Full-service seed funding for digital health startups,https://angel.co/rockhealth,San Francisco,1-10,9900000.0,http://rockhealth.com,181176
102,Spire,Platform for continuous respiratory health data. Products sold in Apple Stores globally.,https://angel.co/spire,San Francisco,11-50,9500000.0,https://spire.io,182252
103,Jackson Square Ventures,VC firm investing in SaaS and marketplaces. ,https://angel.co/jsv,San Francisco,1-10,9900000.0,http://jsv.com,183093
104,Startcaps Ventures,VC firm,https://angel.co/startcaps-ventures,San Francisco,1-10,9900000.0,http://www.startcaps.com,183416
105,Streem,Unlimited Cloud Storage For Your Media (YC S12),https://angel.co/streem,San Francisco,1-10,875000.0,https://www.streem.com,175020
106,BloomThat,Send a little something! Fresh Stems + Sweet Surprises,https://angel.co/bloomthat,San Francisco,11-50,7600000.0,http://www.bloomthat.com,175330
107,Lantern,Mental health on demand,https://angel.co/lantern-2,San Francisco,11-50,20800000.0,http://www.golantern.com,176117
108,Mulu,Deep Learning for Intelligent Commerce,https://angel.co/mulu,San Francisco,1-10,3641507.0,http://www.mulu.me,126070
109,Trifacta,People • Transforming • Data,https://angel.co/trifacta,San Francisco,11-50,76300000.0,http://trifacta.com,127585
110,Sumazi,"Sumazi was a social media and social intelligence platform for enterprises, brands and celebrities. Its technology performs social data analysis across social networking services",https://angel.co/sumazi,San Francisco,1-10,9900000.0,http://www.Sumazi.com,125092
111,Walletkit,Powering the future of Mobile Wallets.,https://angel.co/walletkit,San Francisco,1-10,9900000.0,http://www.walletkit.com,124939
112,Chronos Mobile Technologies,Turning passively collected data into actionable insights,https://angel.co/waldo-2,San Francisco,1-10,9900000.0,http://www.chronosmobiletechnologies.com,125407
113,Zesty,Healthy office catering (YC W14),https://angel.co/zesty-1,San Francisco,51-200,20700000.0,http://zesty.com,126085
114,Floqq,Online Education ,https://angel.co/floqq,San Francisco,11-50,925000.0,http://www.floqq.com,126514
115,KidAdmit,Giving your kids every opportunity,https://angel.co/kidadmit,San Francisco,1-10,500000.0,http://www.kidadmit.com,127242
116,AuditFile,Cloud based audit software for CPA firms,https://angel.co/auditfile,San Francisco,1-10,6000000.0,http://www.auditfile.com,127822
117,Stayful,Transforms a traveler’s entire hotel experience from booking to checkout.,https://angel.co/stayful,San Francisco,1-10,2400000.0,https://itunes.apple.com/us/app/stayful-boutique-hotel-bookings/id895110067?mt=8,184846
118,Vacatia,Resort Marketplace for Vacationing Families & Friends,https://angel.co/vacatia,San Francisco,11-50,13800000.0,https://vacatia.com,185252
119,CloudPeeps,The #1 all-in-one platform for running a freelance business,https://angel.co/cloudpeeps,San Francisco,1-10,9900000.0,http://cloudpeeps.com,97247
120,True & Co,"Reinventing bra shopping. No fitting rooms, no measuring tape.",https://angel.co/true-co,San Francisco,11-50,9900000.0,http://trueandco.com,99087
121,LearnUp - Acquired by Manpower Group,Empowering job seekers to achieve their career goals,https://angel.co/learnup,San Francisco,11-50,9900000.0,http://www.learnup.com,99125
122,Degreed,Jailbreaking the Degree,https://angel.co/degreed,San Francisco,1-10,40800000.0,http://degreed.com/,100410
123,Hired,The Marketplace for Talent,https://angel.co/hired-1,San Francisco,51-200,102700000.0,http://www.Hired.com,100580
124,Airseed,Customer & Loyalty Intelligence,https://angel.co/airseed,San Francisco,1-10,9900000.0,http://www.airseed.com,100795
125,Formation | 8,VC ,https://angel.co/formation-8,San Francisco,11-50,9900000.0,http://www.formation8.com/,179221
126,uBiome,Big Data from Bacteria,https://angel.co/ubiome,San Francisco,201-500,21500000.0,http://www.ubiome.com,175531
127,SoundFocus,Supercharge Your Hearing (YC S13),https://angel.co/soundfocus,San Francisco,1-10,1850000.0,http://www.soundfocus.com,175062
128,bop.fm,Intelligent permalinks for songs,https://angel.co/bop-fm,San Francisco,1-10,2000000.0,http://bop.fm,176814
129,SocialSign.in,Connecting people at and with great venues,https://angel.co/socialsign-in,San Francisco,1-10,9900000.0,http://socialsign.in,176940
130,MyCrowd QA - A QASource Company,Software crowdtesting,https://angel.co/mycrowd-qa,San Francisco Bay Area,501-1000,9900000.0,https://www.mycrowd.com,163781
131,AirPair,Micro Consulting Marketplace,https://angel.co/airpair,San Francisco,1-10,1000000.0,http://www.airpair.com,166232
132,Misfit,Inventing and manufacturing wearable and smart home products,https://angel.co/misfit,San Francisco,51-200,324396675.0,http://www.misfit.com,167266
133,Plastiq,"Make payments for tuition, cars, and more on credit card",https://angel.co/plastiq,San Francisco,11-50,29300000.0,https://www.plastiq.com/,167892
134,URX,"The Deeplink Search Engine, For Developers (YC S13)",https://angel.co/urx,San Francisco,11-50,15100000.0,http://www.urx.com,164278
135,Heavybit,Take your developer product to market,https://angel.co/heavybit-industries,San Francisco,1-10,9900000.0,http://heavybit.com,153310
136,Genies,Launching soon on the app store,https://angel.co/genies,San Francisco,11-50,16500000.0,https://genies.la,164891
137,Massdrop,A social space and marketplace curated by you.,https://angel.co/massdrop,San Francisco,51-200,47900000.0,http://massdrop.com,165149
140,SafeGraph,we predict the past,https://angel.co/safegraph,San Francisco,11-50,16000000.0,http://www.safegraph.com,1145472
142,Practice Fusion,"Practice Fusion is a web-based electronic health record (EHR) company based in San Francisco, CA. The company was founded in 2005 by Ryan Howard and acquired by Allscripts in 2018.",https://angel.co/practice-fusion,San Francisco,201-500,240019998.0,http://www.practicefusion.com/,33091
143,Fieldwire,The construction app for the field,https://angel.co/fieldwire,San Francisco,11-50,6600000.0,http://www.fieldwire.com,27490
144,Drive Motors,Online checkout for car dealerships (Y Combinator W2016),https://angel.co/drive-motors,San Francisco,1-10,9900000.0,http://www.drivemotors.com,578126
145,StackShare,"See the best SaaS tools and infrastructure, and who’s using them.",https://angel.co/stackshare,San Francisco,1-10,7000000.0,https://stackshare.io,210266
146,Yoshi,Never go to the gas station again,https://angel.co/startyoshi,San Francisco,11-50,2100000.0,http://www.startyoshi.com,2198156
147,Zumper,Bringing magic to your apartment search,https://angel.co/zumper,San Francisco,51-200,32150000.0,https://www.zumper.com,103929
148,Sonar,Helping companies drive revenue with mobile messaging,https://angel.co/sonar-5,San Francisco,1-10,9900000.0,https://www.sendsonar.com,447759
149,Blend,"Blend makes the process of getting a loan simple, fast, and safe! With its digital lending platform, Blend helps financial institutions including Wells Fargo and U.S. Bank increase productivity and deliver exceptional customer experiences.",https://angel.co/blend,San Francisco,51-200,160000000.0,http://blend.com,91411
150,CloudApp,Work at the speed of sight.,https://angel.co/cloudapp,San Francisco,11-50,2000000.0,http://getcloudapp.com,827864
151,AdRoll Group,Power connections that drive growth,https://angel.co/adroll,San Francisco,501-1000,89000000.0,http://adroll.com,40424
152,Talkable,Referral Marketing Platform (YC W11),https://angel.co/talkable,San Francisco,11-50,1200000.0,http://www.talkable.com,21048
153,Localize,Localization as a Service,https://angel.co/localize,San Francisco,11-50,1200000.0,https://localizejs.com,376679
154,Sharethrough,Native monetization tech for modern publishers and media companies. ,https://angel.co/sharethrough,San Francisco,51-200,28000000.0,http://www.sharethrough.com,32416
155,Demandbase,"At Demandbase, we are the leader in Account-Based Marketing (ABM) offering the only comprehensive AI-enabled ABM platform. We are passionately dedicated to helping B2B marketers achieve greater business impact.",https://angel.co/demandbase,San Francisco,201-500,78000000.0,http://www.demandbase.com,32132
156,Leap Motion,Reach into virtual reality with your bare hands,https://angel.co/leap-motion,San Francisco,51-200,124050000.0,http://www.leapmotion.com,6343
157,Wonolo,Fast. Flexible. Staffing Reinvented.,https://angel.co/wonolo,San Francisco,11-50,7900000.0,http://wonolo.com,377879
158,Iterable,"Growth Marketing Platform by Ex-Twitter, Google team. $23M Series B led by Index Ventures.",https://angel.co/iterable,San Francisco,51-200,32200000.0,http://iterable.com,184903
159,Truly,Make Calling Your Competitive Advantage,https://angel.co/trulywireless,San Francisco,11-50,9900000.0,https://truly.co,204827
160,Techmate,Your Technology Concierge (YC S16),https://angel.co/techmate,San Francisco,11-50,9900000.0,https://jointechmate.com,1380611
161,Survata,The Brand Intelligence Platform ,https://angel.co/survata,San Francisco,11-50,7667000.0,http://www.survata.com,182277
162,Plate IQ,Redefining restaurant operations (YC S15),https://angel.co/plateiq,San Francisco,11-50,5300000.0,http://plateiq.com/,571588
163,LawTrades,Creating an open legal system,https://angel.co/lawtrades,San Francisco,1-10,1875000.0,http://www.lawtrades.com,227291
164,Affirm,Bringing transparency to consumer credit.,https://angel.co/affirm,San Francisco,201-500,420000000.0,https://www.affirm.com/,178430
165,Apptimize,Accelerate mobile innovation,https://angel.co/apptimize,San Francisco,11-50,18400000.0,http://apptimize.com,172493
166,AngelList,A platform for startups,https://angel.co/angellist,San Francisco,51-200,24000000.0,http://angel.co,6702
167,NanoNets,Machine Learning as a Service for Developers,https://angel.co/nanonets,San Francisco,11-50,1620000.0,https://nanonets.com,3188382
168,SFOX,Advanced Bitcoin Trading Platform,https://angel.co/sfox,San Francisco,1-10,9900000.0,https://www.sfox.com,470868
171,MUBI,Curated Film Streaming Service ,https://angel.co/mubi,San Francisco,51-200,27050000.0,http://mubi.com,780
172,Yup.com,Making personalized learning more accessible for students globally.,https://angel.co/yuptechnologies,San Francisco,11-50,11500000.0,https://www.yup.com,845834
173,Minted,Design marketplace that connects people with the world’s best artists.,https://angel.co/minted,San Francisco,201-500,87000000.0,http://www.minted.com,32625
174,Truebill,Effortless Subscription Management,https://angel.co/truebill,San Francisco,1-10,1900000.0,http://www.truebill.com,969483
175,Outschool,Community marketplace of live online classes for K-12,https://angel.co/outschool,San Francisco,1-10,9900000.0,https://outschool.com,805012
176,mLab,Fully managed Database-as-a-Service for MongoDB,https://angel.co/mlab,San Francisco,11-50,8000000.0,https://mlab.com,53398
177,KITE,Unlocking enterprise growth through startup innovation,https://angel.co/kite-2,San Francisco,11-50,9900000.0,http://www.GetKITE.Co,177695
178,Constructor.io,Autocomplete and Search Enhancement as a Service,https://angel.co/constructor-io,San Francisco,11-50,9900000.0,https://Constructor.io,690214
179,Layer,"Imagine, Design, and Engage in the Perfect Customer Conversation",https://angel.co/layer,San Francisco,11-50,22000000.0,https://layer.com/,262548
180,Twitch,Social Video for Gamers,https://angel.co/twitch,San Francisco,501-1000,1005000000.0,http://www.twitch.tv/,114142
181,Counsyl,an innovative tech company providing people w/ vital information about their bodies ,https://angel.co/counsyl,South San Francisco,201-500,32900000.0,https://www.counsyl.com/,35667
182,Kinsa,The world's smartest thermometer,https://angel.co/kinsa,San Francisco,11-50,28600000.0,http://www.kinsahealth.com,196730
183,AdStage,Connecting the Paid Marketer to the Data That They Need,https://angel.co/adstage,San Francisco,11-50,10800000.0,https://www.adstage.io,88378
184,Qordoba,The Qordoba Strings Intelligence Platform: Manage all the words in your products,https://angel.co/qordoba,San Francisco,11-50,10000000.0,http://Qordoba.com,191603
185,Chariot,"Your Commute, Solved",https://angel.co/chariot,San Francisco,51-200,3000000.0,http://www.chariot.com,369431
186,Bugsnag,Automatic crash detection for web and mobile apps,https://angel.co/bugsnag,San Francisco,11-50,8600000.0,https://bugsnag.com,122266
187,Envoy,Challenging the status quo of workplace technology.,https://angel.co/envoy,San Francisco,51-200,15000000.0,https://envoy.com,305102
188,TapFwd,Private data sharing between companies,https://angel.co/tapfwd,San Francisco,11-50,3000000.0,http://www.tapfwd.com,326510
189,Mixmax,Email reimagined.,https://angel.co/mixmax,San Francisco,11-50,1500000.0,http://mixmax.com,477880
190,ThirdLove,We believe fit should come first,https://angel.co/thirdlove-1,San Francisco,51-200,13600000.0,http://www.thirdlove.com,179848
191,Onfleet,Delightful Delivery Management,https://angel.co/onfleet,San Francisco,11-50,4920000.0,https://onfleet.com,97349
192,Scoot Networks,Electric Vehicles for Everyone,https://angel.co/scoot-networks,San Francisco,51-200,9900000.0,http://www.scoot.com,26336
193,Euclid,Illuminating identity and behavior for the physical world.,https://angel.co/euclid,San Francisco,11-50,43600000.0,https://geteuclid.com/,37902
194,UpCounsel,Making the legal experience remarkable,https://angel.co/upcounsel,San Francisco,11-50,13900000.0,http://www.upcounsel.com,75920
195,Luxe,On-demand valet parking and car services,https://angel.co/luxe-1,San Francisco,51-200,75500000.0,http://www.luxe.com/,378495
196,Fysical Labs,High Accuracy Location Data,https://angel.co/fysical,San Francisco,1-10,1515000.0,https://fysical.com/,622041
197,VoiceOps,AI for enterprise voice data,https://angel.co/voiceops,San Francisco,11-50,9900000.0,https://voiceops.com,1204390
198,WorkStep,Job network for hourly workers,https://angel.co/workstep,San Francisco,1-10,9900000.0,https://www.workstep.com,4277247
199,Shippo,Helping businesses succeed through shipping,https://angel.co/shippo,San Francisco,51-200,31025000.0,https://goshippo.com,237002
200,Xendit,Payments infrastructure for South East Asia,https://angel.co/xendit,San Francisco,51-200,9900000.0,http://xendit.co,603597
201,HOOKED,Machine learning for storytelling,https://angel.co/hookedapp,San Francisco,11-50,15150000.0,http://hooked.co,540696
202,Swift Navigation,Centimeter-accurate real-time kinematics (RTK) GPS positioning technology ,https://angel.co/swift-navigation,San Francisco,11-50,47600000.0,http://swiftnav.com/,294858
203,CircleUp,online marketplace for direct private equity investments,https://angel.co/circleup,San Francisco,51-200,53000000.0,http://circleup.com,58191
204,Notion,LEGO for Work,https://angel.co/notion-software,San Francisco,1-10,9900000.0,https://notion.so/product,160083
205,Superhuman,The fastest email experience ever made. Sign up now for VIP access.,https://angel.co/superhuman,San Francisco,11-50,9900000.0,https://superhuman.com,545598
206,True Link,Financial services for seniors,https://angel.co/true-link,San Francisco,11-50,7000000.0,https://www.truelinkfinancial.com/,241523
207,Rainforest,QA as a service - YC S12,https://angel.co/rainforest,San Francisco,51-200,41000000.0,https://www.rainforestqa.com/,100284
208,Tetra (YC W17),AI notetaker for meetings,https://angel.co/tetra,San Francisco,1-10,9900000.0,https://asktetra.com,3062473
209,Leapfin,Your Single Revenue Source of Truth,https://angel.co/leapfin,San Francisco,1-10,9900000.0,https://leapfin.com,736488
210,Huckleberry Insurance,"At Huckleberry, we are on a mission to make insurance work for small businesses. Over the past decade, technology has changed the way we run companies—from accounting and tax prep to customer management and payment processing. But small business owners are still forced to buy workers comp, general liability, and property insurance via an offline process that can take weeks to complete.",https://angel.co/huckleberry-insurance,San Francisco,1-10,9900000.0,https://www.huckleberry.co,4140151
211,CircleCI,Continuous Integration and Deployment,https://angel.co/circleci,San Francisco,51-200,25500000.0,https://circleci.com,29008
