,company_name,description,website,funding,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
14,Assembler Labs,Assembler Labs is a Detroit startup studio working with local talent to build venture-scale businesses.,https://www.assemblerlabs.com,527000.0," Information Technology, Software",01 to 10 ," Detroit, Michigan, United States",2018," Information Technology, Software",Assembler Labs is a Detroit startup studio working with local talent to build venture-scale businesses.,Software-2018
15,Atantares Corp.,We are a development stage startup enabling the next generation of precision medicine by fusing biochip and AI technologies.,http://www.atantares.com,374984.0," Health Diagnostics, Machine Learning, Semiconductor",01 to 10 ," Cambridge, Massachusetts, United States",2018," Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",,Software-2018
16,Atom Computing,Atom Computing builds truly scalable quantum computers out of individual atoms.,http://www.atom-computing.com/,5000000.0," Computer, Information Technology, Product Research",01 to 10 ," Berkeley, California, United States",2018," Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology","Atom Computing builds truly scalable quantum computers out of individual atoms.

The company's quantum computers use quantum mechanical properties of atoms to process information and solve problems beyond the reach of traditional computers, including drug design, computational chemistry, and more.

Atom Computing was founded in 2018 and based in Berkeley, California.",Software-2018
17,Attunely,"Attunely produces a machine learning model for debt collection, decreasing waste, and improving recovery yield.",https://www.attunely.com/,12700000.0," Financial Services, FinTech, Machine Learning",01 to 10 ," Seattle, Washington, United States",01-01-18 0:00," Artificial Intelligence, Data and Analytics, Financial Services, Software","Attunely produces a machine learning model for debt collection, decreasing waste, and improving recovery yield. The company has developed behavioral and economic models trained and tested on over 100 million interactions and decades of collection history. It offers a proven, compliant, and trustworthy machine learning platform that makes the recovery of receivables easy, seamless, and profitable.

Attunely was founded in 2018 and is headquartered in Seattle, Washington, USA.",Software-2018
18,Augmented Radar Imaging,Augmented Radar Imaging delivers radar and advanced machine learning algorithms to power autonomous vehicles and warehouse robots.,https://augmentedradar.com/#,120000.0," Augmented Reality, Image Recognition, Machine Learning",01 to 10 ," Los Altos, California, United States",2018," Artificial Intelligence, Data and Analytics, Hardware, Software","Augmented Radar Imaging is building safety and autonomy-enabling next-generation radar systems.

Augmented Radar Imaging delivers radar and advanced machine learning algorithms to power autonomous vehicles and warehouse robots.",Software-2018
19,Aura Salonware,Aura Salonware is a provider of salon management software to elevate the salon experience.,https://aurasalonware.com/,1025000.0," Beauty, Software",01 to 10 ," Miami Beach, Florida, United States",2018," Consumer Goods, Software","Aura Salonware is a provider of salon management software to elevate the salon experience. The company's data-driven platform offers appointment scheduling, inventory management functions, marketing functions and reports, enabling salon owners to set customizable goals and empower their staff.",Software-2018
20,AutopartsZ,AutopartsZ - The Best Auto Parts Finder App,https://autopartsz.com/,150000.0," Automotive, Consumer Applications, Internet, Marketplace, Web Apps",01 to 10 ," Astoria, New York, United States",2018," Apps, Commerce and Shopping, Internet Services, Software, Transportation","AutopartsZ is designed to be an online marketplace dedicated to addressing EVERY need of car owners in one single platform. The users of AutoPartsZ can connect to suppliers of auto parts, tires, auto paint, and nearby repair shops. Users will, therefore, be able to compare prices and make purchases using the same platform. Another attractive feature of AutoPartsZ is its VIN-decoding functionality designed to prevent users from ordering the wrong parts and endure a complicated and time-consuming returns process.

AutopartsZ also features a unique tool, Repair Cost Estimator, developed to provide car owners reliable estimates of repair costs to protect themselves from being overcharged by repair shops. The estimates are generated through the application of our algorithm to the massive data set relating to auto repair services that we have acquired.

Our online platform also provides access to Vehicle Title Reports at a much more competitive rate than the existing providers of similar information in the market.",Software-2018
21,Auxon,"Auxon is a software company that enables AI & systems engineers to build safe, resilient systems.",https://auxon.io,2584999.0," Analytics, Artificial Intelligence, Information Technology, Predictive Analytics, Robotics, Software, Test and Measurement",01 to 10 ," Portland, Oregon, United States",2018," Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Auxon is a software company that enables AI & systems engineers to build safe, resilient systems. It is a highly-automated system that requires tight integration of complex hardware & software that must interact predictably and safely with the physical world. This increasing complexity has led to expensive production delays, safety recalls, and cyber-security breaches as emergent failures become increasingly commonplace. 

Auxon’s advanced software tools provide users with continuous, intelligent analysis of potential system problems during development and after deployment, so they can get to market faster with safer, more resilient, and more secure products. The company's continuous verification & validation platform proactively expose hidden system flaws to help you avoid systematic failures while engineering for resilience against random faults.",Software-2018
22,Auxxit,Auxxit is a next-generation digital marketplace platform that leverages the engaging experiences of real-time group chat and live streaming.,http://www.auxxit.com/,285000.0," E-Commerce, E-Commerce Platforms, Marketplace, Mobile Apps, Social Media",01 to 10 ," Denver, Colorado, United States",01-01-18 0:00," Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Mobile, Software","Auxxit is a next-generation e-Commerce platform that leverages the engaging experience of a real-time group chat where anyone can participate in games, discussion, and event style auctions of favorite things. It is a new way to socialize and transact while discussions about the cards’ attributes, like new releases and values, had to be held using a separate group chat messaging application.

Auxxit was founded in 2018 and is headquartered in Denver, Colorado.",Software-2018
23,Avansa,"Avansa is a computer software company that specializes in blockchain, cryptocurrency, and software.",https://www.avansa.io/,175000.0," Blockchain, Cryptocurrency, Software",01 to 10 ," Evanston, Illinois, United States",2018," Financial Services, Other, Payments, Software","Avansa is a computer software company that specializes in blockchain, cryptocurrency, and software. features a software platform that allows its users to create their own bots that trade non-stop, on the cloud.

It was founded in 2018 and headquartered in Evanston, Illinois.",Software-2018
24,Base,Base is the first-ever software platform built specifically for executive assistants.,https://basehq.com/,2600000.0," Productivity Tools, SaaS, Software, Virtual Assistant",01 to 10 ," Greenville, South Carolina, United States",2018,Software,"Base is a robust SaaS platform built specifically to streamline the day-to-day responsibilities of executive assistants. Key features include a Digest Builder that gives support professionals the ability to heavily automate executive updates, a Decision Stream that allows executives to communicate decisions with a single click, a Dossier that securely stores executive data and preferences in one location, and Analyze which looks at calendar data to uncover insights into how an executive’s time is spent.",Software-2018
25,Beagle Learning,Beagle Learning provides software that accelerates learning and strategic decision making using custom built AI.,https://www.beaglelearning.com/,290000.0," Artificial Intelligence, EdTech, Education, Machine Learning, SaaS, Software",01 to 10 ," Boston, Massachusetts, United States",2018," Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software","Beagle helps in-person and remote teams make critical decisions faster by providing a simple, systematized process to gather input from the team and select the most important ideas to focus on. Beagle's AI system measures the quality of the ideas teams choose, and automatically records the logic behind decisions made to avoid repeated work and bring new teams up to speed faster. They provide this through a SaaS web app that can be integrated into existing learning management tools and communication platforms.

Beagle works with higher education institutions, companies, and the US Department of Defense to increase trainee retention, accelerate team buy-in, decrease unnecessary conflict, and speed up critical decision making.",Software-2018
26,Beanstalk Network,Beanstalk Network is a research and development company for privacy preserving financial transactions.,https://www.beanstalk.network/,4479013.0," Cryptocurrency, Finance, Financial Services",01 to 10 ," San Francisco, California, United States",2018," Financial Services, Payments, Software","Beanstalk Network is a research and development company for privacy-preserving financial transactions. The company was founded by Elena Nadolinski in 2018 and is headquartered in San Francisco, California, United States.",Software-2018
27,Bedrock.ai,"Bedrock is a private, personal super computers company.",https://www.bedrock.ai/,30000.0," Information Services, Information Technology",01 to 10 ," Palo Alto, California, United States",2018,Information Technology,"Bedrock is a private, personal super computers company. They are building digital private islands.",Software-2018
28,Bensen AI,Bensen builds software that helps restaurant brands sell stuff on voice platforms like Alexa and Google Assistant.,https://bensen.ai/,150000.0," Computer, Software",01 to 10 ," Boston, Massachusetts, United States",2018," Consumer Electronics, Hardware, Software","Bensen builds software that helps restaurant brands sell stuff on voice platforms like Alexa and Google Assistant. It provides solutions that integrate with a restaurant’s current ordering system, as well its loyalty program, on the backend. When a consumer places an order by voice, it comes through the same ordering channel that an online or mobile order would. It is targeting quick-service restaurant (QSR) chains that have drive-thrus.",Software-2018
29,Billzero | play your bills®,something wicked this way comes,https://billzero.app,100000.0," Billing, Crowdfunding, Cryptocurrency, FinTech, Mobile Apps, Mobile Payments, Social",01 to 10 ," Los Angeles, California, United States",01-01-18 0:00," Apps, Community and Lifestyle, Financial Services, Mobile, Payments, Software",Social Payment + AI + Fun,Software-2018
30,BinIt,BinIt develops an AI-based tech to revolutionize waste segregation.,https://binit.in/,10000.0," Artificial Intelligence, Machine Learning, Software, Waste Management",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Sustainability","BinIt develops an AI-based tech to revolutionize waste segregation. Founded in 2018, BinIt is headquartered in New York.",Software-2018
31,Biocanic,Biocanic is the first of its kind health program intelligence system designed to streamline health programs for integrative practitioners.,https://www.biocanic.com,309000.0," Health Care, Software, Wellness",01 to 10 ," San Diego, California, United States",2018," Health Care, Software","Biocanic is a health data platform that streamlines the functional health business to get a better scale and outcomes for clients. The company's platform offers to connect objective data from multiple lab testing providers and link it to the health outcomes that people are looking for, enabling clients to manage their health and wellness to achieve optimal vitality across their life span.

Biocanic centralizes all of the information from intake forms, assessments, lab results, and supplements into simple and easy to understand interface. Using proven clinical analysis, they highlight the key values to clients get to the root of their health issues, and put them on the fastest path to resolution.",Software-2018
32,Bird Brain,Bird Brain is a developer of an enterprise platform intended to serve the pest control industry.,https://www.raptair.ai/,325000.0," Artificial Intelligence, Enterprise, Enterprise Software, Life Science",01 to 10 ," Clayton, North Carolina, United States",2018," Artificial Intelligence, Biotechnology, Data and Analytics, Other, Science and Engineering, Software","Bird Brain is a developer of an enterprise platform intended to serve the pest control industry.  The company's offerings include to accurately identify undesired animals in predetermined geographic locations and prevent the congregation, enabling businesses to provide customized needs to meet for their specific pest extraction. It brings a fully autonomous pest control system to market, leveraging innovative Artificial Intelligence (AI) technology to mitigate risk to human safety and destruction of property and investments.",Software-2018
33,Blink Identity,Privacy preserving face recognition technology for personalized customer experiences and increased venue safety.,https://www.blinkidentity.com,1620000.0," Artificial Intelligence, Biometrics, Computer Vision, Facial Recognition, Hardware, Information Technology, Machine Learning, Physical Security, Software",01 to 10 ," Austin, Texas, United States",01-01-18 0:00," Administrative Services, Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",Blink Identity uses advanced identity technology to build next generation access control. Our technology identifies people at a full walking speed and we provide live entertainment venues with advanced tools to manage their space while giving fans faster and easier entrance to an event. Who likes standing in line? Nobody.,Software-2018
34,Blocnets,Blocnets is a Privately funded software and technology company .,http://blocnets.com/,738504.0," Software, Space Travel",01 to 10 ," Alpharetta, Georgia, United States",2018," Software, Transportation","Privately funded software and technology company with offices in Huntsville AL, and Alpharetta GA (HQ). BLOCNETS is one of 64 SAP Co-Innovation partner for Blockchain services and the only partner focused on Aerospace and Defense companies and agencies while utilizing blockchain technology to recently commercialized and available to a broader group. The primary focus of BLOCNETS is within supply chain as practitioners and  implementation expertise and software. BLOCNETS focused on Aerospace and Defense supply chain challenges as a starting point; however, BaaS has use cases across many industries. The BLOCNETS products enable all participating companies in the extended Supply Chain to focus on their operational and product responsibilities within the Supply Chain, yet maintain alignment with committed customer fulfillment.",Software-2018
35,bluDOT,bluDOT is a customer loyalty program that uses advanced facial recognition technology.,http://bludotloyalty.com/,50000.0," Facial Recognition, Image Recognition, Software",01 to 10 ," Denver, Colorado, United States",2018," Data and Analytics, Software","bluDOT is a customer loyalty program that uses advanced facial recognition technology and the power of social networking to engage today’s customers wherever they are, whenever they choose to interact with a brand.

bluDOT is changing the face of retail by creating a simpler, more rewarding loyalty program for both customers and merchants.",Software-2018
36,Boardroom Alpha,"Boardroom Alpha develops analytics that set the standard for the assessment of public company directors, officers, and corporate governance.",https://www.boardroomalpha.com/,7358340.0," Analytics, Information Services, Information Technology",01 to 10 ," Darien, Connecticut, United States",2018," Data and Analytics, Information Technology","Boardroom Alpha develops analytics that set the standard for the assessment of public company directors, officers, and corporate governance to help investors and companies create long-term value.

The company was founded in 2018 and is headquartered in Darien, Connecticut.",Software-2018
37,Bolt Labs,Bolt Labs provides instant private payments for everyday purchases.,https://boltlabs.tech/,1500000.0," Finance, FinTech, Information Technology, Payments",01 to 10 ," Baltimore, Maryland, United States",2018," Financial Services, Information Technology, Payments","Bolt Labs provides instant private payments for everyday purchases.

The company was founded in 2018 and is headquartered in Baltimore, Maryland.",Software-2018
38,Bot Image,Bot Image is a medical software company that utilizes artificial intelligence for imaging interpretation.,https://www.botimageai.com/,61598.0," Artificial Intelligence, Medical, Medical Device, Software",01 to 10 ," Omaha, Nebraska, United States",2018," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Bot Image is a medical software company that utilizes artificial intelligence for magnetic resonance imaging interpretation. Its software interprets multi-parametic and bi-parametic MRI with instance weight and MR segmentation by deep learning. The company's mission is to bring prostate cancer early detection with MRI and AI to the forefront of medicine.

Bot Image was founded in 2018 and is headquartered in Omaha, Nebraska.",Software-2018
39,Botisimo,"Botisimo is a cross-platform chatbot and viewer engagement tool suite. Available on Twitch, Mixer, YouTube, & Discord",https://botisimo.com/,700000.0," Apps, CRM, eSports, Gaming, Information Technology, Messaging, Software",01 to 10 ," Dallas, Texas, United States",01-01-18 0:00," Apps, Gaming, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software, Sports","Botisimo is a cross-platform chatbot and viewer engagement tool suite. Botisimo helps live streamers engage with their viewers using a loyalty point system combined with interactive features like commands, polls, and giveaways.

There are too many features included to list them all but here is a quick list of our most popular features:

- Custom Commands
- Timers
- Automated Follower/Subscriber/Host/Welcome Announcements
- Chat Logging
- Spam Filtering
- Custom Chat Bot
- Cross-Platform Chat Relay
- Music Player & Song Requests
- Currency System with Customizable Shop

We believe gaming and streaming is the future of entertainment, and we're excited to be a part of it. Ask us anything, we are happy to answer any questions you may have about the platform.

Thanks for taking the time to check out Botisimo!",Software-2018
40,Bounce,"Short term (hourly & daily) storage all around urban areas, hosted by local businesses.",https://usebounce.com/,1200000.0," Logistics, Mobile, Self-Storage",01 to 10 ," San Francisco, California, United States",2018," Mobile, Real Estate, Transportation",,Software-2018
41,Braid,Helping the world's best consumer brands build deeper customer relationships at scale.,https://braidapp.com,120000.0," Communications Infrastructure, CRM, Customer Service, Enterprise Software",01 to 10 ," New York, New York, United States",2018," Hardware, Information Technology, Other, Professional Services, Sales and Marketing, Software",,Software-2018
42,Breaking Normal,Breaking Normal is a social networking and party game app that capitalizes on real human connection.,http://breakingnormal.com,42166.0," Apps, Social, Social Media",01 to 10 ," Austin, Texas, United States",2018," Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Software","Breaking Normal is social networking and party game app that capitalizes on the real human connection while pushing the boundaries of cultural conditioning and communication. It assists in making quantum leaps in personal growth, abundance, and freedom.",Software-2018
43,Brightback,Brightback offers entreprenurial advice to subscription-based businesses on customer lifetime value.,http://brightback.com/,11000000.0," Advice, Business Development, Enterprise Software, Management Consulting, Management Information Systems",01 to 10 ," San Francisco, California, United States",2018," Information Technology, Media and Entertainment, Professional Services, Software","Brightback offers entreprenurial advice to subscription-based businesses on customer lifetime value. Guy Marion founded it in 2018, with its headquarters in San Francisco in California.",Software-2018
44,Brilliant Hire by SAP,Brilliant Hire is a recruiting solution for efficient and unbiased candidate screening.,https://www.brillianthire.io/,1000000.0," Cloud Computing, Enterprise Software, Human Resources, Recruiting",01 to 10 ," San Francisco, California, United States",01-01-18 0:00," Administrative Services, Internet Services, Professional Services, Software","Brilliant Hire offers skills-based job applicant screening, providing faster and greater insights without bias. Additionally, it offers the BrilliantHire Experts Network. Brilliant Experts is a complimentary service to Brilliant Hire, providing experts who evaluate candidates at any skill level and any discipline which is reducing the effort for recruiters massively.",Software-2018
45,Buyjour,Buyjour is a new type of marketing platform that dramatically increases the effectiveness of ABM strategies.,https://www.buyjour.com,50000.0," Advertising, Enterprise Software, Marketing Automation, Sales Automation",01 to 10 ," Roseville, California, United States",01-01-18 0:00," Advertising, Information Technology, Sales and Marketing, Software",Buyjour builds on the momentum of ABM campaigns to accelerate customers through the self-service stages of the buying journey.,Software-2018
46,buywith,"Buywith is an online shopping Livestream platform for brands, retailers, influencers & experts to host live shopping events.",https://www.buywith.com/,2000000.0," E-Commerce, Fashion, Internet, Marketing, Marketplace, Media and Entertainment, Retail Technology",01 to 10 ," New York, New York, United States",01-01-18 0:00," Clothing and Apparel, Commerce and Shopping, Design, Hardware, Internet Services, Media and Entertainment, Sales and Marketing, Software","buywith is an online shopping Livestream marketplace for retailers & brands, where influencers and experts can broadcast online shopping sessions with their followers & make them buy via a highly engaging experience. We help brands generate more revenues from their e-commerce activity and increase their ROI.",Software-2018
47,Castamash,Castamash is a mobile app that allows to create collaborative videos with your friends around the world,https://www.castamash.com,50000.0," Location Based Services, Mobile Apps, Social Media, Video",01 to 10 ," San Francisco, California, United States",2018," Apps, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Software, Video",,Software-2018
48," Cheeze, Inc ",Mint your photos on the blockchain.,http://cheeze.com,850000.0," Apps, Blockchain, Cryptocurrency, Photography",01 to 10 ," New York, New York, United States",01-01-18 0:00," Apps, Content and Publishing, Financial Services, Media and Entertainment, Other, Payments, Software",A minting studio for photographers.,Software-2018
49,Cherry,Cherry is an office perks solution for the modern startup.,https://www.startcherry.com/,150000.0," Human Resources, Information Technology, Internet, iOS, Small and Medium Businesses",01 to 10 ," San Francisco, California, United States",2018," Administrative Services, Information Technology, Internet Services, Mobile, Other, Platforms, Software","Cherry is an office perks solution for the modern startup. Rather than giving entire swaths of employees the same benefits, the co-founders want to let people choose their favorite internet services. People will be able to select services through a Slackbot interface and get things like ClassPass and HBO paid for by their company. The company says they have 24 companies in paid pilot programs.",Software-2018
50,ChoreRelief,It's an all-in-one platform,https://www.chorerelief.com,39850.0," CRM, Home Services, Marketplace, Mobile Apps, Real Estate, SaaS, Service Industry, Software",01 to 10 ," Chicago, Illinois, United States",2018," Apps, Commerce and Shopping, Information Technology, Mobile, Other, Real Estate, Sales and Marketing, Software","ChoreRelief provides a transparent, competitive marketplace for consumers to manage home repairs. The app connects consumers with contractors and home improvement professionals in order to create a worry-free experience.

ChoreRelief combines the main elements of both networks and marketplaces. We use SaaS workflow software to focus action around longer-term projects, not just a quick transaction. The tool lets repair and maintenance professionals perform critical tasks, send bids, and collect payments, etc. It promotes these service providers as differentiated individuals, helping build long-term relationships with clients.

It also permits property managers, landlords, and homeowners with an opportunity to post their repair and maintenance needs, and optionally, the budget within which they’re working. This streamlines the match-making process for both parties.

Customers and providers are each unique; they are not interchangeable commodities as with Lyft or Uber. Each person brings unique expertise, needs, and viewpoints to the transaction and the relationship. Our market network is designed to acknowledge that as a core tenet and provide solutions that accommodate it. The company’s mission is to expand globally while seamlessly connecting property owners with contractors. The result is more accessible talent, affordable rates, a single source for the endless needs of property owners, and more business for contractors.

We view ourselves as innovators and collaborators, not competitors. That’s why we do our best to build networks that promote collaboration among contractors. It’s the underlying focus of everything we do because we want to solve problems for everyone using technology who wants to join us and make history.",Software-2018
51,ClearCam,ClearCam provides clinicians with innovative tools and technologies that improve their vision and skill in the operating room.,https://www.clearcam-med.com/,3235000.0," Health Care, Medical Device, Productivity Tools",01 to 10 ," Austin, Texas, United States",2018," Health Care, Software","ClearCam provides clinicians with innovative tools and technologies that improve their vision and skill in the operating room.

ClearCam was founded in 2018 and is headquartered in Austin, Texas.",Software-2018
52,Clerkie,Clerkie is an AI Financial Planner for the 123M underserved Americans looking for answers.,https://clerkie.io/,8000000.0," Artificial Intelligence, Finance, FinTech, Machine Learning",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",We help struggling Americans solve hard financial problems with real-time automated solutions,Software-2018
