,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
48,ArbiLex,ArbiLex leverages predictive analytics to empower lawyers and litigation funders to make data-driven decisions in cross-border disputes.,https://www.arbilex.co," Analytics, Data Visualization, FinTech, Legal",01 to 10 ," Boston, Massachusetts, United States",2018," Data and Analytics, Design, Financial Services, Information Technology, Professional Services, Software","Founded at the Harvard Innovation Labs, ArbiLex is a legal-fintech startup that leverages predictive analytics to empower lawyers and litigation funders to make data-driven decisions in high-stakes cross-border disputes.",Software-2018
49,Arch,Arch digitally manages private investment operations for investors and investment advisors.,https://archlabs.com," Hedge Funds, Real Estate Investment, Software, Venture Capital, Wealth Management",01 to 10 ," New York, New York, United States",2018," Financial Services, Lending and Investments, Real Estate, Software","Arch manages private investment operations for leading investors and investment advisors, reinventing private portfolio management through a digital solution that replaces traditionally paper based processes.",Software-2018
50,Archeads,Archeads is a real estate property management firm dealing floorplans services.,https://archeads.com/," Information Technology, Property Management, Real Estate",01 to 10 ," New York, New York, United States",01-01-18 0:00," Information Technology, Real Estate",,Software-2018
51,Ari Coach,Ari Coach mission is to make healthy eating simple & accessible for everyone.,https://aricoach.com/," Mobile Apps, Nutrition, Personal Health",01 to 10 ," Irvine, California, United States",2018," Apps, Food and Beverage, Health Care, Mobile, Software","Ari Coach helps you eat healthier and achieve your fitness goals with personalized meal plans & easy recipes! Reach your daily nutrition targets and build healthy habits with Ari - your accountability buddy. Our meal plans are backed by nutrition science, and exclusively designed by dietitians & athletic trainers to help you practice mindful eating and make healthy eating choices. Whether it’s pre or post-workout snacks, carb-cycling, or macros, we’ve got you covered! Our mission is to make eating healthy as simple & accessible for everyone, everywhere.",Software-2018
52,ARI Recruiting,ARI Recruiting is an intelligent recruiting software that tracks athletes and provides feedback for enhanced decision making.,https://arirecruiting.com/," Computer, Recruiting, Software",01 to 10 ," Austin, Texas, United States",01-01-18 0:00," Consumer Electronics, Hardware, Professional Services, Software",,Software-2018
53,Arias Intel,"Arias Intel operates as a digital media platform for tech, media, and gaming.",http://www.ariasintel.com/," Augmented Reality, Consulting, Digital Entertainment, Digital Media, Virtual Reality",01 to 10 ," Tampa, Florida, United States",2018," Hardware, Media and Entertainment, Professional Services, Software","Arias Intel operates as a digital media platform for tech, media, and gaming. The Company's focus is on developing innovative technologies that leverage connectivity, distribution, and social networks. The Company uses its digital platforms to implement its unique marketing strategy that empowers viral and social mechanisms to reach a growing demographic utilizing: (1) mobile apps and gaming, (2) social media, and (3) on-demand delivery.

Founded in 2017, the company is headquartered in Tampa, Florida.",Software-2018
54,Armarius Software,"Armarius Software provides robotic process automation, data loss prevention, enhanced IT capability, and website filtering services.",https://www.armariussoftware.com," Information Technology, Robotics, Security",01 to 10 ," Warrenville, Illinois, United States",2018," Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",,Software-2018
55,Arpio,Arpio protects and eliminates downtime for AWS applications by making it easy to recover from any outage in just a few minutes.,https://arpio.io," B2B, Internet, SaaS",01 to 10 ," Durham, North Carolina, United States",2018," Internet Services, Other, Software","Arpio protects and eliminates downtime for AWS applications by making it easy to recover from any outage in just a few minutes. Founded by Doug Neumann and Shaw Terwilliger in 2018 and is based in Durham, North Carolina, United States.",Software-2018
56,Arroyo Networks,"Delivering peace of mind, by replacing traditional networking with software defined security solutions.",https://arroyonetworks.com," Cloud Infrastructure, Cyber Security, IT Infrastructure, Network Security, Software Engineering",01 to 10 ," Hancock, Michigan, United States",2018," Hardware, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","Arroyo delivers software-driven network security, allowing IT professionals to enhance their traditional networks with solutions capable of withstanding the challenges of today’s cyber-security landscape. 

Introducing INFLOW by Arroyo. INFLOW elminates the need to purchase expensive, slow, and outdated networking appliances and virtual machines. INFLOW is a Networking-as-a-Service Platform which been built from the ground up, leveraging recent advances in Cloud-Native Network Functions (CNFs). Customers can subscribe to and use INFLOW to increase their network security, either in the cloud or on-premise, by extending their edge and applying advanced network functions. Networks can be upgraded with next-generation firewalls, intrusion detection and prevention, phishing protection, user VPNs, load-balancing and much more. All available at the click of a button and without hardware and VMs.

With no systems to install or manage, no firmware to update, no rules to keep in sync: INFLOW lowers administrative overhead while offering heightened security. No Hardware, No Firmware: Just Security.",Software-2018
57,ASizer,ASizer is an app to measure your body.,https://www.asizer.com/," Apps, Fitness",01 to 10 ," Burlingame, California, United States",01-01-18 0:00," Apps, Software, Sports",,Software-2018
58,Assembler Labs,Assembler Labs is a Detroit startup studio working with local talent to build venture-scale businesses.,https://www.assemblerlabs.com," Information Technology, Software",01 to 10 ," Detroit, Michigan, United States",2018," Information Technology, Software",Assembler Labs is a Detroit startup studio working with local talent to build venture-scale businesses.,Software-2018
59,Astellent,"Astellent is a consulting company that improves how software is designed, developed, and delivered to help organizations achieve more.",https://www.astellent.com," Big Data, Cloud Infrastructure, Cloud Management, Cloud Storage, Consulting, Data Center Automation, Internet of Things, Software, Software Engineering",01 to 10 ," San Francisco, California, United States",2018," Data and Analytics, Hardware, Information Technology, Internet Services, Professional Services, Science and Engineering, Software",,Software-2018
60,Astro Wallet,Ethereum smart contract wallet and dapp browser,https://www.astrowallet.io/," Blockchain, Cryptocurrency",01 to 10 ," San Francisco, California, United States",2018," Financial Services, Other, Payments, Software",,Software-2018
61,Atantares Corp.,We are a development stage startup enabling the next generation of precision medicine by fusing biochip and AI technologies.,http://www.atantares.com," Health Diagnostics, Machine Learning, Semiconductor",01 to 10 ," Cambridge, Massachusetts, United States",2018," Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",,Software-2018
62,Atelier,Atelier is a home design mobile app.,https://www.atelier-app.com/," Home Decor, Interior Design, Mobile Apps",01 to 10 ," Snowmass Village, Colorado, United States",01-01-18 0:00," Apps, Design, Mobile, Real Estate, Software",,Software-2018
63,Atlerts,Atlerts is a state-of-the-art communication platform that manages incident reports and injury documentation for athletic departments.,http://atlerts.com/," Information Technology, Software, Sports",01 to 10 ," Sacramento, California, United States",01-01-18 0:00," Information Technology, Software, Sports",,Software-2018
