Category,Products,Activity Level,Company Description,Min Employees,Max Employees,Average Employees
e commerce startups ai,web app,no recent company activity detected,business name generator and domain search in one find creative and available domains for your startup shop or new business,0,1,0
communication productivity startups,desktop app mobile app web app,no recent company activity detected,chaine is a productivity tool that helps logistics teams eliminate wasteful tasks reduce operating costs and get scaling superpowers,0,3,1
finance,service,high company activity detected,financial data platform by developers for developers,5,10,7
design,service,high company activity detected,business cards for large teams made simple,5,10,7
productivity,mobile app service web app,sourced by startup tracker,future of work saas,5,10,7
advertising analytics e commerce,web app,no recent company activity detected,a new and better way to shorten track and share links with your team,5,10,7
hr and recruitment,web app,high company activity detected,we help people find a remote job at over 2000 remote companies in software development design support sales etc,0,2,1
startups software dev,service,high company activity detected,a flexible software testing platform,11,50,30
communication real estate,mobile app web app,low company activity detected,tāne is your home construction project assistant,0,3,1
consulting health media medical,service,high company activity detected,pr consulting agency that helps founders get business press through personal branding and thought leadership marketing,0,2,1
entertainment media social networks content,desktop app mobile app web app,high company activity detected,a dedicated space to help peoplexa0organizexa0curatexa0andxa0discoverxa0their favorite digital content,0,3,1
other advertising marketing,service,no recent company activity detected,top quality social media content that fits every budget,5,10,7
design e commerce media software dev,web app,high company activity detected,ui bakery  the first lowcode platform which allows creating branded frontend apps based on a custom design system,11,50,30
productivity real estate,desktop app mobile app web app,high company activity detected,we help home buyers save time be more confident and manage their whole home buying experience,0,1,0
advertising data marketing sales productivity,service web app,no recent company activity detected,cloudlead uses machine learning tools backed by human researchers to help b2b sales and marketing teams scale their outbound processes,11,50,30
consulting productivity hr and recruitment startups,desktop app service web app,no recent company activity detected,avvnue makes information and expertise accessible to every professional in the world through our online expert network marketplace,5,10,7
e commerce marketing,web app,low company activity detected,free tool for winning products,51,100,75
startups,service,low company activity detected,incubator and coworking space,5,10,7
finance,web app,no recent company activity detected,solve your personal finances today,5,10,7
other marketing startups software dev,web app,no recent company activity detected,cereo is a visual feedback and bug tracking tool that lets people give feedback with annotated screenshots and enriched browser data,0,1,0
finance,mobile app web app,high company activity detected,kalshi is a platform where users trade on the outcome of different events to hedge against the risk of every day life,5,10,7
travel hospitality,service,high company activity detected,beautifully furnished apartments for business professionals and individual renters looking for a turnkey living solution,501,1000,750
productivity hr and recruitment startups,web app,high company activity detected,helping managers build great teams with meaningful 1on1s continuous feedback motivation  performance tracking and closing key actions,11,50,30
e commerce marketing startups sales,other service web app,low company activity detected,a marketplace for entrepreneurs to discover lifetime software deals and huge discounts,0,1,0
marketing big data content real estate,web app,high company activity detected,discover land that works for you,5,10,7
analytics data marketing software dev,desktop app web app,high company activity detected,import apis into google sheets without writing any scripts connect and import json and csv apis to google sheets quickly and easily,0,2,1
other startups,other service,sourced by startup tracker,zensports is a peertopeer sports betting marketplace,0,2,1
design finance marketing sales,service,high company activity detected,slideteam is the worlds largest supplier of innovative powerpoint content you can get perfect powerpoint themes slides  designs here,51,100,75
other,other,no recent company activity detected,cloudaress specialize in implementation and integration of salesforce marketing cloud with other salesforce clouds,5,10,7
analytics health startups medical travel,mobile app service,no recent company activity detected,ergent is an er wait time app that uses the users gps plus nearby ers average wait times and features to find quick and top medical care,5,10,7
advertising food and beverages startups sales,web app,no recent company activity detected,mango is an allinone contact management and billing tool for small business,0,2,1
insurance,web app,no recent company activity detected,breezy helps you quickly find the best and most affordable insurance for your pets,0,2,1
finance blockchain ai,web app,no recent company activity detected,frkst is a 60day machine learningxa0powered cryptocurrencyxa0price forecastxa0for bitcoin  ethereum generated daily,0,1,0
blockchain,service,high company activity detected,fostering blockchain adoption,5,10,7
retail,web app,no recent company activity detected,reputation building platform used to learn about customer experiences and generate new reviews,5,10,7
analytics data education ai,service,high company activity detected,product school provides certified courses in product management and other digital skills to professionals across 16 campuses worldwide,11,50,30
food and beverages entertainment events travel,mobile app,low company activity detected,evntures a mobile advertising company that facilitates the discovery of local events in major metropolitan areas,5,10,7
advertising analytics data marketing,service,no recent company activity detected,reporting tool for facebook ads,51,100,75
advertising finance social networks startups,mobile app web app,high company activity detected,status is a social financial management app that lets you compare finances with peers and get advice from people like you,11,50,30
advertising e commerce retail,web app,no recent company activity detected,allow shoppers to build carts and purchase anywhere a merchant can place a qr code or nfc tags,5,10,7
communication design productivity software dev,desktop app mobile app web app,high company activity detected,annotate anywhere and work incontext with your teammates,0,4,2
analytics security ai,service,low company activity detected,we are providing video guard service with a new quality of service without human monitoring to keep your privacy,5,10,7
social networks,web app,no recent company activity detected,convo makes planning events and sharing with your real friends easy,0,1,0
analytics iot blockchain big data,desktop app service web app,high company activity detected,building a next generation decentralized iot platform where data owners can capture the full value of their data,5,10,7
advertising entertainment events social networks,mobile app service,no recent company activity detected,social network based on the event industry,5,10,7
analytics startups big data real estate,desktop app web app,low company activity detected,ai to predict future real estate prices,0,3,1
other data events social networks,mobile app,no recent company activity detected,professional networking and reputation management for the cannabis industry,0,3,1
consulting governmental startups accounting and legal,desktop app mobile app service web app,high company activity detected,time tracking software that improves the profitability of your projects,11,50,30
insurance,service,high company activity detected,insurance distribution and product development for nomads and expats,5,10,7
analytics automotive ai software dev,service web app,low company activity detected,carsxe apis a restful api that provides access to millions of vehicles with specs history ownership cost market value images  more,0,1,0
other e commerce productivity,web app,high company activity detected,dropshipping automation software for ecommerce,11,50,30
security real estate,service,high company activity detected,narrow security inc provides fire guard services and security guard services across the us,51,100,75
e commerce finance,desktop app mobile app,high company activity detected,onegold is a marketplace where you can buy sell redeem and fully manage your precious metals with as little as 1,5,10,7
education hr and recruitment ai,mobile app web app,sourced by startup tracker,mr simon is an artificial career coach,5,10,7
e commerce real estate,physical goods service,high company activity detected,flexible beautiful office furniture for growing companies,5,10,7
other marketing startups ai,web app,high company activity detected,simple doityourself seo for startups  small business,0,2,1
advertising marketing sales,web app,no recent company activity detected,a simple affordable and powerful sales and marketing automation platform for startups,5,10,7
health content medical,mobile app,high company activity detected,rosy is the first evidencebased mobile solution for the 31 million women who suffer from low sexual desire,0,4,2
other,service web app,no recent company activity detected,growthadvisor revolves around  employee stock options,5,10,7
advertising analytics startups big data,web app,high company activity detected,create interactive product tours in minutes with the most nontechnical friendly tool without coding,5,10,7
other finance,mobile app,no recent company activity detected,a free stock  cryptocurrency algorithmic trading application for ios,0,1,0
music startups ai,other mobile app service,sourced by startup tracker,worldwide copyrightprotected aigenerated music,11,50,30
other,service,high company activity detected,zeroeffort biometric authentication,11,50,30
other fashion productivity hardware,hardware,high company activity detected,a premium smartphone the size of a credit card so you can stay connected on the go for 5month,11,50,30
e commerce marketing productivity startups,web app,high company activity detected,namebounce is a powerful business name generator helping users can generate hundreds of name ideas with available domains in seconds,0,1,0
consulting design,service,no recent company activity detected,pastryy is a design website that provides quality designer feedback on your designs in less than 24 hours,0,1,0
analytics marketing startups arvr,other service web app,high company activity detected,our product is a storytelling tool that uses augmented reality to allow marketers to build interactive campaigns no apps no coding skills,5,10,7
food and beverages,mobile app,no recent company activity detected,delivering more than 500 products in about 10 minutes,0,3,1
entertainment fashion gaming health,other,sourced by startup tracker,a viral media site to browse and post your content,0,1,0
productivity hr and recruitment,web app,high company activity detected,recruit crm helps recruiters manage all their work on one simple platform,11,50,30
real estate,mobile app service,high company activity detected,have your pool serviced in as soon as two hours after subscribing to pooltoday,5,10,7
e commerce gaming ai software dev,desktop app mobile app service web app,high company activity detected,intelligent revenue management model predict and influence consumer behavior with the power of ai,51,100,75
analytics data finance productivity,desktop app service,low company activity detected,saas license management platform to optimize automate and manage contracts and subscription renewals,11,50,30
analytics consulting productivity sales,desktop app service web app,sourced by startup tracker,eugenemachine is a website change detection and alerting system,0,3,1
other,desktop app mobile app service web app,high company activity detected,saketa provides enterprise digital workspace solutions for organizations to adopt engage and effectively use sharepoint and o365 platform,251,500,375
analytics marketing social networks content,mobile app web app,high company activity detected,loomly is the brand success platform that empowers marketing teams to collaborate publish and measure,5,10,7
finance startups blockchain,mobile app service,no recent company activity detected,send and receive money with no bank account required,11,50,30
data robotics ai big data,desktop app hardware mobile app service web app,no recent company activity detected,computer software,5,10,7
startups,desktop app mobile app,high company activity detected,cloudapp is a video and media sharing platform for organizations enabling anyone to quickly create upload and manage visual content,11,50,30
health productivity hr and recruitment startups,service web app,high company activity detected,kudosbot is the perfect way to spread positivity by giving shout outs or heaping praise for employees who go above  beyond,0,1,0
consulting e commerce startups sales,desktop app hardware service web app,no recent company activity detected,sales quoting automation and tracking,5,10,7
travel,service web app,no recent company activity detected,lewis plans and books weekend getaways fully personalized just for you,0,2,1
advertising communication design marketing,service,low company activity detected,helpingbusinessesgrow,5,10,7
other e commerce finance software dev,mobile app service web app,low company activity detected,the first bank in usa made for global clients we make it safe and easy to access send receive and store money in usa,11,50,30
retail blockchain ai big data,mobile app web app,no recent company activity detected,shopin is building the essential tools for retail 30 global view of all of retails decentralized purchase data blockchain did and ai,5,10,7
hr and recruitment social networks startups sales,other,high company activity detected,a recruitment platform where candidates can introduce themselves with 30 second videos,0,3,1
sharing economy startups,mobile app web app,high company activity detected,passbase aims to fully digitize the way people identify themselves by creating a biometrically secured verified portable digital identity,11,50,30
education ai,mobile app service web app,high company activity detected,membershipbased participatory platform for citizen scientists,0,3,1
e commerce software dev,desktop app service,no recent company activity detected,qanairy helps companies test web appssites for errors wai,0,2,1
hr and recruitment security real estate,mobile app web app,low company activity detected,kugadi simplifies management of a mobile workforce of security guards through an integrated guard tour system and dispatch system,5,10,7
marketing media productivity,web app,no recent company activity detected,syrreo will help you manage items quotes orders and customers in one streamlined service,0,3,1
consulting manufacturing robotics ai,desktop app hardware service web app,high company activity detected,kineticai inc is building a modular factory analytics and automation toolkit for the manufacturing industry,5,10,7
sharing economy social networks travel messaging,mobile app,no recent company activity detected,connect with other travelers and locals that have similar travel plans save on your entire trip budget and discover new travel experiences,0,3,1
other data travel content,mobile app web app,sourced by startup tracker,a tool that turns your photos notes maps into shareable recommendations,0,4,2
food and beverages,other,high company activity detected,bokksu is a premium subscription service that delivers thoughtfully curated boxes of artisanal japanese snacks and teas,5,10,7
advertising analytics marketing media,service,no recent company activity detected,master the worlds most powerful marketing ideas each week for free,0,1,0
data e commerce startups big data,service web app,high company activity detected,datanify is the largest provider of highquality company databases we have access to over 100 million unique companies,11,50,30
other startups,web app,no recent company activity detected,saasi empowers your team and eliminates waste by providing visibility into your software usage,5,10,7
other education health social networks,service,no recent company activity detected,lean on me strengthens communities by providing peertopeer text lines that allow for easy access to confidential noncrisis support,101,250,175
data gaming marketing media,service,no recent company activity detected,helping live streaming influencers achieve more,0,3,1
e commerce fashion retail,physical goods,high company activity detected,internet sunglass store sell innovative sunglasses unique as you creative shade for all occasions hitech wear with hitech flair,0,1,0
e commerce sales software dev,service,low company activity detected,cloudsponge provides saasbased solutions that handle address book importing from email accounts,5,10,7
finance sharing economy startups software dev,mobile app,high company activity detected,relationshipbased lending application that simplifies loans between friends  family w automatic ach loan payments,5,10,7
other media startups,other service,no recent company activity detected,api for video recording and playback,5,10,7
hr and recruitment startups ai software dev,other,high company activity detected,6nomads is a matching platform that allows companies to find remote verified engineers from around the world,5,10,7
data iot hospitality,web app,high company activity detected,a saas platform offering bestinclass consumer experience measurement capturing the human pulse up to 100x traditional survey methods,5,10,7
other marketing sales,service web app,low company activity detected,professional qr code generator,5,10,7
gaming startups software dev,service,low company activity detected,we deliver realtime contextual insights empowering mobile teams to accelerate their workflow and release with confidence,51,100,75
education hr and recruitment events sales,mobile app,low company activity detected,rememorate is a mobile app that combines tech tools with tested psychological techniques to help you remember the people you meet,5,10,7
startups accounting and legal,service,high company activity detected,kisspatent provides ip services for entrepreneurs small businesses and startups,5,10,7
finance hr and recruitment sharing economy,mobile app service web app,no recent company activity detected,empowering the underbanked community by helping them save money control their finances and build a blockchain based credit score,11,50,30
e commerce accounting and legal,service,no recent company activity detected,amazon seller accounting and inventory profitability integration for quickbooks,5,10,7
analytics ai big data,service web app,no recent company activity detected,unibit uses ai to deploy unique market data feeds for trading analytics and applications,11,50,30
advertising ai big data content,web app,high company activity detected,hellowoofycom a data science driven marketing platform is built for small businesses as small business owners ourselves,5,10,7
health ai,other mobile app web app,no recent company activity detected,healthai lets users take a picture of a mole and screen for cancer,0,3,1
productivity hr and recruitment content,web app,no recent company activity detected,the best way to hire or be hired in media  entertainment,5,10,7
data design startups software dev,other service web app,sourced by startup tracker,opensource project of go code to bootstrap your softwareasaservice startup,5,10,7
analytics data blockchain big data,service web app,no recent company activity detected,we enable businesses to buy data directly from the users,5,10,7
advertising marketing real estate,other service,high company activity detected,your onestop shop for exclusive motivated home seller leads,5,10,7
other e commerce retail software dev,service web app,low company activity detected,generates responsive images so you dont have to optimize,5,10,7
advertising marketing sales,other service web app,no recent company activity detected,find out if your email is likely to trigger spam filters run a free email spam and security test in less than 1 minute with mailgeniuscom,0,4,2
health,mobile app,high company activity detected,mooditude helps build resilience to stress and anxiety,0,2,1
other messaging,desktop app web app,no recent company activity detected,single inbox for business messengers,5,10,7
consulting insurance security ai,service,no recent company activity detected,continuous affordable and powerful cyber red teaming service  powered by artificial intelligence and automation,0,2,1
design productivity startups,web app,high company activity detected,playbookux is a user testing software that connects businesses with their target demographic,0,3,1
design e commerce fashion social networks,desktop app mobile app web app,high company activity detected,platform to help celebrities and content creators to create their merchandise store,5,10,7
hr and recruitment,desktop app,no recent company activity detected,nynedge is a peer to peer saasbased platform for remote jobs,5,10,7
data productivity messaging software dev,desktop app mobile app service,no recent company activity detected,collaboration is now as easy as copy and paste,0,1,0
data social networks real estate,mobile app web app,no recent company activity detected,view construction history before you hire and build,5,10,7
other social networks,web app,no recent company activity detected,crowdfunding and crowdsourcing for cold and unsolved cases,0,1,0
productivity,desktop app web app,high company activity detected,publist connects to all of the apps you use so you can search organize and store all of your file in one place,0,2,1
food and beverages fashion startups sales,mobile app service,high company activity detected,dapit is a new way for businesses to offer gift cards digitally customers have the ability to buy give instantly share and pay,5,10,7
other startups ai software dev,other desktop app mobile app service web app,high company activity detected,ai driven test automation for all,11,50,30
analytics productivity hr and recruitment startups,web app,high company activity detected,plai align and focus your employees around what matters with the first free okr tool set objectives track progress and monitor dashboard,5,10,7
finance,service,high company activity detected,invest iras and old 401ks into cool things welcome to 21st century diversification,11,50,30
startups software dev,web app,no recent company activity detected,production support for modern teams,0,3,1
communication consulting sales software dev,service web app,no recent company activity detected,in one simple step the platform enables engineers to accurately price professional services and reduce time to scope a project,0,4,2
analytics data big data,web app,high company activity detected,were building a new kind of software that empowers people to make better decisions with data,11,50,30
biotech health blockchain medical,other,no recent company activity detected,medblox provides validation of patient identity across organizations,0,4,2
education marketing hr and recruitment accounting and legal,service web app,high company activity detected,create connections and scale your business with a more powerful and flexible online form builder,5,10,7
media startups content sales,service,high company activity detected,basicly is a tool to help video makers get paid as soon as a project is completed,0,2,1
communication productivity ai bots,service web app,sourced by startup tracker,ubiquitous platform for standardizing and sharing operating procedures to increase performance and collaboration of diverse global teams,5,10,7
ai,web app,sourced by startup tracker,custom lead research at scale,101,250,175
e commerce travel blockchain,mobile app web app,high company activity detected,lolli lets you earn free bitcoin when you shop online,5,10,7
startups,service,high company activity detected,cypress homecare solutions provides top quality individualized  compassionate care to clients,0,1,0
analytics e commerce marketing startups,web app,low company activity detected,fun and flexible polling widget for your website,0,1,0
advertising consulting education governmental,desktop app mobile app service web app,no recent company activity detected,we develop custom mobile applications and websites we offer a wide range of technical services within the private and public sectors,0,2,1
education entertainment,mobile app web app,no recent company activity detected,toprated 5 minute fresh and original content stories for children that will spark intrigue for years to come,5,10,7
advertising media social networks big data,mobile app web app,no recent company activity detected,a free and accessible social network for written content and podcasts,5,10,7
advertising,service,high company activity detected,get real relief from chronic pain depression,0,1,0
other hr and recruitment startups real estate,desktop app mobile app web app,high company activity detected,robin modernizes the open office the solution to the open office isnt more walls its activitybased working,51,100,75
advertising,service,no recent company activity detected,finding a family dental clinic near corning bath and horseheads ny,0,1,0
other advertising,service,high company activity detected,we buy houses san antonio cash for house san antonio,0,1,0
analytics marketing ai content,desktop app service web app,no recent company activity detected,technical marketing software products built to simplify inbound marketing for smbs,5,10,7
advertising,service,high company activity detected,for over 65 years saxton industrial has been designing and manufacturing,0,1,0
advertising,service,high company activity detected,siarum consolidates all your business tools into one singlexa0platform,0,1,0
startups,service,high company activity detected,ds plumbing is familyowned andoperated company with over 20 years of experience,11,50,30
advertising,service,no recent company activity detected,rossos furniture of gilroy and morgan,0,1,0
advertising,service,high company activity detected,at healthy solutions llc we have years of experience,0,1,0
startups,service,no recent company activity detected,keep your cool no matter where you are in the arlington tx area you can depend on the team at williams home maintenance inc,11,50,30
advertising,other,no recent company activity detected,we are a michigan based companyxa0 since 1987,0,1,0
finance sharing economy startups blockchain,service web app,high company activity detected,mudrex helps anyone invest like an algorithmic trader,11,50,30
other productivity social networks,other web app,no recent company activity detected,vested yeti is a new home for your web pages organize your web pages share web pages with friends and keep track of your web pages,0,2,1
gaming arvr,desktop app,high company activity detected,automated play testing for video games ar and vr,0,3,1
advertising,service,no recent company activity detected,at schaefers soft water we carry water softner systems that are approved for the state of wisconsin,0,1,0
startups,service,no recent company activity detected,if you are facing criminal and family law issues attorneys at brabazon law office will help you to protect your legal rights,11,50,30
advertising,service,no recent company activity detected,acorn kitchen  bath one of michigans largest kitchen and bath design showrooms,0,1,0
advertising,other service,no recent company activity detected,everyday investments realty offers you a broad menu of comprehensive residential,0,1,0
advertising,service,no recent company activity detected,welcome to pediatrix with exceptional child care since 1986,0,1,0
advertising finance insurance marketing,web app,high company activity detected,phonexas powerful tracking solutions deliver insight on your marketing campaigns allowing you to make smarter optimizations,51,100,75
advertising,service,no recent company activity detected,stacy d johnson family dentist specialize in dental care for the entire family including general dentistry,0,1,0
advertising,service,high company activity detected,faith ink is a unique shopping website with a distinctive tone focusing,0,1,0
advertising,other,high company activity detected,when you hire fischer  van thiel you are hiring a team of family law attorneys,0,1,0
advertising,service,high company activity detected,the cleveland furniture company is a family owned furniture store located in cleveland oh,0,1,0
advertising,other,high company activity detected,governors park chiropractic provides you with excellent chiropractic care,0,1,0
startups,service,high company activity detected,tile specialists of madison is a small family owned stone and tile installations services provider in madison wi,0,1,0
startups,service,high company activity detected,heart smart cpr teaches american heart association classes for bls health care providers basic cpr and aed,0,1,0
startups,service,high company activity detected,a pest and environmental services provides exceptional pest control and environmental services in cape coral florida,11,50,30
startups,service,no recent company activity detected,amos family funeral home  crematory provides complete funeral services and cremations for the communities of roeland park,11,50,30
startups,service,high company activity detected,simon  milner protects your rights if youve been arrested or convicted of a crime from dwis to assault charges we defend you in court,11,50,30
startups,service,low company activity detected,at oklahoma city locksmith our locksmiths are committed to providing the right solution for every lock and security system issue,11,50,30
design e commerce startups software dev,service web app,high company activity detected,lambdatest is a cloudbased crossbrowser testing platform where you can test your website and web app across 2000 browseros combinations,11,50,30
advertising startups,service,no recent company activity detected,alamo insurance  financial service provides quality insurance of auto commercial property health life contractors,11,50,30
advertising,service,high company activity detected,we are not a referral network we are local indianapolisbased real estate investors,0,1,0
analytics blockchain accounting and legal big data,service,high company activity detected,provides the easiest way to access onchain data,5,10,7
startups,service,no recent company activity detected,muret cpa pllc provides superior professional services including tax preparation,11,50,30
startups,service,no recent company activity detected,scram speed shop is located in mahomet champaign and bloomington il scram speed offers fabrication and welding services,11,50,30
analytics finance blockchain big data,web app,no recent company activity detected,a cryptocurrency predictions marketplace,5,10,7
health,mobile app web app,no recent company activity detected,all in one software for fitness studios and gyms to manage scheduling sales and marketing,0,3,1
analytics data startups big data,service web app,no recent company activity detected,statful is a customized monitoring platform to track any type of metric we provide you with realtime data in a centralized pointofview,5,10,7
communication design marketing messaging,web app,low company activity detected,branding compass gives automated expert branding advice discover the best words fonts colors  visuals for your branding and marketing,0,3,1
finance startups,desktop app hardware mobile app physical goods service web app,high company activity detected,live casino that accept bitcoin deposit search tool,0,2,1
entertainment finance,desktop app hardware mobile app physical goods service web app,no recent company activity detected,online casino sites accepting neteller search tool,0,2,1
sharing economy startups,mobile app,high company activity detected,peertopeer tool rental application on ios,5,10,7
security,service,no recent company activity detected,dmarcly is a saas application that blocks phishing business email compromise ransomware spam and improves email deliverability,0,2,1
education finance productivity startups,mobile app web app,high company activity detected,one tap search and organize logr aggregates search simplifies project management and facilitates community sharing,0,2,1
finance accounting and legal,desktop app web app,low company activity detected,online estate planning,5,10,7
other,service,high company activity detected,we are premier provider of martial arts classes in fairfax va,0,1,0
e commerce startups,desktop app service,sourced by startup tracker,profitguru is the easiest way to find the most profits on amazon,5,10,7
startups,service,no recent company activity detected,cpr is arizonas premier automotive motorsports shop,11,50,30
other advertising marketing,service,high company activity detected,address 968 main st wakefield ma 01880 usa phone no 9787377059 email id alexisapexinvestscom,0,1,0
marketing startups,service,no recent company activity detected,since 1976 harpers point eye associates has been treating residents in the cincinnati region for all their eye care needs,11,50,30
productivity,desktop app web app,high company activity detected,infinity is an allinone project management platform where you can organize anything your way,5,10,7
marketing startups,service,no recent company activity detected,btb construction inc has been providing professional roofing siding and window services to residential,11,50,30
advertising e commerce marketing startups,service,no recent company activity detected,young w chung dds offers best and high quality cosmetic and general dentistry services,11,50,30
advertising marketing media startups,service,high company activity detected,a creative video agency focused on helping startups and brands with video advertising,5,10,7
retail,physical goods,low company activity detected,5 greeting cards that can be customized for your loved ones scheduled in advance and digitally signed free shipping,0,2,1
consulting health accounting and legal medical,mobile app,high company activity detected,kounsel is a platform where clients can look for counselors any profession and get help at any time,11,50,30
other advertising,other,no recent company activity detected,we buy houses anywhere in the dfw,0,1,0
advertising,service,high company activity detected,fasturtle has been consistently awarded one of phoenix,0,1,0
communication events social networks content,mobile app web app,no recent company activity detected,connecting crowds through qa the right way to bring everyone closer to their community,0,4,2
communication e commerce finance gaming,web app,high company activity detected,real time phishing intel simplified,5,10,7
health,service,high company activity detected,at 1st choice dental our goal is to provide our patients,0,1,0
advertising design marketing startups,web app,no recent company activity detected,blendful is a vector editor and marketplace nonillustrators can use assets from designers around the world to create their next project,0,2,1
other advertising,service,high company activity detected,we are proud to serve our community in inland empire,0,1,0
advertising,service,high company activity detected,chefselect 361 is the child company of pyramid food service,0,1,0
other productivity startups software dev,web app,high company activity detected,agile based project management with weekly sprints,51,100,75
advertising,other,high company activity detected,the team at dimensional has a combined 190 years of experience,0,1,0
