description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking
True Reply lets you launch AI-powered voice applications to Amazon Alexa & Google Assistant without any engineering,https://truereply.com?ref=startuptracker,https://www.crunchbase.com/organization/truereply,True Reply,1,"entertainment, marketing",web app,"b2b, subscription","True Reply, oneQube",June 17 2019,Sparta US,10-May,3,2,Self,585,9,889,5.2m
SocialMeep builds automatic growth and marketing tools for Instagram.,https://socialmeep.com?ref=startuptracker,https://www.crunchbase.com/organization/socialmeep,SocialMeep,4,"marketing, productivity, social networks, startups","desktop app, mobile app, service, web app","b2c, b2b, freemium, subscription",SocialMeep,March 4 2018,New York US,11-50,3,2,Undisclosed,184,9,89.1k,54k
An ecosystem of UI/UX and product design resources to help you become a more mindful designer and create better products.,http://DesignerUp.co?ref=startuptracker,https://angel.co/company,DesignerUp,1,"design, education, software dev",web app,"b2c, free to use, sales",DesignerUp,October 21 2018,San Francisco US,4,3,1,Undisclosed,630,9,13.7k,346.7k
"KaTang is an end-to-end content marketing platform that facilitates co-branded content curation and distribution, all for free.",https://katang.io/?t_pid=2?ref=startuptracker,https://www.crunchbase.com/organization/katang,KaTang,1,"advertising, marketing, startups, content",web app,"b2c, b2b, free to use","strategynode, Tyler J. Fox",November 1 2019,Lehi US,4,3,1,Undisclosed,12,9,788,5.9m
"Shopping assistant browser extension that provides coupons, price tracks and helps users shop sustainably.",https://www.freedomrains.com/?ac=218B21?ref=startuptracker,https://producthunt.com/posts/freedom-super-saver-shopping-assistant,"Above & Beyond Studios, Inc.",2,"advertising, e commerce, media, content","mobile app, web app","b2c, free to use, commission, affiliation","Rad Padre, Freedom TV+ (Streaming on Roku & Amazon Fire TV)",June 26 2019,Boston US,10-May,3,1,Undisclosed,356,9,0,0
"Private Search Engine, Powered by the Blockchain",http://vyrocapp.com?ref=startuptracker,https://www.crunchbase.com/organization/vyroc,Vyroc,4,"security, blockchain",mobile app,"b2c, free to use, advertising, subscription",VyrocApp,January 1 2020,New York US,10-May,3,2,Undisclosed,17,9,0,0
We connect founders and help them grow,https://www.astronomic.com?ref=startuptracker,https://startuptracker.io,Astronomic,4,"communication, marketing, startups, sales","service, web app","b2b, freemium, sales, subscription",Chris Beaman,June 1 2020,Austin US,11-50,2,2,Self,33,9,1k,4.5m
"Snipply connects the content inside the apps you already use like G Suite and Microsoft® Office, allowing you to keep everything in sync.",http://www.snipply.io?ref=startuptracker,https://startuptracker.io,Snipply,4,"data, productivity, startups, content","other, desktop app, mobile app, web app","b2c, b2b, freemium, subscription",Snipply,June 1 2019,New York US,10-May,1,1,Undisclosed,105,9,1.3k,3.5m
"bipp is an enterprise-grade, cloud business intelligence platform. We help data analysts create faster queries & deliver sharper insights.",https://bipp.io/?ref=startuptracker,https://www.crunchbase.com/organization/bipp-analytics,bipp Analytics,1,"analytics, manufacturing, productivity, software dev","desktop app, web app","b2b, affiliation, freemium, sales",Angshuman Guha,July 15 2017,Plano US,11-50,2,1,Undisclosed,100,9,5k,945.2k
Through the Agreemint Contract AI users engage in a contract workflow that delights everyone - legal or non-legal.,https://www.agreemint.com?ref=startuptracker,https://www.crunchbase.com/organization/agreemint,Agreemint,1,"productivity, accounting and legal, ai, sales","desktop app, mobile app, web app","b2c, b2b, freemium, sales, subscription",agreemint,February 10 2018,San francisco US,4,2,1,Undisclosed,31,9,671,6.9m
Bug reporting tool for mobile apps.,https://www.shakebugs.com/?ref=startuptracker,https://www.crunchbase.com/organization/shake-2266,Shake,1,software dev,"mobile app, web app","b2b, freemium",Shake SDK,October 1 2019,Newark US,10-May,3,1,Undisclosed,27,9,17.4k,272.4k
Online whiteboard - a tool for remote collaboration and distance learning,https://deskle.com?ref=startuptracker,https://crunchbase.com/organization/deskle-2,Deskle,4,"data, design, education, productivity","service, web app","b2c, b2b, subscription",Deskle,January 14 2016,Wilmington US,10-May,3,1,Undisclosed,14,9,5.4k,866.7k
Automated Ad A/B testing for Google Ads,https://adoptics.com?ref=startuptracker,https://www.crunchbase.com/organization/adoptics-c174,AdOptics,2,"advertising, marketing",desktop app,"b2b, free to use, subscription","Shannon S, PayLoadz",September 1 2020,Philadelphia US,3,3,1,Undisclosed,5,9,1.8k,2.5m
"Mooditude is a practical, modern-day solution for your mental health and well-being.",https://www.mooditude.app/?ref=startuptracker,https://producthunt.com/posts/mooditude,Mooditude,1,"communication, medical",mobile app,"b2c, freemium",Mooditude App,May 1 2019,Santa Monica US,10-May,3,1,Undisclosed,1k,9,577,8m
We help agency operators streamline and gain additional insights into their websites.,https://watchtowerhq.co?ref=startuptracker,https://www.crunchbase.com/organization/watchtowerhq,WatchTowerHQ,4,"marketing, startups",web app,"b2b, subscription",WatchTowerHQ,March 1 2020,Boston US,10-May,2,1,Self,4,9,2.5k,1.9m
NullBox is an email privacy service that protects the privacy of your inbox with disposable email addresses.,https://nullbox.co?ref=startuptracker,https://startuptracker.io,NullBox,4,"communication, productivity, security","mobile app, web app","b2c, subscription",nullbox,April 9 2020,Raleigh US,1,3,1,Self,8.2m,9,560,8.2m
HTML email builder and preview tool,https://email2go.io?ref=startuptracker,https://producthunt.com/posts/email2go,Email2Go,1,"advertising, design, marketing",web app,"b2c, b2b, freemium, subscription",Email2Go,January 15 2020,New York US,10-May,3,1,Undisclosed,36,9,5.5k,851.5k
kNEEBU brings in person and remote services to your doorsteps. Beta release scheduled in October 2020.,https://kNEEBU.com?ref=startuptracker,https://www.crunchbase.com/organization/kneebu-llc,kNEEBU,1,"education, productivity, startups","mobile app, service","b2c, b2g, commission","Nishant, DigsFact, DigsFact LLC",September 27 2018,Chicago US,10-May,2,2,Undisclosed,26,9,0,0
Smartbate is a platform for users to vote and create polls on issues that matter to them.,https://smartbate.com?ref=startuptracker,https://www.crunchbase.com/organization/smartbate,Smartbate,4,"analytics, marketing, social networks, ai","mobile app, web app","b2c, subscription",Smartbate,June 1 2020,San Francisco US,10-May,3,1,Undisclosed,3,9,0,0
Centro is a shared inbox and Salesforce connector for revenue teams to thrive in Slack,https://www.centro.rocks/#startuptracker?ref=startuptracker,https://www.producthunt.com/posts/centro?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,Centro,1,"startups, bots, messaging, sales",web app,"b2b, subscription",Ryan Hitchler,February 20 2020,Boulder US,2,3,1,Undisclosed,61,9,4.3k,1.1m
"""TRIBE is a global platform that matches businesses to the worlds top digital marketing talent, teams, and tools.""",http://www.workwithtribe.com?ref=startuptracker,https://crunchbase.com/organization/tribe-25da,TRIBE,4,"advertising, analytics, marketing, hr and recruitment",web app,"free to use, advertising, freemium, subscription",tribe,January 1 2020,Washington DC US,11-50,3,1,Undisclosed,36,9,0,0
FareUpThere is airline passenger insights company that rewards passengers for sharing their feedback on flights.,http://fareupthere.com/?ref=startuptracker,https://www.crunchbase.com/organization/fareupthere,FareUpThere,1,travel,"mobile app, web app","b2c, b2b, commission, subscription",Malcolm Woods,February 22 2020,Houston US,4,2,1,Undisclosed,30,9,2.2k,2.1m
Bryan Grey provides blog monetization tips for beginner bloggers who wish to grow their blogs and make money online.,https://www.officialbryangrey.com?ref=startuptracker,https://crunchbase.com/organization/officialbryangrey,Bryan Grey,2,"marketing, social networks, startups, content","other, service","b2b, advertising, affiliation",Bryan Grey,September 5 2018,Illinois US,1,3,1,Undisclosed,32,9,7.2k,653.3k
CRM solution that takes on a full-funnel sales and marketing approach.,https://gocrm.io/?ref=startuptracker,https://www.crunchbase.com/organization/gocrm,GoCRM,3,"automotive, marketing, sales, real estate","mobile app, web app","b2b, subscription",GoCRM,March 1 2019,Texas US,10-May,3,2,Undisclosed,7,9,12.6k,377k
"The first Native Social Shopping Platform for merchants, influencers and shoppers.",https://tuli.com/?ref=startuptracker,https://crunchbase.com/organization/tuli-technologies,"Tuli Technologies, Inc.",2,"advertising, e commerce, social networks, ai","mobile app, web app","b2c, b2b, free to use, commission",David Wilmot,August 1 2018,San Clemente US,11-50,3,1,795k,See,9,1.3k,3.6m
"Karl is the perfect way to spread positivity by giving kudos, shout outs, or heaping praise for employees who go above & beyond.",https://trykarl.com?ref=startuptracker,https://crunchbase.com/organization/kudosbot,Karl (prev KudosBot),4,"health, productivity, hr and recruitment, startups","service, web app","b2b, freemium",Fahim Karim,September 1 2019,Seattle US,1,3,1,Undisclosed,36,9,0,0
Pool Marketing provides best-in-class Digital Marketing solutions for Pool Builders & Pool Service companies.,https://www.poolmarketing.com?ref=startuptracker,https://www.crunchbase.com/organization/pool-marketing,Pool Marketing,4,"advertising, consulting, marketing","service, web app","b2c, advertising, sales, subscription",poolmarketing,February 1 2020,Sacramento US,11-50,3,2,350k,161,9,2.5k,1.9m
Browser Push Notification for bitcoin,http://alertsforbtc.com?ref=startuptracker,https://producthunt.com/posts/alertsforbtc-com,alertsforbtc.com,1,"design, blockchain",web app,"b2c, affiliation",Alex Edmonds🎙️,January 26 2018,San Jose US,1,3,1,Undisclosed,259,9,259,0
Memorize: Learn New Words with Flashcards,https://memorize.tech?ref=startuptracker,https://betalist.com/startups/memorize,Memorize,3,"education, ai, big data, bots","mobile app, web app","b2c, sales",Memorize,February 29 2020,LA US,11-50,3,2,Undisclosed,1,9,1,0
Enabling eCommerce for all,https://www.cenports.com?ref=startuptracker,https://crunchbase.com/organization/cenports-commerce,Cenports,3,other,web app,"b2b, subscription",Cenports Commerce,November 17 2017,Hayward US,11-50,3,1,Undisclosed,4,9,14.3k,332.3k
Web and Mobile app Development Company,https://www.fortunesoftit.com/?ref=startuptracker,https://crunchbase.com/organization/fortunesoft-it-innovations-inc,"Fortunesoft IT Innovations, Inc",4,"e commerce, finance, software dev, hospitality","mobile app, service, web app","b2b, other",Fortunesoft,January 1 2009,Nashville US,51-100,2,1,Undisclosed,38,9,27.2k,175.2k
Keeper automatically finds tax write offs among your bank statements for $10 per month.,https://keepertax.com?ref=startuptracker,https://www.crunchbase.com/organization/keeper-tax,Keeper Tax,1,finance,"service, web app","b2c, b2b, subscription",Keeper Tax,January 1 2018,San Francisco US,10-May,3,1,Undisclosed,151,9,67.2k,71.4k
Live Recording & Your Rights in one Click,https://www.reyets.com?ref=startuptracker,https://www.crunchbase.com/organization/reyets,Reyets,1,"education, governmental, security, accounting and legal","mobile app, service","b2c, b2b, b2g, non profit, free to use, advertising, affiliation, subscription","Wail Ashshowwaf, Stuck in the Sand, Rooam",June 13 2017,Washington US,4,2,1,100k,618,9,995,4.7m
Privacy by design customer segmentation AI platform that predicts demographics from names providing full coverage and accuracy estimate,https://demografy.com?ref=startuptracker,https://crunchbase.com/organization/demografy,Demografy,2,"analytics, data, marketing, ai",web app,"b2b, subscription","Kirill Rebrov, Natalia Tsvetkova",September 1 2018,Lithia US,3,3,2,Undisclosed,15,9,1.2k,3.8m
BankFolio helps people save time and money by showing them all their account balances and transactions in one place.,https://bankfolio.app/?ref=startuptracker,https://producthunt.com/posts/bankfolio,BankFolio,2,"finance, productivity, startups, software dev","mobile app, service","b2c, subscription",Basam Alasaly,January 21 2020,Tempe US,2,3,2,Undisclosed,10,9,10,0
"Helps freelancers limit procrastination, increase focus & improve work-life balance by converting their to-do list into a daily schedule",https://dayoptimizer.com/?ref=startuptracker,https://crunchbase.com/organization/day-optimizer,Day Optimizer,2,productivity,web app,"b2c, b2b, subscription",Trevor Lohrbeer,May 21 2018,Asheville US,1,2,2,Undisclosed,25,9,2.3k,2m
Cloudycosts helps companies save on cloud computing costs.,https://www.cloudycosts.com?ref=startuptracker,https://startuptracker.io,CloudyCosts,1,"security, startups, big data, software dev",web app,"b2b, subscription","Mark Milbourne, Tallie",January 1 2020,Walnut Creek US,4,3,1,Undisclosed,9,9,Undisclosed,0
Time Doctor is an employee time tracking software that helps you and your team get a lot more done each day.,http://www.timedoctor.com?ref=startuptracker,https://www.crunchbase.com/organization/time-doctor,Time Doctor,1,startups,"desktop app, mobile app, web app","b2b, freemium",Time Doctor,February 1 2012,Delaware US,51-100,3,1,Self,6.5k,9,272.1k,17.8k
On-demand healthcare service enabling patients and doctors to connect via mobile app.,https://m-hospital.com/?ref=startuptracker,https://www.crunchbase.com/organization/mhospital,mHospital,1,"other, biotech, health, medical",service,"other, b2c, commission",mHospital,September 28 2017,Torrance US,11-50,3,1,Undisclosed,11,9,2.7k,1.7m
Automated direct mail and gifting that integrates into sales and marketing workflows,https://postal.io/?ref=startuptracker,https://crunchbase.com/organization/postal-io,Postal,1,"marketing, sales",desktop app,"b2c, b2b, free to use, subscription","Postal.io, TextRecruit",September 1 2019,San Luis Obispo US,11-50,3,1,9m,523,9,77.4k,62.1k
A drag and drop AI platform,https://datrics.ai?ref=startuptracker,https://crunchbase.com/organization/datrics,Datrics,1,"analytics, ai",web app,"b2b, subscription",Kirill,May 19 2019,Middletown US,10-May,3,1,250k,59,9,6.5k,721k
"The worlds most advanced platform for helping patients find better care, faster",https://medifind.com?ref=startuptracker,https://crunchbase.com/organization/medifind,MediFind,1,"biotech, health, ai, big data","service, web app","b2c, b2b, free to use, freemium",MediFind,February 29 2020,Philadelphia US,11-50,3,1,Undisclosed,85,9,4.8k,976.4k
Sportlo is the local sports parent hub that allows users to stay connected with their youth sports community.,https://sportlo.com/?ref=startuptracker,https://crunchbase.com/organization/sportlo,Sportlo,4,"social networks, startups","desktop app, web app","b2c, free to use",Sportlo,May 25 2019,Houston US,2,3,1,Self,661,9,0,0
API design first platform for developing REST and Async APIs,https://www.restcase.com?ref=startuptracker,https://crunchbase.com/organization/restcase-inc,RestCase,2,"startups, software dev","service, web app","b2c, b2b, freemium, subscription",RestCase,January 1 2019,Delaware US,10-May,3,1,Undisclosed,130,9,9.9k,478.8k
Starkflow builds high performing remote teams for you.,https://www.starkflow.co/?ref=startuptracker,https://startuptracker.io,Starkflow,4,"hr and recruitment, startups, ai, software dev",desktop app,"b2b, commission, subscription",Starkflow,March 3 2018,New York US,11-50,1,1,Self,8,9,6.1k,768.3k
Organize your project,https://www.zenkit.com?ref=startuptracker,https://www.crunchbase.com/organization/zenkit,Zenkit,1,"data, productivity, bots","mobile app, web app","b2c, b2b, non profit, free to use","Martin Welker, Peter Oehler, Lookeen Desktop Search",May 21 2016,Wilmington US,11-50,2,1,Self,1.9k,9,72.1k,66.6k
Waitwhile is a smart waitlist and scheduling platform that helps 10000+ organizations bust their lines and create awesome wait experiences.,https://waitwhile.com?ref=startuptracker,https://www.crunchbase.com/organization/waitwhile,Waitwhile,1,other,web app,"b2b, freemium",Waitwhile,January 1 2016,San Francisco US,11-50,3,1,Undisclosed,137,9,66.6k,72.1k
100% free business planning software that increases your business startup success dramatically and takes less than 10 mins to complete.,https://www.plansnack.com?ref=startuptracker,https://betalist.com/startups/plansnack,PlanSnack,4,"advertising, e commerce, startups, accounting and legal",web app,"b2c, b2b, free to use","Namesnack, Namesnack",February 29 2020,San Francisco US,10-May,3,1,Self,250,9,703,6.6m
Web-app to play partygames like Werewolf over videochat with your friends and family.,http://riotz.io?ref=startuptracker,https://startuptracker.io,Riotz,4,"gaming, social networks, startups",web app,"b2c, free to use",,May 1 2020,Palo Alto US,3,2,1,Undisclosed,9,9,Undisclosed,0
"Sonrai Security delivers an enterprise security platform focused on identity and data governance inside AWS, Azure, GCP, and Kubernetes",https://sonraisecurity.com?ref=startuptracker,https://www.crunchbase.com/organization/sonrai-security,Sonrai Security,1,"finance, health, insurance, travel","other, service, web app","b2b, sales, subscription",Sonraí Security,October 1 2017,New York US,11-50,3,2,Undisclosed,1.7k,9,12k,394.2k
"Plan, track, stay aligned and achieve business objectives with your team",https://keepsolid.com/goals/?ref=startuptracker,https://crunchbase.com/organization/goals-by-keepsolid,KeepSolid Goals,4,"productivity, startups, software dev",web app,"b2c, b2b, free to use, freemium, sales, subscription","KeepSolid Goals, KeepSolid Inc., Vasiliy Ivanov",August 20 2019,NY US,10-May,3,1,Undisclosed,1.3k,9,80.5k,59.7k
"OneKey: 1 Keyboard with all your Productivity Apps Schedule 📆, add ✅, take 📝, CRM 👥, directly from your messaging apps 💬✉️ !",http://www.getonekey.io/?ref=startuptracker,https://angel.co/company,OneKey,2,"consulting, productivity, startups, sales",mobile app,"b2c, b2b, freemium",,November 5 2019,Delaware US,10-May,2,1,Undisclosed,See,9,0,0
"Business name generator and domain search in one. Find creative and available domains for your startup, shop, or new business.",https://www.namesnack.com?ref=startuptracker,https://betalist.com/startups/namesnack,Namesnack,4,"e commerce, startups, ai",web app,"b2c, b2b, free to use","Namesnack, PlanSnack",February 29 2020,Austin US,1,3,2,Self,250,9,116.7k,41.3k
"Chaine is a productivity tool that helps logistics teams eliminate wasteful tasks, reduce operating costs, and get scaling superpowers.",https://www.getchaine.com/?ref=startuptracker,https://crunchbase.com/organization/chaine,Chaine,1,"communication, productivity, startups","desktop app, mobile app, web app","b2b, subscription",Chaine,November 11 2019,San Francisco US,3,2,2,Self,9,9,0,0
"Financial data platform, by developers, for developers.",https://polygon.io?ref=startuptracker,https://www.crunchbase.com/organization/polygon-io,Polygon.io,1,finance,service,"b2c, b2b, free to use",Polygon.io,January 4 2017,Atlanta US,10-May,3,1,Undisclosed,469,9,162.4k,29.8k
"Business cards for large teams, made simple",https://www.brandly.com?ref=startuptracker,https://angel.co/brandly-1,Brandly,4,design,service,"b2b, other",Brandly,February 3 2017,Woodside US,10-May,3,1,1,5,9,19k,249.8k
Future of Work SaaS,http://www.gignav.com?ref=startuptracker,https://crunchbase.com/organization/gignav-inc,Gignav,3,productivity,"mobile app, service, web app","b2c, b2b, free to use, commission, subscription","Gignav, Om Soni",April 10 2019,Detroit US,10-May,3,1,Undisclosed,11,9,0,0
"A new and better way to shorten, track and share links with your team.",https://inleven.com/?ref=startuptracker,https://www.crunchbase.com/organization/inleven,Inleven,4,"advertising, analytics, e commerce",web app,"b2c, b2b, subscription","Inleven App, Alberto Sustiel,",September 2 2019,Bonita US,10-May,3,1,Undisclosed,254,9,0,0
"We help people find a remote job at over 2,000+ remote companies in Software Development, Design, Support, Sales etc.",https://dailyremote.com?ref=startuptracker,https://startuptracker.io,DailyRemote,1,hr and recruitment,web app,"b2c, b2b, free to use, sales",DailyRemote,August 1 2019,new york US,2,3,1,Undisclosed,5.5k,9,25.2k,188.8k
A flexible software testing platform.,https://www.rainforestqa.com/?ref=startuptracker,https://www.crunchbase.com/organization/rainforest,Rainforest QA,1,"startups, software dev",service,"b2b, freemium, sales, subscription","Russell Smith 🚀\U0001f9d0, Fred Stevens-Smith",January 1 2012,San Francisco US,11-50,3,2,41.2m,2.4k,9,45.7k,104.6k
Tāne is your home construction project assistant,https://www.tanebuild.com/?ref=startuptracker,https://crunchbase.com/organization/t%C4%81ne,Tāne,4,"communication, real estate","mobile app, web app","b2c, freemium",James Peel,January 1 2020,San Francisco US,3,1,1,Undisclosed,10,9,0,0
PR Consulting Agency that helps Founders get Business Press through personal branding and thought leadership marketing.,https://rubymediagroup.com?ref=startuptracker,https://crunchbase.com/organization/ruby-media-group,Ruby Media Group Inc.,1,"consulting, health, media, medical",service,"b2c, b2b, other","Kristen Ruby, RubyMediaGroup®",June 1 2009,New York US,2,3,1,Undisclosed,945,9,3.2k,1.5m
"A dedicated space to help people\xa0organize,\xa0curate\xa0and\xa0discover\xa0their favorite digital content",https://bookshlf.com/?ref=startuptracker,https://crunchbase.com/organization/bookshlf,Bookshlf,1,"entertainment, media, social networks, content","desktop app, mobile app, web app","b2c, advertising, subscription",Bookshlf,March 19 2019,New York US,3,3,1,Undisclosed,592,9,7.9k,596.3k
Top quality social media content that fits every budget,https://postpanda.co/?ref=startuptracker,https://startuptracker.io,Post Panda,4,"other, advertising, marketing",service,"b2b, subscription",PostPanda,August 28 2019,Virginia US,10-May,3,1,Undisclosed,42,9,0,0
UI Bakery – the first low-code platform which allows creating branded frontend apps based on a custom Design System,https://uibakery.io/?ref=startuptracker,https://www.crunchbase.com/organization/ui-bakery,UI Bakery,1,"design, e commerce, media, software dev",web app,"b2c, b2b, subscription","Vladimir Lugovsky, Konstantin Danovsky",November 1 2018,Denver US,11-50,3,1,Undisclosed,687,9,18.3k,259.8k
"We help home buyers save time, be more confident, and manage their whole home buying experience.",https://tryhomeflow.com?ref=startuptracker,https://startuptracker.io,HomeFlow,4,"productivity, real estate","desktop app, mobile app, web app","b2c, commission, advertising",HomeFlow,December 1 2019,New York US,1,3,1,Self,136,9,3.3k,1.4m
CloudLead uses machine learning tools backed by human researchers to help B2B sales and marketing teams scale their outbound processes.,http://www.cloudlead.co?ref=startuptracker,https://www.crunchbase.com/organization/cloudlead,Cloudlead,2,"advertising, data, marketing, sales, productivity","service, web app","b2b, sales, subscription",CloudLead.co,March 1 2016,"San Mateo, CA US",11-50,3,2,Undisclosed,1.1k,9,7.3k,645.2k
Avvnue makes information and expertise accessible to every professional in the world through our online expert network marketplace,https://www.avvnue.com?ref=startuptracker,https://www.crunchbase.com/organization/avvnue-inc,Avvnue,4,"consulting, productivity, hr and recruitment, startups","desktop app, service, web app","b2b, freemium, subscription",Avvnue Inc,June 6 2019,Houston US,10-May,3,1,Undisclosed,135,9,0,0
Incubator and coworking space,https://worclab.org?ref=startuptracker,https://crunchbase.com/organization/worclab,WorcLab,4,startups,service,"b2b, free to use",WorcLab,March 3 2010,Worcester US,10-May,3,1,Undisclosed,588,9,848,5.5m
Solve Your Personal Finances Today,https://pigly.com?ref=startuptracker,https://www.crunchbase.com/organization/pigly,Pigly,4,finance,web app,"b2c, free to use",Pigly,September 9 2019,San Francisco US,10-May,3,1,Undisclosed,81,9,4.3k,1.1m
Cereo is a visual feedback and bug tracking tool that lets people give feedback with annotated screenshots and enriched browser data,https://cereo.io?ref=startuptracker,https://startuptracker.io,Cereo,4,"other, marketing, startups, software dev",web app,"b2b, freemium, subscription",Cereo,February 28 2020,California US,1,2,1,Self,11,9,664,7m
Kalshi is a platform where users trade on the outcome of different events to hedge against the risk of every day life.,https://www.kalshi.com/?ref=startuptracker,https://www.crunchbase.com/organization/kalshi,Kalshi,1,finance,"mobile app, web app","b2c, other",,January 10 2019,San Francisco US,10-May,1,1,Undisclosed,See,9,5.6k,845.8k
Beautifully furnished apartments for business professionals and individual renters looking for a turnkey living solution.,https://www.theblueground.com?ref=startuptracker,https://www.crunchbase.com/organization/blueground,Blueground,1,"travel, hospitality",service,"b2c, b2b, sales",Blueground,August 2 2013,New York US,501-1k,3,2,77.6m,1.8k,9,86.5k,55.6k
"Helping Managers build great teams with meaningful 1-on-1s, continuous feedback, motivation & performance tracking and closing key actions",https://www.peoplebox.ai/?ref=startuptracker,https://crunchbase.com/organization/peoplebox-ai,Peoplebox,1,"productivity, hr and recruitment, startups",web app,"b2b, other, freemium",Peoplebox,December 11 2018,San Francisco US,11-50,3,1,Undisclosed,218,9,7.8k,601.2k
A marketplace for entrepreneurs to discover lifetime software deals and huge discounts.,https://rebeliance.com?ref=startuptracker,https://angel.co/rebeliance,Rebeliance,4,"e commerce, marketing, startups, sales","other, service, web app","b2c, b2b, other, commission, sales",Rebeliance,November 27 2018,Oxford US,1,3,1,Undisclosed,40,9,4.3k,1.1m
Discover land that works for you,https://www.landsearch.com?ref=startuptracker,https://www.crunchbase.com/organization/landsearch,LandSearch,1,"marketing, big data, content, real estate",web app,"b2c, freemium, subscription",Michael Leigeber,January 1 2016,Colorado Springs US,10-May,3,1,Undisclosed,1.3k,9,33.6k,142k
Import APIs into Google Sheets without writing any scripts. Connect and import JSON and CSV APIs to Google Sheets quickly and easily.,https://apipheny.io?ref=startuptracker,https://www.crunchbase.com/organization/apipheny,Apipheny,1,"analytics, data, marketing, software dev","desktop app, web app","b2c, b2b, subscription",Apipheny,January 1 2020,San Francisco US,2,2,1,Undisclosed,47,9,27.5k,173.1k
ZenSports is a peer-to-peer sports betting marketplace.,http://zensports.com/?ref=startuptracker,https://www.crunchbase.com/organization/zensports,ZenSports,3,"other, startups","other, service","other, b2c, free to use",Mark Thomas,September 5 2017,San Francisco US,2,3,2,Undisclosed,See,9,9.5k,499.5k
"SlideTeam is the worlds largest supplier of innovative PowerPoint content. You can get perfect PowerPoint themes, Slides & designs here",http://www.slideteam.net?ref=startuptracker,https://www.crunchbase.com/organization/slideteam,SlideTeam,1,"design, finance, marketing, sales",service,"b2c, b2b, other",SlideTeam,January 5 2005,New York US,51-100,3,1,Undisclosed,499,9,801.9k,6.1k
