,Categories,Closed Date Year,Description,Founded Date,Headquarters Location,Number of Founders,Number of Funding Rounds,Organization Name,Total Funding Amount,success
41,"Cloud Data Services, Enterprise Software, Information Technology",2011,Horizontal Glue is a Web-based building information modeling (BIM) solution for the construction industry.,2009,"New York, New York, United States",1.0,1.0,Horizontal Systems,5266132.0,1.0
42,"Enterprise Software, Flash Storage",2011,Centripetal Software provides solutions for users to back up data and files stored in online applications.,2009,"Santa Barbara, California, United States",,1.0,Centripetal Software,25000.0,0.0
43,"Content, Guides, TV",2011,Internet TV Guide,2010,"San Francisco, California, United States",,1.0,Moki.tv,5266132.0,0.0
44,"Cooking, Recipes, Web Browsers",2011,Rerecipe is a recipe sharing and cooking site that allows users to post and share recipes.,2010,"San Francisco, California, United States",,1.0,Rerecipe,100000.0,0.0
45,"Analytics, Social Media, Software",2011,WideAngle metrics helps publishing companies analyze and understand impact and activity across social media and review sites.,2009,"Boyes Hot Springs, California, United States",2.0,1.0,WideAngle Metrics,100000.0,0.0
46,"Mobile, Mobile Apps, Productivity Tools, Project Management, Small and Medium Businesses",2011,A mobile app for BasecampHQ.,2010,"Charlotte, North Carolina, United States",1.0,1.0,KompassHQ,15000.0,0.0
47,"Auctions, E-Commerce, Fashion",2011,online auction site,2009,"Palo Alto, California, United States",3.0,1.0,oohilove,5266132.0,0.0
48,"E-Commerce, Enterprise Software, iOS, Point of Sale",2011,"orderTopia offers restaurant and retail industries with POS solutions, including mobile and online ordering, and social network integration.",2009,"Charlottesville, Virginia, United States",2.0,1.0,orderTopia,5266132.0,0.0
49,"Automotive, Coupons, Group Buying, Retail, Software",2011,"DealBird creates a a free, secure, feature-rich classifieds plug-in for online community software platforms.",2010,"Santa Monica, California, United States",,1.0,DealBird,5266132.0,0.0
50,"EdTech, Education, Software",2011,Straight Up English is an English language learning SaaS company solving speech challenges for non-native speakers of English.,2009,"Washington, District of Columbia, United States",,1.0,Straight Up English,5266132.0,0.0
51,Advertising,2011,Promotional Platform Giveaway 1 item day,2010,"Miami, Florida, United States",,1.0,FreeLunched,5266132.0,0.0
52,News,2011,"Architectural Daily, a news web site focused on sustainable design and spreading news on the advancements made by Northwest designers.",2009,"Scottsdale, Arizona, United States",,1.0,Architectural Daily,5266132.0,0.0
53,"Online Portals, Shopping, Social",2011,Plurchase is an online social shopping site that allows their customers to chat with others.,2009,"San Francisco, California, United States",,1.0,Plurchase,5266132.0,0.0
54,"Consulting, Web Design, Web Development, Web Hosting",2011,"Ground Zero Group Corporation is an IT services company offering consulting, security, and web design services.",2009,"Minneapolis, Minnesota, United States",,1.0,Ground Zero Group Corporation,5000.0,0.0
55,"Collaboration, Content, File Sharing",2011,Content sharing and collaboration,2009,"Cleveland, Ohio, United States",2.0,1.0,CorkShare,5266132.0,0.0
56,"Developer Tools, Information Services, Software, Web Development",2011,"Luristic is a software company specializing in rich user experiences for websites, web and mobile applications, and games.",2009,"Irvine, California, United States",,1.0,Luristic,500000.0,0.0
57,"Charity, Messaging, Mobile, Non Profit, SMS",2011,Charitas is a technology-focused company that offers mobile marketing solutions for non-profit organizations.,2009,"Raleigh, North Carolina, United States",,1.0,Charitas,3000.0,0.0
58,"Communications Infrastructure, Social Media, Universities",2011,"University Media offers UMonkey, a communications portal and newsletter that acts as an interactive campus guide for students.",2009,"New York, New York, United States",,1.0,University Media,50000.0,0.0
59,"Health Care, Online Portals, Wellness",2012,Medley Health provides physician practice management services for independent primary care physicians and their patients.,2010,"Dublin, California, United States",1.0,4.0,Medley Health,32999999.0,0.0
60,"Real Time, Restaurants, Search Engine",2012,BiteHunter was a real-time location-based mobile app that helps users find dining deals.,2010,"New York, New York, United States",2.0,1.0,BiteHunter,800000.0,0.0
61,"Advertising, Analytics, Marketing Automation, Software, Web Design",2012,Performable is a marketing automation company that develops software for analyzing sales and marketing performance.,2009,"Cambridge, Massachusetts, United States",3.0,1.0,Performable,3000000.0,1.0
62,"E-Commerce, Events, Social Network",2012,"Cocodot is a social commerce site for finding products, invitations, and inspiration for modern parties and home entertainment.",2009,"Los Angeles, California, United States",1.0,3.0,Cocodot,6659995.0,0.0
63,"E-Commerce, Shopping, Small and Medium Businesses",2012,ybuy is a membership club that curates gadgets and other products to let consumers try them before purchasing for themselves.,2011,"Beverly Hills, California, United States",2.0,2.0,ybuy,1750000.0,0.0
64,"Developer APIs, Enterprise Software, File Sharing, Location Based Services, Open Source",2012,Geoloqi is a platform that facilitates the development of location-aware apps with geotriggers and real-time location capabilities.,2010,"Portland, Oregon, United States",2.0,2.0,Geoloqi,350000.0,1.0
65,"Apps, Digital Marketing, Marketing, Music, Social, Software",2012,Social Genius is a data analytics software company helping brands better spend their marketing dollars.,2010,"Mountain View, California, United States",2.0,1.0,Social Genius,1320384.0,0.0
66,"EdTech, Education, Higher Education",2012,Acceptly is a web-based tool enabling high school students and parents to manage the college preparation and application process.,2011,"Los Angeles, California, United States",3.0,1.0,Acceptly,500000.0,0.0
67,"Mobile, Mobile Apps, Online Portals",2012,TekTrak is a mobile app that enables users to remotely track their smartphone and secure any information stored on the device.,2010,"Culver City, California, United States",2.0,2.0,TekTrak,600000.0,0.0
68,"E-Commerce, Machine Learning",2012,Inporia develops e-commerce driven apps and widgets for smartphones.,2011,"San Francisco, California, United States",2.0,1.0,Inporia,1250000.0,0.0
69,"Apps, Gaming, Social",2012,Diversion aims at providing a fusion between the entertainment industry and the revival of social gaming.,2010,"Los Angeles, California, United States",4.0,2.0,Diversion,300000.0,0.0
70,"Crowdsourcing, E-Commerce, Fashion, Lifestyle, Web Design",2012,StyleTrek.com is a crowdsourced e-commerce platform selling products of independent designers via various patented brands.,2010,"New York, New York, United States",,1.0,StyleTrek,1500000.0,0.0
71,"Coupons, Group Buying",2012,CityPockets is an online marketplace that allows its users to purchase and sell daily deal vouchers.,2010,"New York, New York, United States",2.0,2.0,CityPockets,770000.0,0.0
72,"E-Commerce, Internet, Social Media",2012,"Gopogo is a geo-location platform for recording, sharing and discovering connected experiences.",2009,"New York, New York, United States",2.0,1.0,gopogo,3000000.0,0.0
73,"Communities, Lending, Market Research, Web Browsers",2012,"tleeee is an online resource for building, managing, and researching professional reputation by using community-contributed reviews.",2009,"San Mateo, California, United States",3.0,1.0,tlee.com,1200000.0,0.0
74,"Events, Photography, Social Media, Video",2012,egoes was an American-Swiss start-up social network.,2009,"Boston, Massachusetts, United States",,3.0,eegoes,2099945.0,0.0
75,"Automotive, Credit, Non Profit",2012,SwipeGood allows users to enroll their credit or debit cards and automatically round up every purchase to the nearest dollar for charity.,2010,"San Francisco, California, United States",3.0,1.0,SwipeGood,500000.0,0.0
76,"FinTech, Wealth Management",2012,"Working Equity provides equity protection services for home buyers, homeowners, and home sellers in the United States.",2009,"San Francisco, California, United States",,1.0,Working Equity,5000000.0,0.0
77,"EdTech, Education, Employment, Internet, National Security, Public Relations, Social Media",2012,Taking Point is a support community that connects America's veterans and service members.,2009,"Scottsdale, Arizona, United States",,2.0,Taking Point,2020593.0,0.0
78,"Mobile, Search Engine, Social Media, Transportation",2012,"nProgress offers ntro, a mobile social discovery platform that connects its users to others with similar interests in their localities.",2010,"Los Angeles, California, United States",,1.0,nprogress,1700000.0,0.0
79,"American Football, Database, eSports, Gaming, Internet, Sports, Video Games",2012,"Footbalistic offered an online database about football games, teams, leagues, competitions and players.",2009,"San Francisco, California, United States",3.0,1.0,Footbalistic,500000.0,0.0
80,"Banking, Finance, FinTech, Internet",2012,Nail Your Mortgage offers solutions for borrowers and lenders to interact in an open electronic marketplace.,2009,"Chicago, Illinois, United States",,1.0,Nail Your Mortgage,3100000.0,0.0
81,"Billing, Health Care, Medical",2012,"Eckard Recovery Services provides medical billing services for health care providers, hospitals, medical clinics, and surgery centers.",2011,"Boerne, Texas, United States",,1.0,Eckard Recovery Services,310000.0,0.0
82,"Apps, E-Commerce",2012,"Keepio is an app that allows members to share, sell and swap their belongings with friends through Facebook, Twitter and other networks.",2010,"Louisville, Kentucky, United States",,1.0,Keepio,255000.0,0.0
83,"Finance, Social Media, Software",2012,"Linksy is an online marketing platform that enables employees, customers, and fans to spread their messages via social websites.",2012,"Seattle, Washington, United States",,1.0,Linksy,100000.0,0.0
84,"News, Printing, Web Design",2012,"PrintedPiece.com was a one-stop creative gallery and directory for print designers, printing professionals, and prospective clients.",2010,"Leominster, Massachusetts, United States",,1.0,Printed Piece,15000.0,0.0
85,"Charity, ISP, Online Portals",2012,Pinkdingo is a New York-based online platform providing charity services.,2009,"New York, New York, United States",,1.0,Pinkdingo,1400000.0,0.0
86,"E-Commerce, Internet, Marketing, Marketplace, Recycling",2012,Green is Good LLC recycles consumers' personal items by marketing and selling them across multiple marketplaces.,2009,"Indianapolis, Indiana, United States",,1.0,Green Is Good,222000.0,0.0
87,"Apps, Coupons, Gamification, Retail",2012,Inhale Digital was a social retail site for online gamers that offered daily deals on new games.,2010,"San Francisco, California, United States",1.0,2.0,Inhale Digital,1300000.0,0.0
88,"Education, Film, Media and Entertainment",2012,"Prescreen is a daily movie service that presents entertaining, enlightening, and educational films to movie lovers.",2011,"San Francisco, California, United States",4.0,1.0,Prescreen,1000000.0,0.0
89,"E-Commerce, Retail",2012,Jildy is a social networking site that offers a mobile application for cutting social newsfeed clutter.,2010,"Chicago, Illinois, United States",,2.0,Generous Deals,450000.0,0.0
90,"RFID, Social Media, Video",2012,Moverati provides video services by capturing videos of its users during events and uploading them to their website for editing and sharing.,2010,"Grapevine, Texas, United States",,1.0,Moverati,2150000.0,0.0
91,"Fashion, Teenagers",2012,Define My Style is a teen style-centric community offering the tools and connections for young designers and entrepreneurs.,2010,"Cincinnati, Ohio, United States",1.0,1.0,Define My Style,690000.0,0.0
92,"Apps, Software",2012,"Smish was an application that takes a user's apps, feeds, files and favorite sites, and compresses them together into one simple window.",2009,"Aliso Viejo, California, United States",,1.0,Smish,2000000.0,0.0
93,"Software, Technical Support",2012,Resoomay is an online service that enables technical candidates to find jobs in suitable New York-based companies.,2011,"New York, New York, United States",2.0,1.0,Resoomay,35000.0,0.0
94,"Android, Film, Internet, iOS, Local, Mobile, Social Media, Software",2012,"Nettle develops MovieGoer, a local social mobile app for moviegoers.",2010,"La Jolla, California, United States",2.0,1.0,Nettle,500000.0,0.0
95,"Ad Network, Advertising, Android, iOS",2012,AdexLink is a mobile marketing platform for ads mediation and app cross-promotion.,2010,"Campbell, California, United States",,1.0,AdexLink,2000000.0,0.0
96,"Beauty, E-Commerce",2012,Dazzling Beauty Group is an online platform connecting women looking for beauty products with relevant brands.,2011,"San Francisco, California, United States",,1.0,Dazzling Beauty Group,150000.0,0.0
97,"Graphic Design, Internet, Tutoring, Web Design",2012,"Ngt4u was an online tutoring company that provided one-on-one tutoring to learn English, as well as proofreading and editing services.",2009,"Chicago, Illinois, United States",,1.0,Ngt4u.inc,1200000.0,0.0
98,"Apps, Career Planning, Employment, Human Resources, Identity Management, Recruiting",2012,Talentag is an online service allowing users to crowdsource their social talent profile.,2010,"San Francisco, California, United States",4.0,1.0,Talentag,70000.0,0.0
99,"Fitness, Hardware, Personal Health, Software, Wearables",2012,"Emergent Detection offers BodyKey, a device that monitors, analyzes, and reports progress in weight loss procedures.",2010,"Seattle, Washington, United States",2.0,2.0,EmergentDetection,277900.0,0.0
100,"Advertising, Crowdsourcing, Photography",2012,"The simple, inspiring, and fun alternative to stock photography.",2011,"Oceanside, New York, United States",3.0,1.0,Picomize,12000.0,0.0
101,"E-Commerce, Fashion, News, Search Engine, Shopping",2012,Weatherista was a weather-based decision engine that enabled users to make decisions on what to wear based on the weather forecast.,2010,"San Francisco, California, United States",,1.0,Weatherista,500000.0,0.0
102,"Advertising, Marketing, Mobile Apps",2012,"Time Bomb Deals, a mobile coupon app, gives users access to time-sensitive deals based on their current location.",2011,"Denver, Colorado, United States",,1.0,Time Bomb Deals,425000.0,0.0
103,"Computer, Enterprise Software, Software, Web Apps",2012,AnovaStorm manages and helps automate the deployment of web applications for enterprise clients.,2010,"Austin, Texas, United States",,1.0,AnovaStorm,2000000.0,0.0
104,"Enterprise Software, SaaS, Service Industry",2012,Quantus Holdings provides software development and integration services to various companies.,2009,"New York, New York, United States",1.0,1.0,Quantus Holdings,278500.0,0.0
105,"Apps, Blogging Platforms",2012,"Shoutitout is a website enabling users add clickable tags to their posts and add photos or links, and share with others.",2009,"Henderson, North Carolina, United States",1.0,3.0,Shoutitout,3500000.0,0.0
106,"Cloud Computing, Music, Video",2012,"Cloud.CM, a cloud-based platform, allows its users to bring all their photos, videos, music, and documents anywhere and share them easily.",2009,"Los Angeles, California, United States",,1.0,Cloud.CM,500000.0,0.0
107,"Health Care, Medical",2012,Primocare helps physicians to manage all aspects of their patients’ health.,2010,"Nashville, Tennessee, United States",,1.0,Primocare,50000.0,0.0
108,"Events, Mobile, Parenting",2012,PLAYD8 is an application that helps caretakers schedule and manage events for kids.,2011,"Los Angeles, California, United States",1.0,1.0,PLAYD8,60000.0,0.0
109,"Industrial, Manufacturing, Natural Resources",2012,"CO2Nexus develops equipment, processes, and consumables that utilize liquid carbon dioxide as a solvent for processing fabrics and textiles.",2009,"Hermosa Beach, California, United States",,1.0,CO2Nexus,90000.0,0.0
110,"Enterprise Software, Financial Services, Internet, SaaS",2012,Exchangery helps people start novel commodities exchanges.,2011,"Chicago, Illinois, United States",2.0,1.0,Exchangery,75000.0,0.0
111,"Group Buying, Location Based Services, Mobile",2012,"Hurricane Party is a mobile application that helps friends find, share, and create spontaneous get-togethers.",2010,"Austin, Texas, United States",5.0,1.0,Hurricane Party,20000.0,0.0
112,"Apps, Communities, Dating, Information Technology, Internet, Messaging, Video, Video Chat, Video Games",2012,SpinTheCam is a social network with dating and live video chat where people randomly connect within the network.,2010,"New York, New York, United States",,1.0,SpinTheCam,150000.0,0.0
113,"Developer Platform, Gaming, Mobile",2012,Red Seraphim is a developer of games for social networks and mobile devices.,2011,"Santa Clara, California, United States",,1.0,Red Seraphim,50000.0,0.0
114,"Advertising, Developer Tools, Social Media, Video Streaming",2012,Million Dollar Earth is an advertising medium that allows businesses to own digital real estate and display them on social profiles.,2011,"Puyallup, Washington, United States",,1.0,Million Dollar Earth,30000.0,0.0
115,"Apps, Internet, Real Time, Video Streaming",2012,"Curated.by offers an app that allows individuals to collect, curate and organize real-time news and information.",2009,"San Francisco, California, United States",2.0,1.0,curated.by,5266132.0,0.0
116,"Analytics, Online Portals, Social Media",2012,Pintics provides Pinterest users with tools and metrics needed to manage and optimize the traffic generated from their Pins.,2012,"San Jose, California, United States",1.0,1.0,Pintics,10000.0,0.0
117,"Advertising, Advertising Platforms, Mobile, Web Development",2012,HTML5 advertising platform for creating video ad formats that run seamlessly across tablets and programmatic inventory.,2010,"Brooklyn, New York, United States",1.0,1.0,ClrTouch,20000.0,0.0
118,"Advertising, Video Advertising",2012,SceneChat is a self-serve solution for marketers looking to increase video engagement and conversions.,2009,"San Francisco, California, United States",1.0,1.0,SceneChat,250000.0,0.0
119,Automotive,2012,PiAuto is an automotive company providing personal car brokerage services.,2011,"Albuquerque, New Mexico, United States",1.0,1.0,PiAuto,250000.0,0.0
120,"Advertising, Advertising Platforms, Apps, Social Media",2012,Adcast is an in-stream advertising platform that allows users to advertise using social media networks.,2009,"Germantown, Maryland, United States",2.0,1.0,Adcast,3500.0,0.0
121,"Mobile, Video",2012,"C-Vibes offers Chumkee, an app that enables users to socialize through video and photo conversations.",2011,"New York, New York, United States",1.0,1.0,C-Vibes,750000.0,0.0
122,"Internet, Mobile, Mobile Apps, Web Apps",2012,Devotee is an online promotion platform that allows businesses to reward their loyal customers for sharing positive recommendations.,2010,"Pittsburgh, Pennsylvania, United States",,2.0,Devotee,50000.0,0.0
123,"Fitness, Health Care",2012,Sweatdrops offers a mobilese ur interface to identify and measure the actions and behavior associated with the user's fitness life story.,2011,"New York, New York, United States",1.0,1.0,"Sweatdrops, LLC",300000.0,0.0
124,"Building Material, Construction, Manufacturing",2012,US-ST Construction Material Int'l is a company that manufactures construction materials.,2010,"Pasadena, California, United States",,1.0,US-ST Construction Material Int'l.,1366682.0,0.0
125,"Gaming, Internet, Marketplace",2012,"Danger Room Gaming is the developer of Rapid Fire Trivia, a wager-based trivia game that runs on the internet in real time.",2009,"Los Angeles, California, United States",2.0,2.0,Danger Room Gaming,355000.0,0.0
126,"E-Commerce, Social Media",2012,Geotaging for concerts seats. The world's first social ticketing network. A totally new spin on sharing pictures and purchasing tickets,2011,"Los Angeles, California, United States",2.0,1.0,Picket,40000.0,0.0
127,"Commercial, E-Commerce, Information Services, Information Technology",2012,Cognection offers product comparison and recommendation services for online retailers to provide meaningful consumer experiences.,2010,"New York, New York, United States",1.0,1.0,Cognection,25000.0,0.0
128,E-Commerce,2012,NeGoBuy helps buyers reverse bid for items they buy from a shop or merchant near them.,2009,"White Plains, New York, United States",2.0,1.0,NeGoBuY,250000.0,0.0
129,AgTech,2012,"Rowan Greenhouse Technologies, Inc. specializes in creating robotic and electronic control solutions for greenhouse and nursery applications",2010,"Corvallis, Oregon, United States",1.0,1.0,"Rowan Greenhouse Technologies, Inc.",10000.0,0.0
130,"E-Commerce, Fashion",2012,"HN Discounts Corporation, an online superstore, sells a variety of premium quality products across multiple categories at low prices.",2011,"Lawrenceville, Georgia, United States",,1.0,HN Discounts Corporation,25000.0,0.0
131,"Hardware, iOS, Mobile, Software",2012,WakeMate is an electronic device that records users' sleep data and sounds within the 20-minute window prior to the set alarm time.,2009,"San Francisco, California, United States",3.0,3.0,WakeMate,5266132.0,0.0
132,"Health Care, Information Technology",2012,Medico is a health-focused internet company providing an online health portal and a Q&A community.,2010,"New York, New York, United States",1.0,1.0,Medico.com,5266132.0,0.0
133,"Health Care, Internet, SaaS, Software",2012,Medivantix is a health care information technology company that turns data into clinical business intelligence.,2011,"Miami, Florida, United States",,1.0,Medivantix Technologies,100000.0,0.0
134,"Artificial Intelligence, Reputation, Social Media, Software",2012,"AtlanteTrek is an online platform for social media managers and marketers to monitor, analyze and the measure success of their campaigns.",2009,"Seattle, Washington, United States",2.0,1.0,AtlanteTrek,50000.0,0.0
135,"Developer Platform, Gaming, Video Games",2012,Matatena Games specializes in social game publishing for Spain and the Latin American markets.,2011,"Houston, Texas, United States",2.0,1.0,Matatena Games,120000.0,0.0
136,"Accounting, Enterprise Software, Service Industry",2012,ExTractApps built financial productivity applications for small businesses.,2009,"San Francisco, California, United States",1.0,1.0,ExTractApps,167500.0,0.0
137,"Electronics, Hardware, Mobile, Software, Wireless",2012,DotGT was a wireless computing platform that provided a hardware and software system for delivering applications to businesses.,2010,"Madison, Tennessee, United States",1.0,1.0,DotGT,250000.0,0.0
138,"News, Social Bookmarking, Social Media, Web Development",2012,ScanSocial offers a social media tracker that saves user time by browsing through their friends’ diggs.,2010,"New York, New York, United States",1.0,1.0,ScanSocial,1000.0,0.0
139,"Collectibles, Ediscovery, Fashion, Lifestyle",2012,StyleZen is an online shopping site that provides personalized recommendations for fashion-related products.,2011,"Cincinnati, Ohio, United States",2.0,1.0,StyleZen,20000.0,0.0
140,"Communities, Location Based Services, Messaging, Social Media, Travel",2012,Common Ground is a location-based activity platform where members can post things they want to do and find like-minded locals.,2010,"New York, New York, United States",,1.0,Common Ground,5266132.0,0.0
141,"Clean Energy, Energy Efficiency, Wireless",2012,Zigswitch develops and manufactures wireless sensor networking products and technologies for energy efficiency and smart grid applications.,2009,"Cambridge, Massachusetts, United States",2.0,1.0,Zigswitch,50000.0,0.0
142,"Apps, Email, Messaging",2012,Subtextual is a Los Angeles-based startup that allows users to add context to selected recipients within an email.,2009,"Los Angeles, California, United States",1.0,1.0,Subtextual,500000.0,0.0
