,Company_Name,Company_type,Business_type,Description,Reason,Failure categories,Number of investors,Founders,Number of funding rounds,Funding Status,City,Launch_Year,Close Year,Acquisition_status(y/n),avg_employee_count,total_funding(in $)
10,Next_step_living,"Energy, Energy Efficiency, Home Renovation, Renewable Energy",B2B,Provides home energy evaluations and solutions for individuals and organizations,Low-margin business with a high rate of cash burn,no_data,7,Geoff Chapin,14,no_data,Boston,2008,2016,no,175.5,88600000.0
11,OpTier,"Analytics, Application Performance Management, Enterprise Software",B2B,Business transaction management software,Complex and buggy product,no_data,8,"Amir Alon, Motti Tal",9,M&A,New York,2002,2014,yes,75.5,118100000.0
12,Path,"Mobile, Photo Sharing, Messaging",B2C,Social network,"Competing with the Facebooks, Twitters and Instagrams of the world is no easy task, however. In 2015, Path was sold to South Korean Internet company Kakao for an undisclosed sum. Kakao wasn’t able to do much with the acquisition and, well, here we are.",no_data,40,"Dave Morin, Dustin Mierau, Shawn Fanning",5,M&A,San Francisco,2010,2018,yes,75.5,66150000.0
13,Poliana,"Analytics, Politics, Government",B2B,Visualize political influence,Don't do politics unless you're ok to be non-profit,no_data,1,"Grayson Carroll, Patrick Cason, Seth Whiting, Shawn Whiting",1,Seed,Nashville,2013,2015,no,5.5,15000.0
14,Shyp,"Shipping, Delivery, Logistics, Shipping and fulfilment",B2C,Provides shipping services that ranges from picking-up the package to delivering it to the destination.,Wrong target audience. B2B market would've been more scalable and higher demand,no_data,34,"Jack Smith, Joshua Scott, Kevin Gibbon",3,Early Stage Venture,San Francisco,2013,2018,no,30.5,62100000.0
15,Skully,"Consumer Electronics, Information Technology, Automotive, Wearables, Augmented Reality, Public Safety",B2C,"Skully was a brand of motorcycle helmet with a heads-up display and a rear-facing camera. The helmet's software was based on the Android platform, and can be controlled with voice commands. Users can see rearward through the heads-up display and the rear camera.The helmet also includes Bluetooth functionality, allowing music streaming from smartphones.","According to multiple sources, Skully closed its doors in July/August 2016. Its founders were accused of spending company money on luxury cars, vacations and strippers. Failing to get acquired from LeSports, Skully ran out of funds and ultimately shut down.",Scandalous,13,"Ivan Contreras, Marcus Weller, Mitch Weller, Rafael Contreras",4,Early Stage Venture,San Francisco,2013,2016,no,30.5,14950000.0
16,Thrively,"SaaS, Enterprise Software",B2B,Radically simple 360 feedback for your team,"Lack of funding, no tech cofounder, challenging market",Competition,1,Nick Fassler,no_data,no_data,San Francisco,2011,2013,no,5.5,15000.0
17,Tutorspree,"E-Commerce, EdTech, Education",B2B,Web-based tuition services,"""Tutorspree was a startup in a very seasoned and competitive sector. There is no clear-cut reason for the venture failure but analyzing some of the available information might help us shed light on possible culprits. First, it probably had to do with the founders of the company and their lack of expertise in the field. Also, Tutorspree's vision of pairing up tutors and students to meet up in person so as to create and maintain a real connection is commendable but not practical. Although indeed, in-person lessons are still very much valuable, the market -and the world- is heading on to a different direction. It is also possible that the platform, which was initially taking 50% of the tutorâs fees, might have witnessed a decline in overall user growth because nothing could prevent tutors and students to schedule lessons without recurring to Tutorspree.com after they got to know each other.Another problem for Tutorspree's seemed to be that the company was primarily dependent on search traffic from Google to acquire new students and tutors, and any algorithm changes could significantly reduce their traffic and in return their users.  As resources started to dwindle and funding failed to come in, Tutorspree decided to shut down. Its assets (including its user's database) were bought by Wyzant, a tutoring marketplace launched in 2005 which is still active.""",no_data,10,"Aaron Harris, Josh Abrams, Ryan Bednar",2,M&A,New York,2010,2013,yes,75.5,1800000.0
18,Zulily,"Delivery, E-Commerce, Retail",B2C,Online retailer that offers consumers with daily product deals,"The main culprit for the downfall of the popularity of Zulily is poor marketing and user-attention strategies. Most notably, in order to access the search engine and databases of Zulily's shopping items, the platform required from new visitors to give their email address prior to even seeing what the online store had to offer. This marketing trick met with a lot of criticism since it violated some basic marketing principles. Zulily initially achieved a record success with the number of new subscribers who registered on the site, but Zulily team soon noticed that sales began rapidly to decline. People gave their mail only to peek at the site and registered users couldn't necessarily be considered loyal or even willing customers. Zulily inadequate marketing strategy and front-page email request discouraged thousands of potential new customers to sign up, while their existing users often bought only once or anyway not enough to sustain the financial stability of the company. Users also stated that they felt overwhelmed by the number of merchandise and flash sales invitation the e-shop offered so the company complied by diminishing them, and a decrease in revenue also followed. Moreover, although Zulily sometimes offered brand names for ridiculously small prices, there would often be longer than expected delivery times to customers which also earned them poor reviews.",User Retention Difficulties,8,"Darrell Cavens, Mark Vadon",5,M&A,Seattle,2009,2014,yes,3000.5,194600000.0
19,Yik_Yak,"Apps, Social Media, Social Network",B2C,Yik Yak is a location-based social network that helps you connect with the people around you.,Struggled to keep users on its platform,No Sustainable Business Model,11,"Brooks Buffington, Tyler Droll, Will Jamieson",3,Early Stage Venture,Atlanta,2013,2017,no,30.5,73500000.0
20,eCrowds,Digital Media,B2C,Web content management meets social networking,Too much time building it for ourselves & not getting feedback,no_data,1,David Cummins,no_data,no_data,Atlanta,2008,2010,no,5.5,15000.0
