,Company.name,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI
27,brookstone,Brookstone is a nationwide specialty retailer that offers an assortment of consumer products.,"Consumer, Retail",117.7,10,878.8,0.22128978
28,simplyinsured,SimplyInsured allows you to estimate your real Out-of-Pocket costs when purchasing health insurance.,"E-Commerce, Health Care, Insurance",1.0,10,280.1,0.397640538
29,emergefinancialwellness,"Emerge! provides employer-backed workplace loans, using innovative models for risk assessment, that effectively replace payday lenders.",Finance,10.0,10,7007.0,0.486981352
30,yogatrail,A global yoga network that connect yoga practitioners with their instructors and studios,"Fitness, Freemium, Health Care, Social Media",8.0,9,78.0,0.238990796
31,cureeo,Cureeo is an online marketplace that offers original and limited edition artwork to collectors and novice art enthusiasts.,"Art, E-Commerce",12.5,9,273.9,0.549532725
32,insightly,"Grow your relationships, accelerate sales, manage your projects, and streamline business processes__ll with Insightly CRM","CRM, Enterprise Software, Project Management, SaaS, Small and Medium Businesses, Software",14.0,9,2545.3,0.586612672
33,ocztechnology,"OCZ Storage Solutions develops solid state drives such as DDR RAM, video cards, USB drives, various cooling products, and more.","Computer, Enterprise Software, Service Industry",131.7,8,121.8,0.200292007
34,owncloud,"ownCloud, an open-source project that enables businesses to host their own cloud storage while maintaining regulatory and compliance needs.","Cloud Storage, Enterprise Software, Open Source",4.4,10,175.3,0.248316552
35,pfsweb,"Consulting, E-Commerce, Information Services, Information Technology",,325.8,10,234553.7,0.236083394
36,hapyak,HapYak is the world-leading interactive video platform.,"Brand Marketing, Corporate Training, E-Commerce, Enterprise Software, SaaS, Video",1.0,10,78.3,0.242609148
37,mark43,"Mark43 is building a new kind of public safety platform that allows first responders to collect, manage, analyze, and share information.","Cloud Computing, GovTech, Law Enforcement, Public Safety, Software",5.6,10,1818.8,0.404771857
38,infocheckpoint,"Info CheckPoint provides B2B data through an online application that allows instant accessibility to people, business & company information.","B2B, Big Data, Direct Marketing, Email, Email Marketing, Lead Generation, Sales Automation, Search Engine",1.0,10,356.1,0.226890963
39,rijuven,Rijuven is a medical device company developing portable point-of-care diagnostic devices.,"Health Care, Health Diagnostics, Medical Device, mHealth",3.0,10,31.0,0.170010406
40,brushfireinteractive,Brushfire Interactive is a mobile and web developer contracted by businesses.,"Apps, Mobile, Non Profit, Software",4.1,9,384.4,0.399109495
41,seekretreat,Seek your retreat. We provide eco-luxury adventure retreats in the world of yoga.,Health Care,12.0,4,28.2,0.7274533470000001
42,absolutdata,AbsoluteData offers analytics-based solutions that enable its clients to enhance customer loyalty and accelerate revenue cycles.,"Analytics, Big Data, Consulting, Data Integration",25.0,10,78672.1,0.404899026
43,aayuja,Outsourced Technology Sales Solutions,"Consulting, Lead Generation, Social Media Marketing",1.7,10,125.2,0.166941839
44,poppin,Office Furniture Solutions,"B2B, Furniture",63.6,10,252951.0,0.376539016
45,adbrain,"Adbrain powers marketers and their partners to understand and engage with their customers 1:1 across devices, channels and platforms.","Advertising, Artificial Intelligence, Enterprise Software, Marketing Automation, Mobile",1.0,7,9652.9,0.5720328610000001
46,everwise,Everwise__ software and services connect employees to the experts and insights they need to be successful at every stage of their career,"Human Resources, SaaS, Software",3.5,10,596.6,0.796098385
47,deepforestmedia,Self-learning DSP for Mobile,"Advertising, Big Data, Mobile, Mobile Advertising",4.4,10,461.2,0.497972501
48,zergnet,Content Recommendation that promotes links to your articles on hundreds of partner sites in a private network.,"Advertising, Content Creators, Content Discovery, Software",2.9,10,184.3,0.398444172
49,crowdsupply,Where engineers and designers crowdfund awesome new products.,"Consumer Electronics, Crowdfunding, E-Commerce, Hardware, Internet of Things, Product Design",3.2,10,214.4,0.214724535
50,ultralinqhealthcaresolutions,UltraLinq Healthcare Solutions is a cloud based medical image and data management platform.,"Health Care, Information Technology, SaaS",10.0,10,308.5,0.583407769
51,parametric,"Parametric offers CheckMate, a mobile ordering and payment software solution for the restaurant industry.","Analytics, Big Data, Mobile, Mobile Payments, Software, Sports",27.1,10,39251.2,0.563470254
52,higherlearningtechnologies,HLT specializes in using mobile technology to create better education solutions,"Apps, EdTech, Education, iOS, Mobile, Software",3.0,9,2247.9,0.8748244470000001
53,ovascience,"Biotechnology, Health Care, Life Science",,1.0,9,121.5,0.229858592
54,908devices,"908devices manufactures battery-operated, hand-held chemical detection tools used in mass spectrometry.","Battery, Chemical, Manufacturing",4.4,10,10380.8,0.369996688
55,versanetworks,Versa Networks is an innovative vendor in the SD-WAN and SD-Security market.,"Network Hardware, Network Security, Telecommunications",10.0,10,52182.0,0.948184008
56,everstring,EverString helps companies leverage data to optimize sales and marketing capabilities,"Marketing, Predictive Analytics, Software",20.0,10,327.9,0.31042042
57,boxcat,Indie games collaboration micropublishin,"Consumer Electronics, Mobile, Video Games",1.4,6,7.2,0.181712963
58,ebuybit,Ebuybit.com is an online retailer offering a wide variety of items at discount prices.,"E-Commerce, Shipping, Shopping",4.3,4,30.5,0.458726149
59,appcard,"AppCard is a platform enabling merchants to retain customer through loyalty programs, analytics engines, rewards and personalized offers.","Analytics, Business Intelligence, FinTech, Loyalty Programs",1.0,10,50.4,0.17537478
60,lumate,Lumate is a high frequency trading platform for mobile advertising.,"Advertising, Android, Apps, iOS, Mobile, Mobile Advertising",5.0,8,300.7,0.86792153
61,jibo,Jibo is a design-driven company that creates unforgettable experiences through advanced robotics technology.,"Artificial Intelligence, Consumer Electronics, Machine Learning, Robotics",10.0,10,52.3,0.17957510899999998
62,genapsys,GenapSys has developed a novel DNA sequencing technology and detection system for applied genomic testing and medical sequencing.,"Biotechnology, Genetics, Health Diagnostics",6.0,9,3421.8,0.930698747
63,proxtome,Platform technology for proximity-based mobile access to any smart device that would normally require physical interaction.,"Cloud Infrastructure, FinTech, Internet of Things, Mobile, Mobile Payments, Retail Technology",4.6,10,13391.3,0.331297558
64,persimmontechnologies,"Persimmon Technologies manufactures atmospheric and vacuum robotics, vacuum modules, and automation systems.","Hardware, Manufacturing, Robotics, Semiconductor, Software",5.0,9,5717.8,0.35395533
65,mobilesystem7,"Mobile System 7's products protect enterprise data, by using advanced analytics and adaptive access controls.","Analytics, Enterprise Software, Mobile, SaaS, Security",1.9,10,18894.3,0.310201448
66,nexamp,"Nexamp is leading the transformation to the new energy economy with proven solutions for solar energy development, ownership, and operation.","Clean Energy, Finance, Project Management, Solar",11.3,9,258.7,0.207035146
67,awesomenesstv,AwesomenessTV is a next generation media company serving the global Generation Z audience,"Media and Entertainment, TV, TV Production",4.0,10,169.3,0.24991932
68,zeuss,Zeuss provides software solutions that give users unmatched insight into their digital communications.,"Analytics, Big Data, Software",1.0,9,3317.8,0.374440989
69,propertycapsule,The Commercial Real Estate Cloud Platform,"Commercial Real Estate, Property Management, Real Estate",4.6,5,191.5,0.210716005
70,finalsite,Finalsite is an online learning and communications platform for the education industry.,"EdTech, Education",8.0,10,1073.6,0.464694255
71,timely,"Timely is an automatic time tracking app for freelancers and teams, developed by Memory.ai.","Apps, Mobile, Software",6.1,7,42.5,0.172683737
72,hellofresh,"Consumer, Cooking, Food and Beverage, Subscription Service",,10.0,9,1125.6,0.411327399
73,zubie,"Zubie is a connected-car platform that provides location tracking, driver scoring, alert and location sharing services.","Automotive, Car Sharing, Hardware, Mobile Apps",5.0,10,280.8,0.353651502
74,truelens,"TrueLens is a CRM platform providing Socialgraphic insights into customers, enabling brands to increase ROI and revenue.","Advertising, Analytics, Marketing",7.3,10,182.8,0.205446279
75,optionscitysoftware,OptionsCity Software specializes in the development of electronic trading and market-making platforms for traders.,"Finance, Financial Services, Software",6.1,8,124.8,0.238955406
76,keiretsuforum,"Keiretsu Forum is a California-based angel group that offers early, seed, and later stage venture, and debt financing investments.","Angel Investment, Finance, Venture Capital",5.3,8,47.4,0.195178835
77,genesisfinancialsolutions,Genesis Financial Solutions provides consumer financing options for merchants and service providers in the United States.,"Consumer, Finance, Financial Services, FinTech",5.9,10,2362.8,0.443434755
78,cloudtags,CloudTags is the creator of the Connected Store. We work with digitally native brands and retailers to power data-driven pop-ups.,"Advertising, E-Commerce, Mobile, Retail Technology",5.8,10,136336.2,0.998003211
79,gryphonnetworks,Gryphon Networks offers a cloud-based solution that enables marketers to increase their revenue while honoring consumer choice.,"Analytics, Enterprise Software, SaaS",28.0,10,10498.1,0.944181298
80,clickquotesave,"Click Quote Save is a lead generation, white-labeled client acquisition solution for financial institutions.","Finance, Insurance, Lead Generation",1.0,9,4646.2,0.542265644
81,keyme,"KeyMe is the most accurate, secure, and convenient way to copy keys with over 1,000 US key copying kiosks in major retailers & a mobile app.","Artificial Intelligence, E-Commerce, Enterprise Software, Hardware, Mobile Apps, Retail, Robotics",3.0,3,78.0,0.471153846
82,catapultdesign,Catapult Design is a non-profit design consultancy that develops and implements human-centered products.,"Consulting, Non Profit, Product Design",5.0,10,139.0,0.148516122
83,waveplay,"An agency that helps clients share knowledge to take a leadership position, engage employees, and build a fan base of customers.","Brand Marketing, Business Development, Consulting, Events, Public Relations, Social Media, Video",4.6,7,87.0,0.333108733
84,cadcrowd,"Cad Crowd helps clients hire global 3D CAD designers, industrial designers and product developers on demand.","CAD, Product Design, Product Search",1.0,10,388.0,0.463483101
85,sumzero,SumZero is an investment website helping top tier investors share actionable ideas and grow their professional networks.,"Finance, Internet, Marketing, Recruiting",7.0,9,9794.4,0.980854374
86,kemptechnologies,Powering always-on application experience (AX).,"Content, Information Technology, Software, Web Hosting",49.3,10,8382.6,0.27594711
87,exablox,"Cloud Computing, Enterprise Software, Flash Storage, Hardware",,5.0,10,265.2,0.184203447
88,profitbricks,ProfitBricks provides IaaS for enterprises and individuals in need of virtual data centers and cloud computing.,"Cloud Computing, Cloud Infrastructure, Data Center, Enterprise Software",5.5,10,361.7,0.209687855
89,tvaxbiomedical,TVAX Biomedical develops cell-based immunotherapy for the treatment of cancer.,"Biotechnology, Clinical Trials, Therapeutics",6.3,10,51157.5,0.993856483
90,printful,"Easy, on-demand, online printing, fulfillment and drop-shipping.","Delivery, E-Commerce, Fashion, Printing, Shipping",2.4,9,745.1,0.21852426100000005
91,videoblocks,StoryBlocks is a subscription-based video and audio stock that provides unlimited download access to its users for royalty free content.,"Media and Entertainment, News, Software, Video, Video Editing",33.4,10,872.3,0.5412703170000001
92,expertta,Expert TA offers educational teaching assistant software for professors and teaching assistants.,"E-Learning, Education, Tutoring",6.8,10,731.6,0.268844083
93,intellibatt,,,5.5,9,84747.6,0.227312967
94,evidationhealth,New ways to measure health in everyday life.,"Analytics, Big Data, Health Care",2.2,9,24465.0,0.994694989
95,tutoruniverse,,,2.4,9,366.8,0.769522493
96,sherly,Sher.ly is a B2B shared data projects secure platform with context smart syncing for large files directly and only from on premise storage.,"Cloud Data Services, Cyber Security, File Sharing, Local, Software",1.0,7,37.2,0.168762285
97,solexel,"Beamreach develops high-efficiency, low-cost, crystalline silicon solar cells and modules for photovoltaic (PV) electricity generation.","Energy, Environmental Engineering, Renewable Energy",5.0,10,397.4,0.366479626
98,mapbox,Mapbox is a location data platform for mobile and web applications.,"Business Intelligence, Cloud Computing, Data Visualization, Enterprise Software, Location Based Services, Mapping Services, Open Source",100.0,10,520403.7,0.380828774
99,logikcull,"Logikcull offers a secure, cloud-based solution to solve the expensive, complex, and risky challenges associated with eDiscovery.","Cloud Data Services, Internet, Legal, Software",19.0,10,238.2,0.433641339
100,cyphyworks,Aria Insights develops unmanned air vehicles for search and rescue missions and bridge inspections.,"Drones, GovTech, Industrial, Public Safety",2.4,8,3208.5,0.7708510909999999
101,rhocapitalventures,"Rho Capital Partners, an American private equity firm, offers long-term investments to IT, new media, healthcare, and energy tech companies.","Finance, Financial Services, Venture Capital",15.4,7,61.9,0.22207114
102,sandhillangels,"Sand Hill Angels, a venture capital firm, invests in internet, information technology, clean tech, consumer, and life sciences businesses.","Finance, Financial Services, Venture Capital",2.9,10,180.7,0.149007625
103,creativelive,"CreativeLive is the world__ leading live, online classroom for creative entrepreneurs.","EdTech, Education, Internet, Online Portals",4.9,9,506.5,0.235625243
104,zuli,"Zuli's first product, the Zuli Smartplug, enables lights and appliances to adapt passively based on a user's presence in their home.","Developer Tools, Internet of Things, Mobile, Smart Home",4.3,10,404.2,0.314188037
105,scruddle,"View, search, organize, and share your news and social media. One inbox for all your stuff.","Email, News, Publishing, Social Media, Software",6.7,7,72.1,0.28448121600000004
106,clearstorydata,"ClearStory Data provides solutions enabling business users to discover, analyze and consume data at scale from different data sources.","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Collaboration, Enterprise Software, Machine Learning, SaaS",1.4,9,1043.5,0.44786131
107,canary,"Canary is an NYC-based company building consumer products that sense, organize, and curate meaningful information from the world.","Crowdfunding, Hardware, Security, Smart Home",3.5,10,375.2,0.361028915
108,fivetran,Fivetran technology helps analysts replicate data into a cloud warehouse.,"Analytics, Big Data, Cloud Data Services, Data Integration, Enterprise Software, Warehousing",5.0,10,1567.6,0.413169828
109,kinsa,Kinsa is creating the world's first real-time map of human health.,"Child Care, Fitness, Health Care, mHealth",7.5,10,109.7,0.22721369
110,opendorse,The athlete marketing platform. Thousands of athletes use opendorse to share content on social. ,"Brand Marketing, Enterprise Software, Management Consulting, Publishing, Service Industry, Social Media Management, Sports",3.6,10,1747.3,0.402022829
111,dropifi,"Dropifi provides a customized smart widget that allows companies to analyze, discover and re-channel messages.","Customer Service, Social Media, Social Media Management, Software",2.8,8,196.9,0.279511452
112,kihon,Kihon is a game development company creating premium multiplayer mobile games for iOS-operated devices.,"Android, iOS, Mobile, Software",1.0,9,125.3,0.200377832
113,offlinemedia,"Instant access to the best events and experiences in your city, curated daily.","Local, Local Advertising, Mobile, Software",10.7,9,19.6,0.139993753
114,spaceview,SpaceView is an interactive design tool that helps you bring the beautiful spaces you imagine to life,"Augmented Reality, B2B, Mobile",2.0,10,55.7,0.142108435
115,visitdays,Reimagining the Admissions Office,"Education, Higher Education, Recruiting",1.0,3,10.4,0.448964497
116,drybar,Drybar is a retail chain exclusively for blow-drying hair for a reduced price compared to traditional salons.,"E-Commerce, Internet, Retail",1.0,1,4.3,0.693841225
117,seworks,Offensive & Defensive App Security Leaders.,"Cloud Security, Cyber Security, Network Security, Penetration Testing, SaaS, Security",1.0,10,1245.8,0.424065335
118,tinybop,"We're an award winning studio of designers, engineers, and artists building educational apps for kids. We make toys for tomorrow.","Apps, Education, iOS, Software",3.0,10,40.5,0.208523091
119,chaikinanalytics,"Chaikin Analytics delivers proven, institutional-quality stock analysis to professional money managers and self-directed investors.","Analytics, Financial Services, Predictive Analytics, Service Industry, Trading Platform",5.5,9,114.0,0.257309942
120,theaudience,theAudience is a D2C publishing company that publishes multichannel social content.,"Consulting, Social Media, Social Media Marketing",5.5,10,438.9,0.217225524
121,dotloop,"dotloop provides a secure online platform where real estate agents, buyers, and sellers can collaborate to complete transactions online.","Commercial Real Estate, Internet, Real Estate, Real Estate Investment",8.5,10,836.7,0.73263572
122,kaybus,"Kaybus is the industry leading Knowledge Automation application, enabling employees to use 100% of the content available.","Analytics, Human Resources, Information Technology, Internet, Knowledge Management, Professional Services, Software",6.0,10,123.6,0.142486463
123,backerkit,BackerKit manages your post-crowdfunding mayhem so that you can deliver on time.,"Crowdfunding, SaaS",4.0,10,191.9,0.219128753
124,mightyhive,MightyHive is a programmatic solutions provider that simplifies complicated programmatic media buying for advertising organizations,"Advertising, Digital Marketing",14.0,10,3508.1,0.469844566
125,vgocommunications,"VGo Communications develops and markets visual communications solutions for healthcare, monitoring, and remote management applications.","Communication Hardware, Health Care, Marketplace",10.0,10,178252.8,0.357726403
126,bmobilized,bMobilized is a web-based startup that allows businesses to convert their desktop websites into HTML5-enabled mobile experiences.,"Mobile, SaaS, Web Development",3.1,10,58.4,0.225833881
127,gethuman,"Consumer tools for solving customer service problems: maps of company phone systems, shortcuts, call-backs, hiring problem-solvers","Customer Service, Social Media",5.2,10,1145.9,0.29707205
128,skyonic,Skyonic is an environmental technology company providing green chemistry solutions for profitable carbon management.,"Clean Energy, Environmental Engineering, Renewable Energy",4.7,10,1917.5,0.713489287
129,leveleleven,LevelEleven helps you sell more by keeping your salespeople focused on the behaviors that matter.,"CRM, Enterprise Software, Gamification, Information Technology, Sales Automation, Software",1.1,8,63.4,0.421747654
130,loop88,Loop88 is a social network marketing platform that connects brands with their targeted consumers by creating customized content campaigns.,"Advertising, Advertising Platforms, Brand Marketing, Social Media",1.1,9,46.7,0.153345652
131,azuqua,Azuqua helps people integrate their SaaS applications and build powerful automations to save time and eliminate manual work.,"Cloud Computing, Cloud Management, Data Integration, Enterprise Software, Marketing Automation, SaaS, Software",4.4,10,517.7,0.338256995
132,totalattorneys,Total Attorneys provides cloud-based practice management and customer acquisition software for attorneys.,"Enterprise Software, Legal, SaaS",10.0,10,2892.5,0.937248299
133,judicata,Judicata is a legal technology company providing research and analytics tools to turn unstructured case law into structured data.,"Analytics, Legal, SaaS",2.5,10,90.4,0.191185684
134,paybook,Connecting people with their financial world!,"Finance, FinTech, SaaS, Software",1.0,8,592.4,0.8027294640000001
135,filtereasy,FilterEasy is America's air filter delivery service.,"B2B, B2C, Delivery Service, E-Commerce, Subscription Service",5.0,9,64.6,0.220930901
136,avinetworks,"Avi Networks drives automation and intelligence across multi-cloud environments with intent-based application services, including LB and WAF","Analytics, Cloud Data Services, Cloud Infrastructure",2.0,10,427.5,0.34829446299999994
137,goldenreviews,"Golden Reviews provides an inside look at senior care via the shared experiences of caretakers, seniors, and their families.","Health Care, Non Profit",1.0,0,0.0,1.0
138,datarobot,DataRobot provides a predictive analytics platform to rapidly build and deploy predictive models the cloud or an enterprise.,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, Predictive Analytics, SaaS",37.0,9,790.9,0.4447468670000001
139,survata,Survata is a marketing research company that sells brand intelligence to the world__ largest brands.,"Advertising, Analytics, Consumer Research, Market Research, Product Research, Test and Measurement",8.4,8,637.7,0.377558656
140,bulubox,"Your Brand, Your Subscription Box.","E-Commerce, Ediscovery, Fitness, Health Care, Lifestyle, Nutrition, Personal Health, Subscription Service",3.2,9,415.2,0.310798635
141,muut,"Muut is a discussion platform providing a clean user interface, persistent content and deep integration to websites.","Blogging Platforms, Content, Real Time, Social Media, Software",2.6,10,313023.4,0.473839224
142,sipx,SIPX is a web-based service that manages copyright and delivers digital documents for the higher education marketplace.,"Education, Information Technology, Web Browsers",2.0,10,78.4,0.136154207
143,allcampus,All Campus collaborates with universities and helps them expand online enrollment programs.,"Education, Training, Universities",4.1,10,249.1,0.22979281
144,ondigo,ONDiGO is a Sales-automation platform powered by deep-data,"Android, CRM, Direct Sales, Lead Management, Mobile, Sales Automation",1.5,10,286.6,0.217972193
145,artisanmobile,"Artisan Mobile is a mobile software provider that enables marketers to understand user behavior, create segments, and more.","Analytics, Android, Apps, CRM, iOS, Marketing Automation, Mobile, Personalization, Software",5.0,10,187.9,0.31965498600000003
146,apmetrix,Video Game and Mobile App Analytics,"Analytics, Apps, Mobile, Software",7.2,10,280.2,0.24765297100000006
147,qrpharma,"QR Pharma develops novel treatments for Alzheimer__ disease, Parkinson__ disease, and other neurodegenerative disorders.","Biotechnology, Developer Platform, Therapeutics",3.5,10,1757.5,0.935811746
148,fibroblast,Fibroblast offers a cloud-based practice management tool that facilitates online patient self-scheduling and instant cross-referrals.,"Enterprise Software, Health Care, Information Technology, Medical",4.0,9,82.9,0.136349548
149,mobilewalla,"Mobilewalla is the world__ most trusted source for independent mobile audience data at scale.
","Advertising, Analytics, Artificial Intelligence, Big Data, Digital Marketing, DSP, Machine Learning, Mobile",10.0,9,242.7,0.225448697
150,advercar,adverCar offers a technology platform that parters ads with drivers to weave messages into consumers' online lives.,"Advertising, Automotive",11.0,6,2708.0,0.994102694
151,linkwellhealth,"Linkwell Health, a consumer engagement company, promotes_health by combining health plans, better-for-you brands, drugstores and retailers.","Fitness, Health Care, Wealth Management, Wellness",4.7,9,1221.8,0.812938672
152,mdinsider,Machine Learning Enabled Physician Performance Transparency,"Big Data, Health Care, Hospital, Machine Learning, Medical",2.0,10,695.7,0.599256436
153,kite,Kite is an app that offers student progress tracking and analytics to educators.,"Analytics, Education, Mobile Apps",1.0,9,325.1,0.266255155
154,patientco,"Patientco technology redefines the patient financial experience, improving patient satisfaction & financial outcomes for health systems.","FinTech, Health Care, Medical, Payments, SaaS",12.0,9,166.1,0.178218586
155,faraday,"Faraday optimizes every stage of your B2C revenue journey, from acquisition to retention using artificial intelligence and machine learning.","Artificial Intelligence, Big Data, Machine Learning, Marketing Automation, SaaS, Software",30.2,10,1235786.0,0.1631953
156,ubiome,uBiome is a citizen science startup that sequences the human microbiome.,"Health Care, Machine Learning, Quantified Self",32.0,10,112.3,0.219480323
157,opencare,Opencare is building the largest network of dentists that deliver enjoyable care.,"Dental, Health Care, Marketplace, Small and Medium Businesses, Software",6.1,10,1089.9,0.7199831990000001
158,hanesbrands,"Consumer Goods, E-Commerce, Retail",,6800.0,10,50884.6,0.221005709
159,discoverybaygames,Discovery Bay Games is a creator of family-oriented and educational multi-player games.,"Consumer, Gaming",4.5,1,9.8,0.568683065
160,hackreactor,The CS Degree for the 21st Century.,"Education, Software",4.5,10,61.5,0.349329103
161,ncryptedcloud,"e-Share, formerly nCryptedCloud, enables the modern enterprise to securely collaborate with external recipients without giving away the data","Collaboration, Enterprise Software, Privacy, Security",5.3,9,153.3,0.186467406
162,800razors,800razors is a razor company manufacturing and commercializing American-made razors.,"E-Commerce, Manufacturing, Product Design",7.1,9,6816.7,0.910262987
163,socialtoaster,"SocialToaster is a fan engagement and loyalty rewards platform that helps clients identify, recruit, engage, and monetize social audience.","B2B, Content Syndication, Social Media Marketing, Software",2.7,10,199.3,0.32340613100000004
164,trafficland,"TrafficLand broadcasts on-demand live videos on internet and television, granting access through various IT-enabled devices.","Advertising, Broadcasting, Internet, News, Online Portals, Software, Telecommunications, Video, Video on Demand",50.0,1,10.4,0.714924784
165,yurbuds,"Yurbuds develops a type of sport earphones that are custom fit for athletes, runners and_music lovers.","Audio, Hardware, Music, Software, Sports",2.0,9,55.1,0.200944661
166,sumologic,"Sumo Logic, a log management and analytics service, transforms big data into sources of operations, security and compliance intelligence.","Analytics, Big Data, Enterprise Software, Information Technology, SaaS, Security",72.4,10,71.3,0.129274208
167,battlefy,Battlefy is the simplest way to find and manage esports competitions.,"eSports, Gaming, Video Games",5.0,8,2378.5,0.935380885
168,slowventures,"Slow Ventures invests in companies central to the technology industry and those on the edges of science, society, and culture.","Angel Investment, Finance, Venture Capital",56.9,10,96.0,0.125186632
169,wrightspeed,"Wrightspeed is evolving vehicle propulsion, using high-power electric drive with micro-turbine generators.","Automotive, Electronics, Manufacturing",15.0,10,89.8,0.11093943
170,atreca,"Atreca develops a technology to identify the set of antibodies produced during an immune response, without prior knowledge of an antigen.","Biotechnology, Health Care, Therapeutics",3.0,10,300.1,0.216993425
171,zetroz,ZetrOZ is an innovative ultrasound technology company focused on developing innovative ultrasound products and applications.,"Biotechnology, Hospital, Information Technology, Medical Device",10.0,6,46.0,0.208856333
172,odysseythera,Odyssey Thera develops cellular pharmacology strategy for the identification of medicines for cancer and other human diseases.,"Biopharma, Biotechnology, Pharmaceutical",13.4,10,53995.0,0.409520268
173,epantry,"Home and personal care products that make it easy to create a healthy, beautiful home.","Consumer Goods, E-Commerce, Internet, Retail, Sustainability",1.0,10,942412.7,0.379810678
