Company Description,Category,Outcome,Cause,Total Funding Amount,Number of Investors,Min Employees,Max Employees,Average Employees
Platform for mobile interaction design,Design,Shut Down,Acquisition Flu,3800000,1,10,50,30
"Inbox that made email light, fast, and mobile-friendly.",Productivity,Shut Down,Bad Business Model,5000000,6,500,1000,750
"Enabled developers to host, assemble and run their applications",Software & Hardware,Bankruptcy,Mismanagement of Funds,13700000,15,250,500,375
Allowed users to store and collaborate on design work,Design,Shut Down,Lack of Funds,535000,3,10,50,30
Membership-based social dining experiment,Food & Beverage,Shut Down,Bad Business Model,9100000,5,10,50,30
Online interactive platform for DJs and listeners,Music,Shut Down,Bad Business Model,7000000,10,1,10,5
Provided B2B delivery transportation network,Transportation,Acquired,Competition,45500000,21,50,100,75
Social news reader for different platforms,Productivity,Shut Down,Multiple Reasons,3100000,4,10,50,30
Online app that provided healthy organic meals,Food & Beverage,Shut Down,Competition,56700000,26,50,100,75
Daily tappable tech news and stories,Productivity,Shut Down,Multiple Reasons,-999,0,1,10,5
Selling affordable solutions for metal 3-D printing,Software & Hardware,Shut Down,Bad Business Model,13200000,7,1,10,5
A P2P marketplace for online lending,Finances,Shut Down,Bad Business Model,12000000,4,10,50,30
Air vehicles for search and rescue missions,Software & Hardware,Shut Down,Multiple Reasons,39000000,8,10,50,30
Search engine with a live human being,Software & Hardware,Shut Down,Competition,96000000,9,50,100,75
On-demand doctors in emergency situations,Health,Shut Down,Bad Business Model,34000000,10,100,250,175
AI-powered travel planning services,Travel,Shut Down,Mismanagement of Funds,6000000,13,10,50,30
On-demand shipping startup,Transportation,Shut Down,Multiple Reasons,62100000,34,10,50,30
Consumer healthcare technology company,Health,Shut Down,Legal Challenges,1400000000,16,10,50,30
Launching rockets into space from airplanes,Transportation,Shut Down,Lack of Focus,-999,0,500,1000,750
Augmented driving device for cars,Transportation,Shut Down,Multiple Reasons,41800000,20,50,100,75
Building emotionally intelligent robots,Software & Hardware,Shut Down,Lack of Funds,182000000,6,100,250,175
Gourmet meals at your doorstep,Food & Beverage,Bankruptcy,Multiple Reasons,125400000,20,100,250,175
Short-form streaming platform,Entertainment,Shut Down,Multiple Reasons,1800000000,14,250,500,375
