company_name,city,state,employees,founded,Industry,CityRanking,estimated_revenues,job_openings,growth_percentage
Mindset Consulting,Minneapolis,MN,96,2010.0,4,32,13920000.0,1,57%
Valley Medical and Wellness,Burnsville,MN,33,2014.0,22,33,8910000.0,1,74%
Rise Baking Company,MINNEAPOLIS,MN,201,2013.0,23,34,54270000.0,9,51%
BuyerForesight,Duluth,MN,73,2014.0,24,2403,14746000.0,1,52%
ExperienceIT,Excelsior,MN,34,2013.0,25,2430,0.0,1,70%
Great North Labs,St. Cloud,MN,34,2017.0,4,2503,4930000.0,1,-3%
Top Ten Liquors,Minneapolis,MN,37,,26,35,0.0,1,68%
SRS Web Solutions,Minneapolis,MN,42,2007.0,4,36,6090000.0,1,68%
All In One Accounting,Eagan,MN,60,,27,37,9780000.0,18,22%
RMS Energy Co.,Randall,MN,73,1977.0,17,2592,21170000.0,1,49%
"Peterman Heating, Cooling & Plumbing",Indianapolis,MN,73,1986.0,5,2593,18323000.0,1,49%
Realty Group,Coon Rapids,MN,114,2008.0,11,38,24300000.0,27,27%
PCs for People,St. Paul,MN,79,1998.0,4,39,11455000.0,1,46%
Horizontal Digital,St Louis Park,MN,189,2003.0,4,40,27405000.0,1,47%
National Grid Renewables,Bloomington,MN,164,2004.0,28,41,34440000.0,1,46%
Boyum & Barenscheer PLLP,Bloomington,MN,103,1975.0,27,42,16789000.0,1,45%
CareAparentￃﾢ￢ﾀﾞￂﾢ,Woodbury,MN,42,2015.0,29,43,0.0,1,62%
Kurita America,Woodbury,MN,362,,30,2861,87966000.0,1,47%
Trean Corporation,Wayzata,MN,120,1996.0,0,2865,26400000.0,1,45%
Lorenz Clinic,Victoria,MN,45,2011.0,8,2893,12150000.0,1,61%
Roundel,Minneapolis,MN,189,,18,44,47250000.0,1,44%
Relievant Medsystems,Minneapolis,MN,76,,7,45,19076000.0,1,43%
ADX Labs,Minneapolis,MN,76,2016.0,4,46,11020000.0,1,43%
Dedicated Networks,Ramsey,MN,48,2005.0,31,2933,0.0,1,60%
Edge Home Finance Corporation,Edina,MN,237,1999.0,32,47,49770000.0,1,44%
ADX Labs,Minneapolis,MN,75,2006.0,4,48,10875000.0,1,42%
fjorge,Minneapolis,MN,69,,4,49,10005000.0,1,41%
Moments Hospice,Golden Valley ,MN,55,2016.0,8,50,14850000.0,1,57%
Solutran,Plymouth,MN,187,1982.0,6,51,39270000.0,1,41%
Garda Capital Partners,Minneapolis,MN,106,2015.0,33,52,24062000.0,1,39%
Tacora Resources,Grand Rapids,MN,131,,34,3247,32095000.0,1,25%
Digital River,Minnetonka,MN,990,1994.0,4,53,143550000.0,1,2%
APX Construction Group,Mankato,MN,30,2014.0,17,54,8700000.0,1,50%
Legacy Restoration,Plymouth,MN,83,2011.0,17,55,24070000.0,10,26%
Proozy,St. Paul,MN,51,2006.0,35,56,11577000.0,1,50%
University of Minnesota College of Veterinary Medicine,Saint Paul,MN,127,,36,57,0.0,1,35%
Epignosis learning technologies,San Francisco,MN,122,2012.0,4,3741,17690000.0,1,34%
Inspire Medical Systems,Maple Grove,MN,366,2007.0,7,58,50593000.0,3,35%
Qumu Corporation,Minneapolis,MN,163,2000.0,4,59,23635000.0,1,34%
NACS Inc.,Ham Lake,MN,69,1991.0,7,3840,17319000.0,1,33%
Profile by Sanford - MSP Wellness,Edina,MN,51,2012.0,19,60,13770000.0,1,46%
Beckhoff Automation USA,Savage,MN,71,1998.0,37,61,25063000.0,1,31%
ECMC Education,Minneapolis,MN,36,,38 ,62,6480000.0,1,44%
Horizontal Talent,St Louis Park,MN,142,2003.0,39,63,17040000.0,1,31%
Analytical Lab Group,Eagan,MN,103,2006.0,14,65,15965000.0,1,30%
Knobelsdorff Enterprises,Goodhue,MN,120,,37,4146,42360000.0,1,30%
World Food Processing,Minneapolis,MN,116,1985.0,23,66,31320000.0,1,30%
TechDigital Corporation,Burnsville,MN,139,2008.0,4,67,20155000.0,21,17%
MARCOMM Inc.,Minneapolis,MN,31,1993.0,39,68,3720000.0,1,41%
WCG ThreeWire,Eden Prairie,MN,176,,40,69,35376000.0,1,29%
Dedicated Logistics Services,Minneapolis,MN,55,1995.0,41,70,18040000.0,1,41%
Minnesota Community Care,Saint Paul,MN,77,1972.0,22,71,20790000.0,1,28%
Duininck,Prinsburg,MN,91,1926.0,17,4394,26390000.0,1,28%
Kenny's Candy & Confections,Perham,MN,39,1987.0,23,4446,10530000.0,1,39%
iSpine Pain Physicians,Maple Grove,MN,39,2013.0,22,72,10530000.0,1,39%
Tai Apparel,Minneapolis,MN,53,,35,73,12031000.0,1,39%
A.W. Companies,Edina,MN,67,2017.0,39,74,8040000.0,1,26%
University of Minnesota - FSAE,Minneapolis,MN,40,1994.0,42,75,13200000.0,1,38%
Revo Health,Minneapolis,MN,82,2017.0,8,76,22140000.0,1,26%
IHC Specialty Benefits,Phoenix,MN,140,,0,133,30800000.0,1,26%
Flagstone Foods,Minneapolis,MN,241,,23,77,65070000.0,1,26%
Sportsdigita,Minneapolis,MN,65,2010.0,10,78,10400000.0,1,25%
DecksDirect,Minneapolis,MN,49,2003.0,43,79,15729000.0,1,36%
CompanyCam,Lincoln,NE,79,2015.0,17,116,22910000.0,1,68%
Grand Island Regional Medical Center,Grand Island,NE,53,,8,361,14310000.0,1,194%
City+Ventures,Omaha,NE,64,2012.0,11,748,0.0,1,106%
Monolith Materials,Lincoln,NE,90,2012.0,44,1003,0.0,1,22%
Buildertrend,Omaha,NE,504,2006.0,20,1066,65540000.0,1,2%
Carson Group,Omaha,NE,177,,6,1534,37170000.0,4,2%
Milan Laser Hair Removal,Omaha,NE,387,2008.0,19,1576,104490000.0,36,39%
opendorse,Lincoln,NE,50,2012.0,20,1719,6235000.0,1,22%
Sapp Bros.,OMAHA,NE,190,1971.0,41,1879,62320000.0,1,23%
OpsCompass,Omaha,NE,34,2016.0,4,1960,4930000.0,1,13%
Nebraska Book Company,Lincoln,NE,445,1915.0,4,2033,0.0,1,-4%
Hotel Raddison,Omaha,NE,293,,45,2053,74422000.0,1,61%
AKRS Equipment,Lincoln,NE,68,,46,2274,24004000.0,1,55%
Anequim Careers,Omaha,NE,63,2016.0,47,2313,12663000.0,1,54%
North End Teleservices,Omaha,NE,34,2015.0,48,2434,5848000.0,1,70%
Limitless Male Medical Clinic,Omaha,NE,39,2016.0,19,2803,10530000.0,1,63%
Mutual of Omaha Insurance Company,Omaha,NE,76,,0,2919,16720000.0,1,43%
Home Instead Senior Care,Pleasant Hills,NE,23,1994.0,29,2935,0.0,1,15%
Meridian Clinical Research,Omaha,NE,139,1999.0,49,3004,14178000.0,10,36%
"biBERK, a Berkshire Hathaway Company",Omaha,NE,76,2015.0,0,3074,16720000.0,1,41%
White Castle Roofing,Roca,NE,89,1985.0,17,3220,25810000.0,1,39%
Prairie Mechanical Corporation,Omaha,NE,58,2002.0,17,3424,16820000.0,1,23%
Spreetail,Lincoln,NE,819,2006.0,35,3753,185913000.0,15,54%
Norland International,Lincoln,NE,108,1993.0,46,3813,38124000.0,1,33%
Omaha National,Omaha,NE,117,,0,3872,25740000.0,1,33%
Family Service Lincoln,Lincoln,NE,70,1891.0,50,3896,0.0,1,32%
Orion Advisor Solutions,Omaha,NE,904,2003.0,6,4056,189840000.0,1,20%
Dormie Network,Lincoln,NE,60,,45,4060,15240000.0,1,30%
SDS2,Lincoln,NE,89,1981.0,4,4285,12905000.0,1,29%
Ronco Construction,Omaha,NE,82,1976.0,17,4383,23780000.0,1,28%
Wholestone Farms,Fremont,NE,69,2018.0,23,4407,18630000.0,1,28%
Midwest Maintenance - Commercial Cleaning & Environmental Services,Omaha,NE,79,1965.0,51,4484,18881000.0,1,27%
Professional Research Consultants,Omaha,NE,368,1980.0,8,4492,99360000.0,1,30%
Lincoln Premium Poultry,Fremont,NE,156,,23,4637,42120000.0,1,27%
BigIron,St. Edward,NE,153,1982.0,4,5058,22185000.0,1,24%
DRM Arby's,Omaha,NE,126,1977.0,52,5154,22050000.0,1,24%
OCI Insurance,Elkhorn,NE,70,2002.0,0,5176,15400000.0,1,23%
EAD,Omaha,NE,107,2001.0,15,5230,10700000.0,1,23%
Farmers Mutual of Nebraska,Lincoln,NE,105,1891.0,0,5400,23100000.0,1,22%
Nebraska Total Care,Omaha,NE,54,2017.0,8,5537,14580000.0,1,32%
Sav-Rx Prescription Services,Fremont,Ne,35,1966.0,40,5725,7035000.0,1,30%
Thrasher,Papillion,NE,304,,17,5773,88160000.0,1,22%
Frontier Cooperative,Lincoln,NE,72,1915.0,53,5777,0.0,1,20%
Berry Law Firm,Lincoln,NE,78,1965.0,54,5801,21060000.0,1,20%
Arbor Bank,Omaha,NE,96,,32,5858,20160000.0,1,20%
Faith Regional Health Services,Norfolk,NE,160,,8,5873,43200000.0,1,20%
IAMS Wealth Management,Elkhorn,NE,32,2016.0,33,5975,7264000.0,1,28%
Quality Contact Solutions,Aurora,NE,46,2007.0,48,6132,7912000.0,1,28%
Papillion La Vista Community Schools,Papillion,NE,215,1872.0,38 ,6227,38700000.0,1,19%
LRS Healthcare,Omaha,NE,713,,8,6380,192510000.0,1,26%
Amigos/Kings Classic,Lincoln,NE,50,1980.0,23,6532,13500000.0,1,25%
Bridges Trust,Omaha,NE,56,,6,6606,11760000.0,1,24%
AccuQuilt,Omaha,NE,48,2008.0,5,6719,12048000.0,1,23%
Flood Communications,Omaha,NE,36,2000.0,55,6999,7380000.0,1,20%
Apple Roofing,Lincoln,NE,59,2011.0,17,7079,17110000.0,1,20%
BluePrint Engines,Kearney,NE,37,,42,7107,12210000.0,1,19%
GTA Insurance Group,Grand Island,NE,38,1987.0,0,7197,8360000.0,1,19%
Capitol City Electric,Lincoln,NE,46,1954.0,17,7327,13340000.0,1,18%
Heritage Communities,Omaha,NE,88,,8,7480,23760000.0,1,9%
VIDA Diagnostics,Coralville,IA,155,2004.0,7,66,38905000.0,1,19%
Yesway,Fort Worth,IA,232,,35,225,52664000.0,1,18%
DoubleVerify,Fort Worth,IA,672,2008.0,20,295,168000000.0,1,31%
Shoott,Fort Worth,IA,77,2018.0,56,298,0.0,1,157%
Beacon Platform,Fort Worth,IA,93,2014.0,6,489,19530000.0,19,39%
TLC Associates,Cedar Rapids,IA,237,2007.0,48,568,40764000.0,1,36%
FoodChain ID,Fairfield,IA,97,,23,856,26190000.0,1,29%
SUPER 8 MOTELS,Mason City,IA,77,,45,1376,19558000.0,1,7%
Mom's Meals | A Purfoods Company,Ankeny,IA,655,1999.0,23,1492,176850000.0,1,92%
Pomifera,Fairfield,IA,154,2019.0,57,1660,0.0,1,71%
SciPlay Corporation,"Cedar Falls,",IA,423,2019.0,58,1868,0.0,31,23%
HK Solutions Group,Des Moines,IA,46,,28,1987,9660000.0,1,84%
Interior Design Magazine,Des Moines,IA,739,1932.0,59,2049,179577000.0,1,80%
Digital Diagnostics,Coralville,IA,79,2010.0,7,2119,19829000.0,1,58%
Potomac Technologies,Coralville,IA,151,2016.0,4,2173,21895000.0,1,57%
GMT Corporation,Waverly,IA,50,,46,2373,17650000.0,1,72%
AVAILA BANK,Carroll,IA,77,1917.0,32,2608,16170000.0,1,20%
The Art of Education University,Osage,IA,77,2011.0,38 ,2646,13860000.0,1,48%
Agrisolutions,Bettendorf,IA,53,,46,2683,18709000.0,1,66%
International Institute for the Brain (iBrain),Bettendorf,IA,46,2018.0,38 ,2734,8280000.0,1,64%
MOXIE,North Liberty,IA,93,2008.0,28,2887,19530000.0,2,43%
Blue Stone Therapy,Urbandale,IA,75,2009.0,22,3020,20250000.0,1,42%
Heartland Retirement Group,Johnston,IA,127,,0,3082,27940000.0,1,41%
National Carwash Solutions,Grimes,IA,155,2010.0,60,22,0.0,21,26%
Stine Seed Company,Adel,IA,126,1968.0,53,3747,0.0,1,34%
Covenant Family Solutions,Marion,IA,39,2013.0,8,3966,10530000.0,1,44%
American Technology Consulting - ATC,Clive,IA,205,,4,4071,29725000.0,1,31%
Spinutech,Cedar Falls,IA,108,2000.0,4,4163,15660000.0,1,30%
RE/MAX Precision,Clive,IA,108,2013.0,11,4165,8320000.0,1,30%
The Fashion Show,Ames,IA,55,,61,4346,12540000.0,1,41%
Demco,Boyden,IA,88,1950.0,53,4726,0.0,1,26%
International Model United Nations Association (IMUNA),Boyden,IA,668,1975.0,62,4776,0.0,1,34%
Hawkeye Area Community Action Program,Hiawatha,IA,53,1965.0,50,5070,0.0,1,20%
ClaimDOC,Des Moines,IA,51,2013.0,0,5122,11220000.0,1,34%
Tri-State Nursing,Sioux City,IA,44,1993.0,8,5192,11880000.0,1,33%
Hawkeye Hotels,Coralville,IA,159,,45,5232,40386000.0,1,23%
CF CAPS,Cedar Falls,IA,93,2017.0,38 ,5321,16740000.0,1,22%
BDC Group Inc.,Cedar Rapids,IA,34,2015.0,16,5490,11050000.0,1,31%
Power Life,West Des Moines,IA,99,2012.0,19,5695,26730000.0,1,21%
Vision Electric,Bondurant,IA,76,2001.0,17,6073,22040000.0,1,19%
"Gleeson Constructors, L.L.C.",Sioux City,IA,101,1975.0,17,6112,29290000.0,1,19%
Fastpath Solutions,Des Moines,IA,59,2004.0,4,6123,8555000.0,1,28%
Mass Markets,Iowa City,IA,223,2003.0,4,6125,32335000.0,1,19%
SmartScripts,Iowa City,IA,46,2015.0,40,6136,9246000.0,1,28%
kanap systems,West Des Moines,IA,38,,4,6241,5510000.0,1,27%
St Gregory Recovery Center,Bayard,IA,44,,8,6418,11880000.0,1,26%
Seaboard Triumph Foods,Sioux City,IA,348,,23,6432,93960000.0,1,19%
New Wayￃﾂￂﾮ Trucks,Scranton,IA,54,1974.0,28,6480,11340000.0,1,26%
Iowa 80 Truckstop,Walcott,IA,36,1964.0,45,6541,9144000.0,1,24%
"OutcomesMTM, a Cardinal Health company",West Des Moines,IA,100,1999.0,40,6556,20100000.0,1,16%
United Life Insurance Company,Cedar Rapids,IA,58,1962.0,0,6734,12760000.0,1,23%
Luana Savings Bank,Luana,IA,49,1908.0,32,6777,10290000.0,1,23%
F&G,Des Moines,IA,645,1959.0,0,7036,141900000.0,1,19%
Realty ONE Group Impact,West Des Moines,IA,59,,11,7077,0.0,1,20%
"Power Engineering and Manufacturing, LTD",Waterloo,IA,48,1975.0,15,7084,4800000.0,1,20%
Paragon IT Professionals,Des Moines,IA,44,1997.0,39,7202,5280000.0,1,19%
minds + assembly,Des Moines,IA,115,2015.0,18,7271,28750000.0,1,12%
"Ahlers & Cooney, P.C.",Des Moines,IA,34,1888.0,54,7301,9180000.0,1,17%
Murphy Tower Service,Carlisle,IA,48,2004.0,16,7385,15600000.0,1,17%
MediRevv,Coralville,IA,337,,8,7636,90990000.0,1,7%
Peoples Bank,Rock Valley,IA,76,1945.0,32,7715,15960000.0,1,4%
Lordstown Motors,Lordstown,OH,289,2019.0,42,4,95370000.0,1,641%
Olive,Columbus,OH,651,2012.0,4,1,94395000.0,51,130%
Workhorse Group,Loveland,OH,142,2007.0,42,12,46860000.0,1,25%
HomeTown Ticketing,Columbus,OH,109,2016.0,2,2,15805000.0,9,395%
Leaf Home Solutions,Hudson,OH,162,2018.0,5,32,40662000.0,33,212%
Within3,Lakewood,OH,170,,1,42,45900000.0,13,170%
VNDLY,Cincinnati,OH,132,2017.0,4,51,19140000.0,3,52%
Beam Dental,Columbus,OH,253,2012.0,2,3,55660000.0,10,4%
Branch,Columbus,OH,70,2018.0,0,4,15400000.0,7,150%
Splash Financial,Cleveland,OH,66,2015.0,2,115,8580000.0,6,61%
Sweeping Corporation of America,Cleveland,OH,180,,28,1,37800000.0,1,3%
Seamless.AI,Columbus,OH,203,2015.0,4,5,29435000.0,22,199%
"Silfex, Inc. - A Division of Lam Research Corporation",Eaton,OH,419,,63,154,115225000.0,2,22%
Everstream Solutions,Cleveland,OH,321,2014.0,16,2,104325000.0,5,17%
Physna,Cincinnati,OH,33,2015.0,64,191,2320000.0,1,94%
Andelyn Biosciences,Columbus,OH,86,2020.0,14,6,13330000.0,5,187%
Astronomer,Cincinnati,OH,102,2015.0,4,203,14790000.0,1,113%
Path Robotics (We're Hiring!),Columbus,OH,83,2014.0,37,7,29299000.0,1,177%
Grandview Medical Center System,Dayton,OH,382,,8,300,103140000.0,1,20%
OuterBox Solutions,Akron,OH,63,2004.0,18,329,15750000.0,3,34%
MentorcliQ,Columbus,OH,77,2012.0,65,8,11165000.0,1,48%
Condado Tacos,Columbus,OH,223,2014.0,52,9,39025000.0,1,32%
BOLD PENGUIN,Columbus,OH,173,2016.0,2,10,38060000.0,3,34%
Phillips Edison & Company,Cincinnati,OH,330,1991.0,11,437,0.0,1,-4%
Esports Engine,Columbus,OH,88,2019.0, 66,11,18040000.0,1,132%
Stratus,Mentor,OH,367,,51,468,87713000.0,1,135%
Benchmark Digital Partners,Mason,OH,216,,4,477,31320000.0,1,130%
Loop,Columbus,OH,108,2017.0,4,12,15660000.0,1,57%
Genetesis,Mason,OH,31,2013.0,7,539,7781000.0,1,7%
Root Inc.,Columbus,OH,946,2015.0,2,13,122980000.0,71,21%
HumanIT Solutions,Dayton,OH,47,2016.0,4,569,6815000.0,1,161%
Hippo Video,Delaware,OH,98,2016.0,20,18,11310000.0,1,48%
PatientPoint®,Cincinnati,OH,503,1987.0,18,626,125750000.0,1,4%
Pro Football Focus,Cincinnati,OH,395,,10,673,63200000.0,1,117%
mDesign Home Decor,Glenwillow,OH,77,2015.0,5,677,19327000.0,1,83%
Woolpert,Dayton,OH,891,1911.0,15,726,89100000.0,1,5%
Cloverleaf,Cincinnati,OH,34,2017.0,65,754,6834000.0,1,70%
DATAECONOMY,Dublin,OH,58,2018.0,4,768,8410000.0,1,142%
Pearl Interactive Network Inc.,Columbus,OH,228,2004.0,16,14,74100000.0,1,5%
Smithers,Akron,OH,736,1925.0,62,848,0.0,5,2%
Lower,New Albany,OH,562,2018.0,6,915,118020000.0,1,111%
Heitmeyer Consulting,Westerville,OH,93,1999.0,39,920,11160000.0,9,90%
Finite State,Columbus,OH,36,2017.0,21,15,7344000.0,1,57%
Cloudbreak Health,Columbus,OH,63,2003.0,1,16,17010000.0,1,24%
N2Y,Huron,OH,182,,67,991,30030000.0,1,23%
RelateCare | Communicating Better Health,Cleveland,OH,162,2013.0,25,1024,0.0,1,21%
TREW,Mason,OH,111,2019.0,37,1204,39183000.0,1,85%
Cornerstone Research Group,Dayton,OH,81,1997.0,49,1212,8262000.0,4,-5%
Libra Industries,Mentor,OH,170,1980.0,68,1218,41650000.0,1,13%
Marxent,Kettering,OH,81,2011.0,4,1261,11745000.0,1,11%
MWE,Columbus,OH,162,2008.0,17,17,46980000.0,1,7%
Compass Experience Labs,Columbus,OH,60,2016.0,35,18,13620000.0,1,76%
Revolution Mortgage,Westerville,OH,186,2018.0,32,1503,39060000.0,1,75%
AUTOMAXX,Marietta,OH,94,,42,74,31020000.0,1,2%
Roosters | We Be Wings Franchise,Chillicothe,OH,57,2006.0,52,1634,9975000.0,1,97%
Stratos Wealth Partners,Shaker Heights,OH,187,,6,1647,39270000.0,1,0%
BlueChip Pros,Cincinnati,OH,61,1986.0,51,1692,14579000.0,1,69%
AMPM Employment,Vandalia,OH,66,2012.0,39,1700,7920000.0,1,69%
World Equestrian Center,Wilmington,OH,58,2016.0,10,1726,9280000.0,1,93%
Diversified Fall Protection,Cleveland,OH,51,1994.0,15,1733,5100000.0,1,21%
BoxCast,Cleveland,OH,63,2013.0,55,1742,12915000.0,1,54%
The Millennia Companies,Cleveland,OH,229,,11,1769,0.0,1,-3%
Great Day Improvements,Macedonia,OH,100,2011.0,17,1770,29000000.0,1,25%
East Ohio Regional Hospital,Martins Ferry,OH,68,1906.0,8,1830,18360000.0,1,66%
LGSTX Services,Wilmington,OH,290,2008.0,12,1836,88450000.0,1,24%
SynFiny Advisors,Cincinnati,OH,147,2014.0,25,1888,8640000.0,1,65%
Neuros Medical,Willoughby,OH,35,2008.0,7,2064,8785000.0,1,9%
Mile Two,Dayton,OH,105,2015.0,4,2094,15225000.0,1,59%
irth Solutions,Columbus,OH,52,1985.0,4,19,7540000.0,1,8%
Adaptive Rehabilitation Services,Middleburg Heights,OH,367,,19,2162,99090000.0,9,58%
ContactUS Communications,Hilliard,OH,212,,48,2195,36464000.0,1,28%
Luma Financial Technologies,Cincinnati,OH,79,2018.0,6,2261,16590000.0,1,55%
Hamilton County Public Health,Cincinnati,OH,150,1919.0,19,2307,40500000.0,1,55%
Belly Up Sports,Columbus,OH,43,2018.0,10,20,6880000.0,1,72%
Fathom Marketing,Garfield Heights,OH,98,,18,2396,24500000.0,1,24%
Centerline Biomedical,Cleveland,OH,34,2014.0,7,2433,8534000.0,1,70%
CHS Therapy & Rehab,Middleburg Heights,Oh,60,,19,2508,16200000.0,1,50%
Romeo's Pizza Franchise,Medina,OH,172,2001.0,52,2536,30100000.0,1,22%
T-cetra,Dublin,OH,112,,16,2602,36400000.0,1,49%
BBI Logistics,Columbus,OH,62,2017.0,41,21,20336000.0,1,48%
TFS,Perrysburg,OH,87,2000.0,51,2691,20793000.0,1,47%
CareCore Health,Cincinnati,OH,60,2005.0,8,2724,16200000.0,1,46%
LeaderStat,Powell,OH,184,2000.0,8,2809,49680000.0,1,46%
STERIS Endoscopy,Mentor,OH,133,,7,2842,33383000.0,1,2%
Planet Healthcare,Westlake,OH,42,2015.0,39,2845,5040000.0,1,62%
Nelson Tree Service,Dayton,OH,88,,69,2869,19360000.0,1,44%
Keller Williams Seven Hills Realty,Cincinnati,OH,72,2017.0,11,2873,0.0,1,44%
SPRINGFIELD CITY SCHOOL DISTRICT,Springfield,OH,69,,38 ,2882,12420000.0,1,44%
80 Acres Farms,Cincinnati,OH,98,2015.0,53,2889,0.0,1,44%
Eagles Club,Grove City,OH,134,,44,2905,0.0,1,44%
Clearsulting,Cleveland,OH,109,2015.0,25,2937,8640000.0,1,43%
Matic,Columbus,OH,152,2014.0,0,22,33440000.0,1,43%
Applied Research Solutions,Beavercreek,OH,253,2012.0,70,2954,77924000.0,7,41%
Hill & Smith Inc.,Columbus,OH,74,2008.0,17,23,21460000.0,1,42%
Narwal,Cincinnati,OH,46,2017.0,4,2979,6670000.0,1,59%
Rose & Remington,Lebanon,OH,46,2014.0,35,2980,10442000.0,1,59%
VineBrook Homes,Huber Heights,OH,125,,11,2986,0.0,8,37%
Smart Data,Miamisburg,OH,41,2005.0,4,3010,5945000.0,1,58%
Allegiance Administrators,Dublin,OH,41,,42,3011,13530000.0,1,58%
24Task.com,COLUMBUS,OH,58,2014.0,4,24,8410000.0,1,57%
Greenstand,Anchorage,AK,34,2015.0,28,1827,7140000.0,1,89%
Three Bears Alaska,Wasilla,AK,109,1980.0,35,4205,24743000.0,1,30%
BRICE ENVIRONMENTAL SERVICES CORPORATION,Anchorage,AK,69,2014.0,28,6007,14490000.0,1,19%
Behavior Matters,Anchorage,AK,43,2010.0,8,6313,11610000.0,1,26%
Sunshine Community Health Center,Talkeetna,AK,39,1986.0,8,6372,10530000.0,1,26%
DJ&A P.C,Missoula,MT,83,1973.0,15,458,0.0,1,131%
Neuro-ID,Whitefish,MT,39,2014.0,4,1254,5655000.0,1,39%
LumenAd,Missoula,MT,83,2014.0,18,1305,20750000.0,1,9%
onXmaps,Missoula,MT,241,2009.0,4,2153,34945000.0,15,39%
Spanish Peaks Mountain Club,Big Sky,MT,40,,45,2616,10160000.0,1,67%
Very,Chattanooga,MT,94,2011.0,4,2855,13630000.0,1,45%
Foundant Technologies,Bozeman,MT,174,2006.0,4,3346,25230000.0,1,38%
Immanuel Lutheran Communities,Kalispell,MT,76,1957.0,8,4025,20520000.0,1,31%
XY Planning Network,Bozeman,MT,158,2014.0,6,4274,33180000.0,1,30%
ELITE One Source Nutritional Services,Missoula,MT,50,1994.0,40,4554,10050000.0,1,39%
"Mann Mortgage, LLC [NMLS 2550]",Kalispell,MT,341,1989.0,6,4609,71610000.0,1,29%
Energy 1,Bozeman,MT,53,,17,4917,15370000.0,1,36%
Earth Elements Design Center,Gallatin Gateway,MT,99,2013.0,43,5362,31779000.0,1,22%
Dayspring Restoration,Missoula,MT,65,1989.0,17,6146,18850000.0,1,18%
Guidefitter,Bozeman,MT,42,2011.0,20,6183,10500000.0,1,27%
SmartLam North America,Columbia Falls,MT,37,2012.0,43,6638,11877000.0,1,23%
Under Canvas,Belgrade,MT,141,2009.0,45,7495,35814000.0,4,7%
S&K Technologies,St. Ignatius,MT,280,1999.0,4,7532,40600000.0,1,9%
"THE UNIVERSITY OF OKLAHOMA FOUNDATION, INC.",NORMAN,OK,89,,38 ,435,16020000.0,1,134%
Linen King,Tulsa,OK,85,2000.0,71,792,0.0,1,33%
Tinker Airforce Base,Spencer,OK,769,,72,1651,0.0,1,22%
RE/MAX Results,Owasso,OK,36,2016.0,11,1822,0.0,1,89%
