,company_name,description,website,funding,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter,cleaned_description,tokenized text
10,Accounting Panel,accounting panel cloudbased accounting tool designed help entrepreneur control business finance anytime anywhere,https://accountingpanel.com/,Na," Accounting, Information Technology, Software",01 to 10 ," Newark, Delaware, United States",2018-01-01 00:00:00," Financial Services, Information Technology, Professional Services, Software",—,Software-2018,accounting panel cloudbased accounting tool designed help entrepreneur control business finance anytime anywhere,"['accounting', 'panel', 'cloud', '##base', '##d', 'accounting', 'tool', 'designed', 'help', 'entrepreneur', 'control', 'business', 'finance', 'anytime', 'anywhere']"
11,ACE IoT Solutions,ace iot solution offer secure managed platform collecting aggregating visualizing facility operation,https://aceiotsolutions.com,Na," Information Services, Information Technology, Software",01 to 10 ," Chattanooga, Tennessee, United States",2018," Information Technology, Software",—,Software-2018,ace iot solution offer secure managed platform collecting aggregating visualizing facility operation,"['ace', 'i', '##ot', 'solution', 'offer', 'secure', 'managed', 'platform', 'collecting', 'a', '##gg', '##re', '##gating', 'visual', '##izing', 'facility', 'operation']"
12,Acsibi Studios,acsibi studio mobile game development company located acton,http://www.acsibistudios.com/,Na," Casual Games, Gaming, Mobile",01 to 10 ," Acton, Massachusetts, United States",2018," Gaming, Mobile",—,Software-2018,acsibi studio mobile game development company located acton,"['a', '##cs', '##ibi', 'studio', 'mobile', 'game', 'development', 'company', 'located', 'act', '##on']"
13,ACTIO,actio modular based software service analytics platform designed restaurant service,https://www.actioanalytics.com/,Na," Analytics, Data Integration, SaaS, Software",01 to 10 ," Tampa, Florida, United States",2018," Data and Analytics, Information Technology, Software","ACTIO is an information technology company that features a modular-based Software as a Service analytics platform designed for restaurant services. It offers a syndicated database that can be customized by its users.

The company was founded in 2018 and headquartered in Tampa, Florida.",Software-2018,actio modular based software service analytics platform designed restaurant service,"['act', '##io', 'modular', 'based', 'software', 'service', 'anal', '##ytic', '##s', 'platform', 'designed', 'restaurant', 'service']"
14,Activeconnect,activeconnect work type device operating system every transaction including io android window mac o,https://www.activeconnect.io,Na," Cyber Security, Identity Management, Information Technology, Internet",01 to 10 ," Los Angeles, California, United States",2018," Information Technology, Internet Services, Privacy and Security","Activeconnect works on all types of devices and operating systems for every transaction including iOS, Android, Windows, and Mac OS. We provide a well-documented API and everything needed to build applications that have frictionless step-up authentication without needing passwords. Activeconnect’s technology powers authentication for any platform, web application, mobile application, software, and just about everything that needs user authentication and secure transactions.

We help our Clients Avoid Account Takeover (ATO), reduce fraud and enable frictionless security steps to make any transaction secure, easy, cost-effective, and instantly scalable.",Software-2018,activeconnect work type device operating system every transaction including io android window mac o,"['active', '##con', '##nect', 'work', 'type', 'device', 'operating', 'system', 'every', 'transaction', 'including', 'i', '##o', 'and', '##roid', 'window', 'mac', 'o']"
15,Acuity PPM,lightweight project portfolio management ppm software new pmos,https://acuityppm.com/,Na,Software,01 to 10 ," Bellevue, Washington, United States",2018,Software,—,Software-2018,lightweight project portfolio management ppm software new pmos,"['lightweight', 'project', 'portfolio', 'management', 'pp', '##m', 'software', 'new', 'pm', '##os']"
16,ACW Analytics,deliver insight help asset manager plan react extreme weather event,https://www.acw-analytics.com/,Na," Artificial Intelligence, Information Technology, InsurTech, Machine Learning, Predictive Analytics, Software",01 to 10 ," Stamford, Connecticut, United States",2018," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","We build machine learning models that predict the impact of extreme weather and climate on infrastructure assets. Our Assistive AI solutions can be used for real-time operations, resilience planning, financial risk management & underwriting",Software-2018,deliver insight help asset manager plan react extreme weather event,"['deliver', 'insight', 'help', 'asset', 'manager', 'plan', 'react', 'extreme', 'weather', 'event']"
17,Ad Fontes Media,ad fontes medium public benefit corporation rate news founded vanessa otero creator medium bias chart®,https://www.adfontesmedia.com/,Na," E-Learning, EdTech, Higher Education, Journalism, Media and Entertainment, News, Social Entrepreneurship, Social Impact, Software",01 to 10 ," Lafayette, Colorado, United States",2018," Community and Lifestyle, Content and Publishing, Education, Media and Entertainment, Other, Software","Ad Fontes Media, Inc. is a company founded in 2018 by Vanessa Otero, creator of the Media Bias Chart®. The mission of Ad Fontes Media is “to make news consumers smarter and news media better.”

Ad Fontes rates the news for reliability and bias to help people navigate the news landscape. Ad Fontes is Latin for “to the source,” because at the heart of what Ad Fontes Media does is look at the source—analyze the very content itself—to rate it. Ad Fontes has created a system of news content ratings that has beneficial applications for all stakeholders in a healthy news media landscape, including consumers, educators, journalism outlets, researchers, advertisers, and social media platforms. Ad Fontes currently creates ratings with a small team of human analysts who have political views from across the spectrum. The analysts are trained to look at the content of the news and score it according to a consistent methodology. Ad Fontes provides the news source ratings themselves as a reference product for consumers and educators—mainly through through its widely known Media Bias Chart. Ad Fontes also now offers a software platform for educators to teach students how to rate the news using its approach.


Ad Fontes Media is incorporated as a Public Benefit Corporation (PBC) in Colorado. The stated public benefit of Ad Fontes Media is the same as its mission. It is currently funded by its founder, by a crowdfunding campaign which ran in late 2018,  by sales of licenses, prints, data products, and educational products, and by donations (non-tax-deductible) by individuals who believe in its mission.",Software-2018,ad fontes medium public benefit corporation rate news founded vanessa otero creator medium bias chart®,"['ad', 'font', '##es', 'medium', 'public', 'benefit', 'corporation', 'rate', 'news', 'founded', 'van', '##ess', '##a', 'o', '##tero', 'creator', 'medium', 'bias', 'chart', '##®']"
18,Ad Genius,ad genius provides marketing solution based exceptional technical talent creative power,https://www.ad-genius.com/,Na," Advertising, Information Technology, Marketing",01 to 10 ," Charleston, South Carolina, United States",2018," Advertising, Information Technology, Sales and Marketing","Ad Genius provides marketing solutions based on exceptional technical talent and creative power fueled by a multi-million dollar tech platform.

What We Believe	Ad Genius uses an approach we call people based marketing at scale, and is all about identity and analytics. What we do comes down to STEM – Science, Technology, Engineering, and Math. This approach provides leading-edge solutions with accountable results, excellent user experience, and sustainability.	

The Upshot	Technology today can help marketers realize the potential of serving customers the kind of meaningful interaction that used to only happen in real life. Like the nice couple at the farmers market who know your name and the way you take your coffee, technology now exists to create experiences that are light on friction and rich with personalized surprise and delight.	

Our Values	Doing things right by our clients, partners, and teammates, operating with values founded on authentic mutual respect, and an appreciation of our limited environmental resources.",Software-2018,ad genius provides marketing solution based exceptional technical talent creative power,"['ad', 'genius', 'provides', 'marketing', 'solution', 'based', 'exceptional', 'technical', 'talent', 'creative', 'power']"
19,Aersys Inc.,automated microfulfillment center drone rover delivery,http://www.aersys.io/,Na," Infrastructure, Software",01 to 10 ," New Brunswick, New Jersey, United States",2018-01-01 00:00:00," Other, Software","Aersys Inc. is an early-stage tech startup that is developing a network of automated micro-fulfillment centers to enable commercial-scale automated delivery with drones, rovers and other vehicles.",Software-2018,automated microfulfillment center drone rover delivery,"['automated', 'micro', '##ful', '##fill', '##ment', 'center', 'drone', 'r', '##over', 'delivery']"
20,Agamon,agamon aipowered healthcare platform convert clinical text structured data,https://www.agamonhealth.com,3000000," Artificial Intelligence, Big Data, Health Care, Natural Language Processing",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Agamon is a healthcare AI platform uses advanced techniques to structure clinical texts and surface critical insights. Agamon is transforming clinical data into knowledge; unleashing the power of previously unused medical documents to drive dramatic advancements in healthcare and medicine. The result? Increased revenue, reduced risk and liability, automated workflows, and improved patient satisfaction.
Agamon’s proprietary technology uses advanced techniques to structure clinical texts and unlock critical insights. Founded by a team of intellectually curious technologists, doctors and entrepreneurs, Agamon is powering innovation in the healthcare industry, united by a single mission: to transform clinical data into knowledge.",Software-2018,agamon aipowered healthcare platform convert clinical text structured data,"['a', '##gam', '##on', 'a', '##ip', '##ow', '##ered', 'healthcare', 'platform', 'convert', 'clinical', 'text', 'structured', 'data']"
21,Agape,agape platform scientifically designed strengthen romantic relationship personalized daily question,https://www.theagapeapp.com/,75000," Developer Platform, Information Services, Information Technology, Software, Wellness",01 to 10 ," Rochester, New York, United States",2018," Health Care, Information Technology, Software","Agapé is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.

Agape is a mobile platform that uses 5 steps - communication, affirmation, reflection, investment, and council - to provide a daily way to strengthen your relationship in three minutes or less. It was founded in 2018 and based in Rochester, New York.",Software-2018,agape platform scientifically designed strengthen romantic relationship personalized daily question,"['a', '##ga', '##pe', 'platform', 'scientific', '##ally', 'designed', 'strengthen', 'romantic', 'relationship', 'personal', '##ized', 'daily', 'question']"
22,Agave,agave free hiring platform offer job posting,https://www.agave.com/,1000000," Recruiting, SaaS, Software, Staffing Agency",01 to 10 ," Palo Alto, California, United States",2018-01-01 00:00:00," Administrative Services, Professional Services, Software","Agave is a free hiring platform that offers job postings, hosted career pages, customer relationship management tools and full API read and write access. Today's hiring software is slow, expensive, and painful. They are on a mission to make hiring software faster, better, and cost-effective.",Software-2018,agave free hiring platform offer job posting,"['a', '##ga', '##ve', 'free', 'hiring', 'platform', 'offer', 'job', 'posting']"
23,Agita Labs,agita lab develops privacyenhanced computing architecture facilitate creation new data market,http://www.agitalabs.com/,3149992," Cloud Computing, Cyber Security, Privacy",01 to 10 ," Ann Arbor, Michigan, United States",2018," Information Technology, Internet Services, Privacy and Security, Software","Agita Labs is a new startup in Ann Arbor, Michigan. The company is developing next-generation privacy-enhanced computing architectures that will facilitate the creation of new data markets while protecting data IP rights and respecting personal information.",Software-2018,agita lab develops privacyenhanced computing architecture facilitate creation new data market,"['a', '##git', '##a', 'lab', 'develops', 'privacy', '##en', '##han', '##ced', 'computing', 'architecture', 'facilitate', 'creation', 'new', 'data', 'market']"
24,Agnes Intelligence,artificial intelligence,http://agnesintel.com,Na," Artificial Intelligence, Big Data, Ediscovery, Legal, Podcast, Speech Recognition",01 to 10 ," Brooklyn, New York, United States",2018-01-01 00:00:00," Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software","Agnes Intelligence attracts, nurtures, and partners with the best AI talent in the world. 

We give our engineers the most advanced technology and infrastructure and partner with industry experts to develop and implement high-value AI solutions.
",Software-2018,artificial intelligence,"['artificial', 'intelligence']"
25,Agoric,agoric provides framework programming smart contract securely ease beyond anything available today,https://agoric.com/,4000000," Blockchain, Cryptocurrency, Developer Platform, E-Commerce Platforms, Software",01 to 10 ," San Francisco, California, United States",2018," Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Software","Agoric is a framework that provides security and ease in programming smart contracts, beyond anything available today. Agoric’s mission is to provide a secure smart contracts framework to the entire blockchain ecosystem. With Agoric, which makes it easier to build and deploy smart contracts in JavaScript, millions of programmers worldwide will have safer, simpler tools to build smart contracts and applications. In addition, composability enables rapid development and competitive advantage. With secure smart contracts, we envision unprecedented, widespread forms of global cooperation, and entrepreneurs creating fundamentally new businesses enabled by digital assets. Agoric is here to make that opportunity a reality.

The Agoric team includes world-class technologists, economists, business leaders and community builders on a quest to bring smart contracts into the future. Members of the Agoric team have been professional collaborators in smart contracts technology for over 30 years, and have now reunited to enact this mission. Agoric has collaborated with Cosmos and other well-known projects, and is backed by Outlier Ventures, Kilowatt Capital, gumi Cryptos Capital, MetaStable Capital, Lemniscap, Xpring, Rockaway Blockchain and the Interchain Foundation, as well as additional funding from Naval Ravikant and Polychain.",Software-2018,agoric provides framework programming smart contract securely ease beyond anything available today,"['ago', '##ric', 'provides', 'framework', 'programming', 'smart', 'contract', 'secure', '##ly', 'ease', 'beyond', 'anything', 'available', 'today']"
26,Agreemint,search faster close end,https://www.agreemint.com/,70000," Artificial Intelligence, Information Technology, Insurance, Legal Tech",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software","Through the Agreemint Contract Platform AI, users interact in a more efficient way, creating a contract workflow that delights everyone - legal or non-legal. 

.",Software-2018,search faster close end,"['search', 'faster', 'close', 'end']"
27,Akava,akava specializes software engineering devops design product project management service client,https://www.akava.io,Na," Consulting, Project Management, Software Engineering",01 to 10 ," San Francisco, California, United States",2018," Administrative Services, Other, Professional Services, Science and Engineering, Software",—,Software-2018,akava specializes software engineering devops design product project management service client,"['aka', '##va', 'specializes', 'software', 'engineering', 'de', '##vo', '##ps', 'design', 'product', 'project', 'management', 'service', 'client']"
28,Akita Software,akita build dynamic application programming interface model software programming integration,https://www.akitasoftware.com/,Na," Cloud Computing, Developer APIs, Information Technology",01 to 10 ," San Francisco, California, United States",2018," Information Technology, Internet Services, Software",—,Software-2018,akita build dynamic application programming interface model software programming integration,"['a', '##ki', '##ta', 'build', 'dynamic', 'application', 'programming', 'interface', 'model', 'software', 'programming', 'integration']"
29,Aligned Carbon,aligned carbon supplier aligned carbon nanotube enabling 1000x improvement computing,https://www.alignedcarbon.com/,1047000," Computer, Information Technology, Nanotechnology",01 to 10 ," Santa Clara, California, United States",2018," Consumer Electronics, Hardware, Information Technology, Science and Engineering","Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing. It has provided its product of wafer-scale aligned carbon nanotube arrays to more than a dozen university research groups and industrial research labs.

Aligned Carbon was formed in early 2018 by three friends and labmates from Stanford University. Collectively Aligned Carbon’s team represents over 35 years of nanotechnology experience with 100+ peer-reviewed publications and inventorship for 15+ patents.",Software-2018,aligned carbon supplier aligned carbon nanotube enabling 1000x improvement computing,"['aligned', 'carbon', 'supplier', 'aligned', 'carbon', 'na', '##not', '##ube', 'enabling', '1000', '##x', 'improvement', 'computing']"
30,Allelica,allelica genomics software company driving transition polygenic risk score genomic research clinical application,https://www.allelica.com/,1750000," Biotechnology, Genetics, Health Care, Life Science, Machine Learning, Medical, Predictive Analytics",01 to 10 ," New York, New York, United States",2018-01-01 00:00:00," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application. The company uses cutting-edge genomics technology and machine learning algorithms to accelerate research and translational clinical genomics in Precisione Medicine. 

It was founded in 2018 and is headquartered in New York, United States.",Software-2018,allelica genomics software company driving transition polygenic risk score genomic research clinical application,"['all', '##eli', '##ca', 'g', '##eno', '##mic', '##s', 'software', 'company', 'driving', 'transition', 'p', '##oly', '##genic', 'risk', 'score', 'g', '##eno', '##mic', 'research', 'clinical', 'application']"
31,ampcontrol.io,ampcontrolio aibased optimization software electric vehicle charging build charging station low cost,https://www.ampcontrol.io/,1100000," Artificial Intelligence, Electric Vehicle, Energy, Machine Learning, Power Grid, Smart Cities, Smart Home",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Consumer Electronics, Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Transportation","ampcontrol.io is an AI-based optimization software for electric vehicle charging. Companies use ampcontrol's API to reduce charging costs. The company has paying customers. The founder, Joachim Lohse is a software engineer and former energy markets consultant at PwC.",Software-2018,ampcontrolio aibased optimization software electric vehicle charging build charging station low cost,"['am', '##p', '##con', '##tro', '##lio', 'a', '##iba', '##sed', 'optimization', 'software', 'electric', 'vehicle', 'charging', 'build', 'charging', 'station', 'low', 'cost']"
32,anna,anna first aipowered selfcheckout solution designed meet specific need cannabis retailer,https://www.tryanna.com/,Na," Artificial Intelligence, Cannabis, Retail, Software",01 to 10 ," Boulder, Colorado, United States",2018," Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software","anna is the first AI-powered self-checkout solution designed to meet the specific needs of cannabis retailers. anna cracks the code for bringing today's advancements in retail automation to the dispensary floor, while delivering a seamless consumer experience that is equally suited for the booming demands of the CBD industry. anna facilitates fast, cost-effective, and fully-compliant transactions that maximize revenue per square foot and lower operational costs for THC and CBD retailers.",Software-2018,anna first aipowered selfcheckout solution designed meet specific need cannabis retailer,"['an', '##na', 'first', 'a', '##ip', '##ow', '##ered', 'self', '##che', '##ck', '##out', 'solution', 'designed', 'meet', 'specific', 'need', 'cannabis', 'retailer']"
33,AnnoTex,annotex pdf annotator software allows user write math equation chemical structure,Na,Na," Information Technology, Software",01 to 10 ," Berkeley, California, United States",2018," Information Technology, Software","AnnoTex is a PDF annotator software that allows users to write math equations and chemical structures. The company was founded by Achyuta Iyengar and Kavi Vaidya and is based in Berkeley, California, United States.",Software-2018,annotex pdf annotator software allows user write math equation chemical structure,"['an', '##note', '##x', 'p', '##d', '##f', 'an', '##not', '##ator', 'software', 'allows', 'user', 'write', 'math', 'equation', 'chemical', 'structure']"
34,ANOVA Intelligence,u intelligence agencygrade forensic analysis critical intel,https://ANOVAintel.com,85000," Analytics, Artificial Intelligence, Big Data, Cyber Security, Predictive Analytics",01 to 10 ," Silver Spring, Maryland, United States",2018," Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","We find nation-state malware that others miss because we scan where others can't. ANOVA leverages AI and deep learning to automate vRAM forensic analysis, incident verification, data integrity anomaly detection and cyberconflict prediction across distributed networks, unsupervised and at scale. We arm enterprise and industrial high-value targets with the deep forensics and critical intel they require.",Software-2018,u intelligence agencygrade forensic analysis critical intel,"['u', 'intelligence', 'agency', '##grade', 'forensic', 'analysis', 'critical', 'in', '##tel']"
35,Ansatz AI,ansatz ai develops machine learning tool design optimization chemical material technology,https://www.ansatzai.com/,Na," Artificial Intelligence, Chemical, Computer, Machine Learning",01 to 10 ," Pittsburgh, Pennsylvania, United States",2018-01-01 00:00:00," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",—,Software-2018,ansatz ai develops machine learning tool design optimization chemical material technology,"['an', '##sat', '##z', 'a', '##i', 'develops', 'machine', 'learning', 'tool', 'design', 'optimization', 'chemical', 'material', 'technology']"
36,AnyLog,anylog building next generation decentralized iot platform data owner capture full value data blockchain,http://anylog.co/,Na," Blockchain, Database, Internet of Things",01 to 10 ," Palo Alto, California, United States",2018," Data and Analytics, Internet Services, Other, Software","AnyLog is building a distributed network to manage the IoT data. Using a unique and innovative approach (leveraging distributed network and blockchain), AnyLog allows users to store, share, query, and monetize the IoT data in real time, with no reliance on a centralized authority.

AnyLog inherently solves the problems of scalability, real time availability and high costs associated with the huge amounts of IoT data and it replaces the IoT silos of data with a global and unified  platform to manage the IoT data. In the same way that that Google offers a unified interface to the websites data, AnyLog offers a unified interface to the IoT data.
",Software-2018,anylog building next generation decentralized iot platform data owner capture full value data blockchain,"['any', '##log', 'building', 'next', 'generation', 'decent', '##ral', '##ized', 'i', '##ot', 'platform', 'data', 'owner', 'capture', 'full', 'value', 'data', 'block', '##cha', '##in']"
37,Aori,set tool help conquer google bing facebook ad,https://aori.com/,Na," Advertising, Advertising Platforms, Digital Media, Internet, Semantic Search, Social Media, Software",01 to 10 ," New York, New York, United States",2018-01-01 00:00:00," Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",—,Software-2018,set tool help conquer google bing facebook ad,"['set', 'tool', 'help', 'conquer', 'go', '##og', '##le', 'bin', '##g', 'face', '##book', 'ad']"
38,Apaly Health,apaly health enables employer provider direct contract scale,https://www.apaly.com/,Na," Computer Vision, Health Care, Software",01 to 10 ," Tampa, Florida, United States",2018," Hardware, Health Care, Software","Apaly Health enables employers and providers to direct contract at scale.Apaly Health was founded by a veteran doctor, technologist,and entrepreneur, who envisioned a healthcare system that is patient centric, driven by higher quality, direct, and enabled by advanced technology.  Through the use of blockchain technology, Apaly Health is creating a transparent, cost-effective solution that is more secure, faster, and more efficient.",Software-2018,apaly health enables employer provider direct contract scale,"['a', '##pal', '##y', 'health', 'enables', 'employer', 'provider', 'direct', 'contract', 'scale']"
39,APEX,apex app enables user select driver choice favorite uberlyft driver advance rideshare  delivery,https://apexmobileapp.com,Na," Android, Apps, iOS, Logistics, Mobile Apps, Mobile Payments, Software",01 to 10 ," Richmond, Virginia, United States",2018," Apps, Financial Services, Mobile, Payments, Platforms, Software, Transportation",—,Software-2018,apex app enables user select driver choice favorite uberlyft driver advance rideshare  delivery,"['apex', 'app', 'enables', 'user', 'select', 'driver', 'choice', 'favorite', 'u', '##ber', '##ly', '##ft', 'driver', 'advance', 'rides', '##hare', 'delivery']"
40,apiphani,apiphani offer strategic  operational consulting database management managed service,https://www.apiphani.io,Na," Consulting, Database, Information Services, Information Technology",01 to 10 ," Boston, Massachusetts, United States",2018," Data and Analytics, Information Technology, Professional Services, Software",—,Software-2018,apiphani offer strategic  operational consulting database management managed service,"['a', '##pi', '##pha', '##ni', 'offer', 'strategic', 'operational', 'consulting', 'database', 'management', 'managed', 'service']"
41,Apoll01,apoll01 open platform surfacing need education institution collaborating reaching consensus establish standard,http://www.apoll01.com,Na," Education, Information Services, Information Technology",01 to 10 ," San Francisco, California, United States",2018," Education, Information Technology","Apoll01 is an open platform for surfacing needs of education institutions, collaborating, and reaching consensus to establish standards.

APoll01 Nation is an open, tokenized community committed to accelerating the development of an education ecosystem around decentralized profiles, while documenting data standards and implementation guidelines for partner schools and EdTech companies to utilize.",Software-2018,apoll01 open platform surfacing need education institution collaborating reaching consensus establish standard,"['a', '##pol', '##l', '##01', 'open', 'platform', 'surf', '##acing', 'need', 'education', 'institution', 'collaborating', 'reaching', 'consensus', 'establish', 'standard']"
42,App Growth Experts,app growth expert help mobile app publisher developer discover increase app’s performance  sustainability,https://appgrowthsummit.com,Na,Mobile Apps,01 to 10 ," San Francisco, California, United States",2018," Apps, Mobile, Software",App Growth Experts helps mobile app publishers and developers discover how to increase their app’s performance & sustainability.,Software-2018,app growth expert help mobile app publisher developer discover increase app’s performance  sustainability,"['app', 'growth', 'expert', 'help', 'mobile', 'app', 'publisher', 'developer', 'discover', 'increase', 'app', '’', 's', 'performance', 'sustainability']"
43,ApprentiScope,apprentiscope computer software company,https://apprentiscope.com,Na," Computer, Software, Software Engineering",01 to 10 ," Burlington, Vermont, United States",2018," Consumer Electronics, Hardware, Science and Engineering, Software",—,Software-2018,apprentiscope computer software company,"['app', '##rent', '##isco', '##pe', 'computer', 'software', 'company']"
44,AppyHour,appyhour smart marketing business management platform,https://www.appyhourmobile.com/,Na," Advertising, Business Intelligence, Marketing, Productivity Tools, SaaS",01 to 10 ," Minneapolis, Minnesota, United States",2018," Advertising, Data and Analytics, Sales and Marketing, Software","AppyHour is a smart marketing and business management platform. The AppyHour platform empowers clients to better manage, understand, and grow their business from a single dashboard. It provides tools that engage customers, drive traffic, gather insight, and intelligently optimize offers and promotions to improve performance and grow businesses.",Software-2018,appyhour smart marketing business management platform,"['app', '##y', '##hou', '##r', 'smart', 'marketing', 'business', 'management', 'platform']"
