,company_name,description,industry_groups,headquarters
15,Acuity PPM,Lightweight project portfolio management (PPM) software for new PMO's,Software,Washington
16,ACW Analytics,We deliver insights that help asset managers plan for and react to extreme weather events," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software",Connecticut
17,Ad Fontes Media,"Ad Fontes Media is a Public Benefit Corporation that rates the news. It was founded by Vanessa Otero, creator of the Media Bias Chart®."," Community and Lifestyle, Content and Publishing, Education, Media and Entertainment, Other, Software",Colorado
18,Ad Genius,Ad Genius provides marketing solutions based on exceptional technical talent and creative power.," Advertising, Information Technology, Sales and Marketing",South Carolina
19,Aersys Inc.,Automated MicroFulfillment Centers for Drone and Rover Deliveries.," Other, Software",New Jersey
20,Agamon,Agamon is an AI-powered healthcare platform that converts clinical text into structured data.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",New York
21,Agape,Agape is a platform scientifically designed to strengthen romantic relationships through personalized daily questions.," Health Care, Information Technology, Software",New York
22,Agave,Agave is a free hiring platform that offers job postings.," Administrative Services, Professional Services, Software",California
23,Agita Labs,Agita Labs develops privacy-enhanced computing architectures that facilitate the creation of new data markets.," Information Technology, Internet Services, Privacy and Security, Software",Michigan
24,Agnes Intelligence,Artificial Intelligence," Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Science and Engineering, Software",New York
25,Agoric,"Agoric provides a framework for programming smart contracts securely and with ease, beyond anything available today."," Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Software",California
26,Agreemint,The Search for Faster Closes Ends Here.," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software",California
27,Akava,"Akava specializes in software engineering, DevOps, design, product and project management services to its clients."," Administrative Services, Other, Professional Services, Science and Engineering, Software",California
28,Akita Software,Akita builds dynamic application programming interface models for software programming and integration.," Information Technology, Internet Services, Software",California
29,Aligned Carbon,"Aligned Carbon is a supplier of aligned carbon nanotubes, enabling 1000x improvement in computing."," Consumer Electronics, Hardware, Information Technology, Science and Engineering",California
30,Allelica,Allelica is a genomics software company driving the transition of Polygenic Risk Score from Genomic research to clinical application.," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",New York
31,ampcontrol.io,ampcontrol.io is an AI-based optimization software for electric vehicle charging to build more charging stations at low costs.," Artificial Intelligence, Consumer Electronics, Data and Analytics, Energy, Real Estate, Science and Engineering, Software, Transportation",New York
32,anna,anna is the first AI-powered self-checkout solution designed to meet the specific needs of cannabis retailers.," Artificial Intelligence, Commerce and Shopping, Community and Lifestyle, Data and Analytics, Food and Beverage, Health Care, Science and Engineering, Software",Colorado
33,AnnoTex,AnnoTex is a PDF annotator software that allows users to write math equations and chemical structures.," Information Technology, Software",California
34,ANOVA Intelligence,US intelligence agency-grade forensic analysis and critical intel.," Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",Maryland
35,Ansatz AI,Ansatz AI develops machine learning tools for the design and optimization of chemical and material technologies.," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",Pennsylvania
36,AnyLog,AnyLog is building a next generation decentralized IoT platform where data owners can capture the full value of their data on the blockchain," Data and Analytics, Internet Services, Other, Software",California
37,Aori,"A set of tools to help you conquer Google, Bing and Facebook Ads"," Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",New York
38,Apaly Health,Apaly Health enables employers and providers to direct contract at scale.," Hardware, Health Care, Software",Florida
39,APEX,"APEX app enables users to select a driver of their choice, or their favorite Uber/Lyft drivers in advance (for rideshare & delivery)."," Apps, Financial Services, Mobile, Payments, Platforms, Software, Transportation",Virginia
40,apiphani,"apiphani offers strategic & operational consulting, database management, and managed services."," Data and Analytics, Information Technology, Professional Services, Software",Massachusetts
41,Apoll01,"Apoll01 is an open platform for surfacing needs of education institutions, collaborating, and reaching consensus to establish standards."," Education, Information Technology",California
42,App Growth Experts,App Growth Experts helps mobile app publishers and developers discover how to increase their app’s performance & sustainability.," Apps, Mobile, Software",California
43,ApprentiScope,ApprentiScope is a computer software company.," Consumer Electronics, Hardware, Science and Engineering, Software",Vermont
44,AppyHour,AppyHour is a smart marketing and business management platform.," Advertising, Data and Analytics, Sales and Marketing, Software",Minnesota
45,Apres,Apres is an analytics platform built to scale and explain AI decision making.," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",California
46,Aquifer Motion,Aquifer Motion is a SaaS platform that enables creators and teams create studio-level animated video without studios.," Hardware, Media and Entertainment, Software",Texas
47,Ara Sound Labs,Ara Sound Labs develops audio technologies for various applications.," Media and Entertainment, Music and Audio, Software",California
48,ArbiLex,ArbiLex leverages predictive analytics to empower lawyers and litigation funders to make data-driven decisions in cross-border disputes.," Data and Analytics, Design, Financial Services, Information Technology, Professional Services, Software",Massachusetts
49,Arch,Arch digitally manages private investment operations for investors and investment advisors.," Financial Services, Lending and Investments, Real Estate, Software",New York
50,Archeads,Archeads is a real estate property management firm dealing floorplans services.," Information Technology, Real Estate",New York
51,Ari Coach,Ari Coach mission is to make healthy eating simple & accessible for everyone.," Apps, Food and Beverage, Health Care, Mobile, Software",California
52,ARI Recruiting,ARI Recruiting is an intelligent recruiting software that tracks athletes and provides feedback for enhanced decision making.," Consumer Electronics, Hardware, Professional Services, Software",Texas
53,Arias Intel,"Arias Intel operates as a digital media platform for tech, media, and gaming."," Hardware, Media and Entertainment, Professional Services, Software",Florida
54,Armarius Software,"Armarius Software provides robotic process automation, data loss prevention, enhanced IT capability, and website filtering services."," Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",Illinois
55,Arpio,Arpio protects and eliminates downtime for AWS applications by making it easy to recover from any outage in just a few minutes.," Internet Services, Other, Software",North Carolina
56,Arroyo Networks,"Delivering peace of mind, by replacing traditional networking with software defined security solutions."," Hardware, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",Michigan
57,ASizer,ASizer is an app to measure your body.," Apps, Software, Sports",California
58,Assembler Labs,Assembler Labs is a Detroit startup studio working with local talent to build venture-scale businesses.," Information Technology, Software",Michigan
59,Astellent,"Astellent is a consulting company that improves how software is designed, developed, and delivered to help organizations achieve more."," Data and Analytics, Hardware, Information Technology, Internet Services, Professional Services, Science and Engineering, Software",California
60,Astro Wallet,Ethereum smart contract wallet and dapp browser," Financial Services, Other, Payments, Software",California
61,Atantares Corp.,We are a development stage startup enabling the next generation of precision medicine by fusing biochip and AI technologies.," Artificial Intelligence, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",Massachusetts
62,Atelier,Atelier is a home design mobile app.," Apps, Design, Mobile, Real Estate, Software",Colorado
63,Atlerts,Atlerts is a state-of-the-art communication platform that manages incident reports and injury documentation for athletic departments.," Information Technology, Software, Sports",California
64,Atom Computing,Atom Computing builds truly scalable quantum computers out of individual atoms.," Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology",California
65,Atomata,Atomata provides IoT hardware and software solutions for growers of all scales.," Agriculture and Farming, Internet Services, Software",Colorado
66,Atticus,Atticus – simplifying probate & estate settlement for individuals and their institutional advisors.," Financial Services, Professional Services, Software",California
67,Attila,Attila is an AI platform offering solutions for retail financial institutions to automate sales of financial services.," Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",California
68,Attunely,"Attunely produces a machine learning model for debt collection, decreasing waste, and improving recovery yield."," Artificial Intelligence, Data and Analytics, Financial Services, Software",Washington
69,AudioKit Pro,The leading free & open-source iOS & Mac based audio/music developer tools. We proudly power millions of app installs.," Apps, Media and Entertainment, Music and Audio, Software",Colorado
70,Augmented Radar Imaging,Augmented Radar Imaging delivers radar and advanced machine learning algorithms to power autonomous vehicles and warehouse robots.," Artificial Intelligence, Data and Analytics, Hardware, Software",California
71,Augmented Review,Augmented Review helps to review and validate 3D designs in real-time augmented reality.," Design, Hardware, Other, Software",New York
72,Aura Salonware,Aura Salonware is a provider of salon management software to elevate the salon experience.," Consumer Goods, Software",Florida
73,Aurelius Data,"Aurelius Data provide patients, consumers, and healthcare providers with the best cannabinoid treatments."," Data and Analytics, Design, Health Care, Information Technology, Other",Montana
74,AutopartsZ,AutopartsZ - The Best Auto Parts Finder App," Apps, Commerce and Shopping, Internet Services, Software, Transportation",New York
75,Autymate,"Autymate develops software solutions like accounting, HR and healthcare automation apps that help to reduce time."," Data and Analytics, Design, Health Care, Information Technology, Software",Kentucky
76,Auxon,"Auxon is a software company that enables AI & systems engineers to build safe, resilient systems."," Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",Oregon
77,Auxxit,Auxxit is a next-generation digital marketplace platform that leverages the engaging experiences of real-time group chat and live streaming.," Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Mobile, Software",Colorado
78,Avail,Avail is a boutique firm that manages telecom and technology assets and delivers expense successes.," Financial Services, Hardware, Information Technology",Iowa
79,Avansa,"Avansa is a computer software company that specializes in blockchain, cryptocurrency, and software."," Financial Services, Other, Payments, Software",Illinois
80,Avlaki,Avlaki is an information technology firm that specializes in advisory and consulting solutions to technology businesses.," Information Technology, Professional Services",Massachusetts
81,AVO Insights,AVO Insights is an augmented reality based marketing company.," Advertising, Hardware, Sales and Marketing, Software",North Carolina
82,Awecom,Awecom is an AI-powered streaming optimizer.," Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video",California
83,Axel Technologies,Axel Technologies is a software developer investing in technology infrastructure.," Financial Services, Hardware, Science and Engineering, Software",Illinois
84,Axellero,"Axellero is a software development company that provides product design, web development, IOS, and machine learning services."," Artificial Intelligence, Data and Analytics, Design, Software",New York
85,Axia CPQ,Axia CPQ is a Salesforce Partner that helps in achieving the greatest possible return on Salesforce investment.," Information Technology, Professional Services, Software",Colorado
86,bAbsorbed,bAbsorbed is a technology that enables a business to create immersive experiences while interacting with physical objects in the world.," Apps, Commerce and Shopping, Hardware, Health Care, Mobile, Software, Travel and Tourism",District of Columbia
87,Badge,Badge is a US company that develops biometric and cryptocurrency based unique identification software to store ones cryptographic keys.," Biotechnology, Data and Analytics, Financial Services, Payments, Science and Engineering, Software",Ohio
88,Bankd App,Bankd App is makes tracking and managing digital assets effortless.,Information Technology,Virginia
89,Barkeep,Mobile solution to increasing efficiency and sales at bars / clubs / and other nightlife venues.," Apps, Events, Food and Beverage, Media and Entertainment, Mobile, Software",Texas
90,BarShift,BarShift is the first-ever point of promotions software.," Events, Media and Entertainment, Software",North Carolina
91,BarTrack,BarTrack offers digital platform for tracking inventory and optimizing the quality of draft products.," Food and Beverage, Information Technology, Software",Virginia
92,Base,Base is the first-ever software platform built specifically for executive assistants.,Software,South Carolina
93,BaseAi,BaseAi offers business process automation software for several industries.," Information Technology, Manufacturing, Science and Engineering, Software",California
94,BaseNUBE,BaseNUBE is an IT company specializes in the development of healthcare software products.," Health Care, Information Technology, Software",Massachusetts
95,Basil Security,Basil Security develops enterprise software products to enable security policy management.," Consumer Electronics, Hardware, Information Technology, Internet Services, Other, Privacy and Security, Professional Services, Software",Georgia
96,Bayou Midstream,Bayou Midstream is a full-service midstream company providing customized solutions for oil and gas producers.," Energy, Information Technology",Texas
97," BE Local, Inc. ",Travel Curation Platform," Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software, Travel and Tourism",California
98,Beagle Learning,Beagle Learning provides software that accelerates learning and strategic decision making using custom built AI.," Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software",Massachusetts
99,Beanstalk Network,Beanstalk Network is a research and development company for privacy preserving financial transactions.," Financial Services, Payments, Software",California
100,BeanStock,Passive Income Market," Financial Services, Information Technology, Mobile, Real Estate",California
101,Bearhug Recruiting,We help early & growth stage startups hire the right senior talent that can help them more easily cross the chasm from $1M to $20M+ in ARR.," Energy, Hardware, Information Technology, Internet Services, Professional Services, Science and Engineering, Software, Sustainability",California
102,Bedrock.ai,"Bedrock is a private, personal super computers company.",Information Technology,California
103,Bein Carib,"Bein Carib is a software solution company for carribean product, food, entertainment, travel and lifestyle."," Community and Lifestyle, Food and Beverage, Software",Illinois
104,Below the Fold,Below the Fold uses machine learning to provide automatic context on any news article.," Artificial Intelligence, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software",California
105,Bema Creative,"Bema Creative delivers branding, website creation, animation, logo design, trade shows and social media campaign services."," Design, Internet Services, Sales and Marketing, Software",Oregon
106,Bensen AI,Bensen builds software that helps restaurant brands sell stuff on voice platforms like Alexa and Google Assistant.," Consumer Electronics, Hardware, Software",Massachusetts
107,BentoML.ai,"The machine learning model serving platform, from the creators of open-source BentoML."," Artificial Intelligence, Data and Analytics, Software",California
108,Bids Events,Bids Events is a provider of a mobile event coordination application.," Apps, Events, Internet Services, Media and Entertainment, Mobile, Software",California
109,Billseye,Billseye is a real-time mobile billing solution application for professionals that bill client calls.," Apps, Hardware, Information Technology, Internet Services, Mobile, Payments, Professional Services, Software",Georgia
110,Billzero | play your bills®,something wicked this way comes," Apps, Community and Lifestyle, Financial Services, Mobile, Payments, Software",California
111,BinIt,BinIt develops an AI-based tech to revolutionize waste segregation.," Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Sustainability",New York
112,Biocanic,Biocanic is the first of its kind health program intelligence system designed to streamline health programs for integrative practitioners.," Health Care, Software",California
113,Bionica Labs,Bionica Labs is a digital health hardware development company & build wearable monitoring systems to solve problems for doctors.," Hardware, Health Care, Information Technology",Virginia
114,Bird Brain,Bird Brain is a developer of an enterprise platform intended to serve the pest control industry.," Artificial Intelligence, Biotechnology, Data and Analytics, Other, Science and Engineering, Software",North Carolina
115,Bitcoin Energy,"Bitcoin Energy is the ultimate health energy drink made for the hustlers, grinders, and entrepreneurs."," Energy, Financial Services, Health Care, Payments, Software, Sports",Arizona
116,BitcoinDB,BitcoinDB is a database designed to store all data in the bitcoin cash blockchain.," Financial Services, Other, Payments, Software",California
117,Bithoop,Developer of an enterprise software designed to aggregate and access information from across multiple sources.," Information Technology, Internet Services, Software",Massachusetts
118,Bits And Hash,Bits And Hash is a digital marketing agency.," Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software",Florida
119,Bits on Disk,"Bits on Disk is a data engineering consultancy dedicated to building robust, performant data systems.",Software,California
120,bizdevIQ,"bizdevIQ is a platform to connect students with paid artificial intelligence, machine learning, and data science projects."," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",New York
121,Blink Identity,Privacy preserving face recognition technology for personalized customer experiences and increased venue safety.," Administrative Services, Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",Texas
122,bLinkup,BLinkup is a geo-location app that enables users to connect with their networks to easily locate their proximity.," Data and Analytics, Internet Services, Navigation and Mapping, Software",Wisconsin
123,BlitzIQ,BlitzIQ develops an insight platform that allows the users to assist sales teams to run consistent sales processes.," Sales and Marketing, Software",California
124,Block Party Studios,Block Party Studios is a technology that manages spam and trolls on social media networks.," Apps, Internet Services, Media and Entertainment, Mobile, Software",Texas
125,Blockchain Art Collective,"The Blockchain Art Collective provides unparalleled provenance tracking to artists, collectors, dealers, and institutions."," Internet Services, Media and Entertainment, Other, Privacy and Security, Software",New York
126,Blockchain BGP Inc,Industrial Blockchain Network Infrastructure," Financial Services, Information Technology, Other, Payments",Delaware
127,Blockchain Buffalo,"Blockchain Buffalo conducts group discussions, meetings, conferences about blockchain technology services."," Internet Services, Messaging and Telecommunications, Other, Software",New York
128,Blockchan,"Blockchan is an online social media platform that enables its users to publish and monetize their content, and to connect with others."," Community and Lifestyle, Financial Services, Internet Services, Media and Entertainment, Other, Payments, Software",Michigan
129,BlockInterop,BlockInterop is an information technology solutions company specializing on analysis and implementation of healthcare resources.," Health Care, Information Technology, Other",Georgia
130,BlockMarkets,Bloomberg for crypto assets," Financial Services, Information Technology, Payments, Software",Connecticut
131,Blockpad,Blockpad is an online platform for documents and spreadsheets.," Administrative Services, Information Technology, Software",Louisiana
132,BlockTelegraph,Block Telegraph is the leading source of Blockchain and cryptocurrency news for finance and technology readers outside of the industry.," Content and Publishing, Financial Services, Media and Entertainment, Other, Payments, Software",New York
133,Blocktown Capital,"Blocktown Capital is an investment fund focused exclusively on blockchain ventures, digital currencies and application tokens."," Financial Services, Other, Payments, Software",Michigan
134,Blocktricity Capital,Blocktricity Capital is an investment firm that specializes in cryptocurrencies and digital assets.," Financial Services, Other, Payments, Software",Virginia
135,BlockVigil,BlockVigil helps to build and scale blockchain apps with just a few lines of code.," Financial Services, Other, Payments, Software",California
136,Blocky,"Blocky helps people trust data. Our technology, Zipperchain, scales to millions of txs/second with extremely low and predictable costs."," Information Technology, Internet Services, Other",Montana
137,Blocnets,Blocnets is a Privately funded software and technology company .," Software, Transportation",Georgia
138,Bloom AI,"Bloom is an artificial intelligence company that guides users towards happier, healthier, and more fulfilling lives."," Artificial Intelligence, Data and Analytics, Health Care, Mobile, Science and Engineering, Software",California
139,bluDOT,bluDOT is a customer loyalty program that uses advanced facial recognition technology.," Data and Analytics, Software",Colorado
140,Boardroom Alpha,"Boardroom Alpha develops analytics that set the standard for the assessment of public company directors, officers, and corporate governance."," Data and Analytics, Information Technology",Connecticut
141,Bola AI,Bola is a AI–Voice Assistant company that develops solutions to reduce documentation burdens on dental and medical providers.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Massachusetts
142,BoldCode,BoldCode is a Web and Software Development company," Information Technology, Software",Idaho
143,Boldvue,Boldvue provides e-learning services solutions.," Education, Software",Utah
144,Bolt Labs,Bolt Labs provides instant private payments for everyday purchases.," Financial Services, Information Technology, Payments",Maryland
145,Bolton Secure,"Bolton Secure provider of SOC and NOC staffing coverage, cybersecurity services, tools, and analysis."," Information Technology, Privacy and Security",Florida
146,Bonafi,Authenticating the Supply Chain Using Blockchain Technology," Financial Services, Information Technology, Mobile, Other, Payments, Platforms, Software",California
147,BONbLOC,BONbLOC is a blockchain software company that focuses on corporate and government solutions.," Government and Military, Other, Software",Colorado
148,Bookbadger,Childhood literacy platform with a reading log and rewards system," Education, Software",North Carolina
149,Bookelicious,Bookelicious promotes literacy by helping children find great books on topics they are passionate about.," Commerce and Shopping, Education, Software",California
150,BOR-Go,BOR-Go is a cloud-based HRIS and payroll management solution for small and mid-sized businesses.,Software,Nevada
151,Bot Image,Bot Image is a medical software company that utilizes artificial intelligence for imaging interpretation.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Nebraska
152,Botanisol Analytics,Botanisol Analytics improves measurements and analytics with engineering and science.," Agriculture and Farming, Data and Analytics, Science and Engineering, Software",Arizona
153,Botisimo,"Botisimo is a cross-platform chatbot and viewer engagement tool suite. Available on Twitch, Mixer, YouTube, & Discord"," Apps, Gaming, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software, Sports",Texas
154,Bounce,"Short term (hourly & daily) storage all around urban areas, hosted by local businesses."," Mobile, Real Estate, Transportation",California
155,BoundAPI,BOUND enables insurance companies brokerages and agencies to offer an insurance product.," Apps, Commerce and Shopping, Financial Services, Mobile, Software",California
156,Boxlet Storage,Boxlet Storage develops a peer-to-peer network software that offer customizable short term storage solutions.," Hardware, Other, Software",California
157,Braid,Helping the world's best consumer brands build deeper customer relationships at scale.," Hardware, Information Technology, Other, Professional Services, Sales and Marketing, Software",New York
158,BrandChat,"SaaS marketing platform which enables brands to setup, manage and measure Chat conversations with their best customers"," Commerce and Shopping, Data and Analytics, Design, Hardware, Information Technology, Internet Services, Sales and Marketing, Software",New York
159,Breaking Normal,Breaking Normal is a social networking and party game app that capitalizes on real human connection.," Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Software",Texas
160,Bridger,"A tech-enabled consulting platform connecting businesses with industry professionals to share knowledge, on-demand."," Commerce and Shopping, Data and Analytics, Design, Information Technology, Other, Professional Services, Software",New York
161,Bridgit.io,Bringing the transformative power of maps to the Internet. We make the entire web a collaborative learning experience.," Administrative Services, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Other",California
162,Brightback,Brightback offers entreprenurial advice to subscription-based businesses on customer lifetime value.," Information Technology, Media and Entertainment, Professional Services, Software",California
163,Brilliant Hire by SAP,Brilliant Hire is a recruiting solution for efficient and unbiased candidate screening.," Administrative Services, Internet Services, Professional Services, Software",California
164,BrokerAssist,"BrokerAssist is a mobile-first SaaS marketplace product, connecting Realtors® on fractional assistance and referral networking gigs!"," Commerce and Shopping, Real Estate, Software",Illinois
165,BT3-Capital Business Mangement Systems,Provides technical and financial services nationwide.," Financial Services, Information Technology",California
166,BudgetShred,"BudgetShred expertise in paper and document shredding, computer destruction and electronics recycling services."," Consumer Electronics, Hardware, Information Technology, Software, Sustainability",Maryland
167,buildee,Behind buildee is a work of the greatest minds in building sciences and partnerships with market drivers company.,Information Technology,Colorado
168,Buildr,Buildr provides solutions bridging the job site to the cloud for task automation and faster project closeout for data-driven contractors.," Internet Services, Real Estate, Software",California
169,Bundil,Easily Invest Your Spare Change Into Cryptocurrency," Apps, Financial Services, Information Technology, Lending and Investments, Mobile, Other, Payments, Software",Texas
170,Buttonwood Network,"Buttonwood is a software platform to help elite, late-stage startups efficiently raise growth capital.",Software,New York
171,Buyjour,Buyjour is a new type of marketing platform that dramatically increases the effectiveness of ABM strategies.," Advertising, Information Technology, Sales and Marketing, Software",California
172,buywith,"Buywith is an online shopping Livestream platform for brands, retailers, influencers & experts to host live shopping events."," Clothing and Apparel, Commerce and Shopping, Design, Hardware, Internet Services, Media and Entertainment, Sales and Marketing, Software",New York
173,BuzzDate,Get buzzing.," Apps, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Mobile, Navigation and Mapping, Platforms, Sales and Marketing, Software",California
174,Byteboard,Byteboard redesigns technical interviews to be more reflective of what engineers do on the job through a project-based approach.," Administrative Services, Information Technology, Other, Software",California
175,CalenDarer,"CalenDarer offers calendar synchronization for professional contact management, contact scaling and contact organization."," Information Technology, Sales and Marketing, Software",Pennsylvania
176,California Cannabis Market,California Cannabis Market is an information technology and services company.," Information Technology, Other",California
177,Camberline Technologies,Camberline Technologies is a sensor-driven platform that helps communities to read electricity usage and support energy conservation.," Energy, Information Technology, Software",Massachusetts
178,Cameyo,Cameyo is a cloud-native Windows Application Transformation Platform (ATP) that delivers Windows applications to any device from the browser," Hardware, Information Technology, Software",North Carolina
179,Camp Network,Take Your Chats Live," Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",California
180,Candl,"Mobile stock market application with pattern recognition technology, watchlist push notifications, and more"," Apps, Financial Services, Lending and Investments, Mobile, Platforms, Software",Washington
181,Candoo,Candoo is a workflow management software for drone businesses.," Consumer Electronics, Consumer Goods, Hardware, Software",Connecticut
182,CannabisZ3N,Financial Solutions for Cannabis & CBD Companies," Commerce and Shopping, Community and Lifestyle, Financial Services, Food and Beverage, Health Care, Mobile, Payments, Software",Nevada
183,CannCurrent,CannCurrent provides software-as-a-service solutions for the cannabis industry.," Community and Lifestyle, Food and Beverage, Health Care, Software",New York
184,Canopy Software,Canopy is a software company specializing in making data breach impact assessment.," Data and Analytics, Information Technology, Privacy and Security, Software",Virginia
185,Carbon Cash,Carbon Cash is a behavioral energy efficiency app that rewards students for conserving electricity and reducing their carbon footprint.," Apps, Software",Michigan
186,Carbonado Technologies Inc,Carbonado connects verified talent with new opportunities guided by skills and fit that use advanced tools and technologies leveraging AI.," Professional Services, Software",Massachusetts
187,CarbonMe,Secure blockchain clinical network," Health Care, Information Technology",California
188,Carbyn,"Carbyn OS, is a “Platform as a Service” tech environment assembled and installed in corporations, funds, and real estate workspace."," Information Technology, Real Estate, Software",New York
189,Carol,"Bringing on-demand, in-home nursing care to you."," Health Care, Information Technology",Michigan
190,Castamash,Castamash is a mobile app that allows to create collaborative videos with your friends around the world," Apps, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Navigation and Mapping, Software, Video",California
191,Catalyst Education,Catalyst Education is an E-learning platform that provides education for STEM courses and labs.," Education, Software",Texas
192,CattleCast,Cattle Management Mobile Application," Apps, Mobile, Platforms, Software",New Mexico
193,Cawlo,Cawlo is startup currently in stealth," Mobile, Software",California
194,CBlocks,"CBlocks creates products that make it easy to save, spend, and earn cryptocurrency."," Commerce and Shopping, Financial Services, Hardware, Payments, Software",Florida
195,CBM Marketing Solutions,"CBM Marketing Solutions provides advertising, SEO, and digital marketing services."," Advertising, Information Technology, Internet Services, Sales and Marketing",Arizona
196,Ceed House,Reservationless Hotel," Commerce and Shopping, Hardware, Internet Services, Real Estate, Software, Travel and Tourism",New York
197,Celestium Computing,"Data Science, Analytics, Enterprise Software, AI, Machine Learning, Data Platform, ML operationalization, ETL, and Data Warehousing"," Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",California
198,Celitech,Celitech enables any online business or app to offer cellular data eSIM using mobile connectivity and analytics.," Hardware, Internet Services, Mobile, Software, Travel and Tourism",California
199,Centanni Park,"We are a full-service strategic consultancy for mobile and web technology and architecture, with a focus on human-centered design."," Biotechnology, Design, Health Care, Professional Services, Science and Engineering, Software",Massachusetts
200,CERCA,CERCA is a mobile technology that enables users to find and connect with people who move forward.," Apps, Information Technology, Software",South Carolina
201,Chat Goose,Chat Goose helps companies be more responsive to their community by managing their chat channels.  First product:  Bot Manager," Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications, Software",California
202,Chatgroup.io,The easiest way to create a paid chat group.," Community and Lifestyle, Internet Services, Software",California
203,Chattr,Chattr is a retail chatbot platform reinventing the way candidates and employers create meaningful connections at scale.," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Internet Services, Professional Services, Science and Engineering, Software",Florida
204,Checkplis,Checkplis develops software for the restaurant industry.," Food and Beverage, Software",California
