,company_name,description,cleaned_description
32,anna,anna is the first AI-powered self-checkout solution designed to meet the specific needs of cannabis retailers.,anna first aipowered selfcheckout solution designed meet specific need cannabis retailer
33,AnnoTex,AnnoTex is a PDF annotator software that allows users to write math equations and chemical structures.,annotex pdf annotator software allows user write math equation chemical structure
34,ANOVA Intelligence,US intelligence agency-grade forensic analysis and critical intel.,u intelligence agencygrade forensic analysis critical intel
35,Ansatz AI,Ansatz AI develops machine learning tools for the design and optimization of chemical and material technologies.,ansatz ai develops machine learning tool design optimization chemical material technology
36,AnyLog,AnyLog is building a next generation decentralized IoT platform where data owners can capture the full value of their data on the blockchain,anylog building next generation decentralized iot platform data owner capture full value data blockchain
37,Aori,"A set of tools to help you conquer Google, Bing and Facebook Ads",set tool help conquer google bing facebook ad
38,Apaly Health,Apaly Health enables employers and providers to direct contract at scale.,apaly health enables employer provider direct contract scale
39,APEX,"APEX app enables users to select a driver of their choice, or their favorite Uber/Lyft drivers in advance (for rideshare & delivery).",apex app enables user select driver choice favorite uberlyft driver advance rideshare  delivery
40,apiphani,"apiphani offers strategic & operational consulting, database management, and managed services.",apiphani offer strategic  operational consulting database management managed service
41,Apoll01,"Apoll01 is an open platform for surfacing needs of education institutions, collaborating, and reaching consensus to establish standards.",apoll01 open platform surfacing need education institution collaborating reaching consensus establish standard
42,App Growth Experts,App Growth Experts helps mobile app publishers and developers discover how to increase their app’s performance & sustainability.,app growth expert help mobile app publisher developer discover increase app’s performance  sustainability
43,ApprentiScope,ApprentiScope is a computer software company.,apprentiscope computer software company
44,AppyHour,AppyHour is a smart marketing and business management platform.,appyhour smart marketing business management platform
45,Apres,Apres is an analytics platform built to scale and explain AI decision making.,apres analytics platform built scale explain ai decision making
46,Aquifer Motion,Aquifer Motion is a SaaS platform that enables creators and teams create studio-level animated video without studios.,aquifer motion saas platform enables creator team create studiolevel animated video without studio
47,Ara Sound Labs,Ara Sound Labs develops audio technologies for various applications.,ara sound lab develops audio technology various application
48,ArbiLex,ArbiLex leverages predictive analytics to empower lawyers and litigation funders to make data-driven decisions in cross-border disputes.,arbilex leverage predictive analytics empower lawyer litigation funders make datadriven decision crossborder dispute
49,Arch,Arch digitally manages private investment operations for investors and investment advisors.,arch digitally manages private investment operation investor investment advisor
50,Archeads,Archeads is a real estate property management firm dealing floorplans services.,archeads real estate property management firm dealing floorplans service
51,Ari Coach,Ari Coach mission is to make healthy eating simple & accessible for everyone.,ari coach mission make healthy eating simple  accessible everyone
52,ARI Recruiting,ARI Recruiting is an intelligent recruiting software that tracks athletes and provides feedback for enhanced decision making.,ari recruiting intelligent recruiting software track athlete provides feedback enhanced decision making
53,Arias Intel,"Arias Intel operates as a digital media platform for tech, media, and gaming.",aria intel operates digital medium platform tech medium gaming
54,Armarius Software,"Armarius Software provides robotic process automation, data loss prevention, enhanced IT capability, and website filtering services.",armarius software provides robotic process automation data loss prevention enhanced capability website filtering service
55,Arpio,Arpio protects and eliminates downtime for AWS applications by making it easy to recover from any outage in just a few minutes.,arpio protects eliminates downtime aws application making easy recover outage minute
56,Arroyo Networks,"Delivering peace of mind, by replacing traditional networking with software defined security solutions.",delivering peace mind replacing traditional networking software defined security solution
57,ASizer,ASizer is an app to measure your body.,asizer app measure body
58,Assembler Labs,Assembler Labs is a Detroit startup studio working with local talent to build venture-scale businesses.,assembler lab detroit startup studio working local talent build venturescale business
59,Astellent,"Astellent is a consulting company that improves how software is designed, developed, and delivered to help organizations achieve more.",astellent consulting company improves software designed developed delivered help organization achieve
60,Astro Wallet,Ethereum smart contract wallet and dapp browser,ethereum smart contract wallet dapp browser
61,Atantares Corp.,We are a development stage startup enabling the next generation of precision medicine by fusing biochip and AI technologies.,development stage startup enabling next generation precision medicine fusing biochip ai technology
62,Atelier,Atelier is a home design mobile app.,atelier home design mobile app
63,Atlerts,Atlerts is a state-of-the-art communication platform that manages incident reports and injury documentation for athletic departments.,atlerts stateoftheart communication platform manages incident report injury documentation athletic department
64,Atom Computing,Atom Computing builds truly scalable quantum computers out of individual atoms.,atom computing build truly scalable quantum computer individual atom
65,Atomata,Atomata provides IoT hardware and software solutions for growers of all scales.,atomata provides iot hardware software solution grower scale
66,Atticus,Atticus – simplifying probate & estate settlement for individuals and their institutional advisors.,atticus – simplifying probate  estate settlement individual institutional advisor
67,Attila,Attila is an AI platform offering solutions for retail financial institutions to automate sales of financial services.,attila ai platform offering solution retail financial institution automate sale financial service
68,Attunely,"Attunely produces a machine learning model for debt collection, decreasing waste, and improving recovery yield.",attunely produce machine learning model debt collection decreasing waste improving recovery yield
69,AudioKit Pro,The leading free & open-source iOS & Mac based audio/music developer tools. We proudly power millions of app installs.,leading free  opensource io  mac based audiomusic developer tool proudly power million app installs
70,Augmented Radar Imaging,Augmented Radar Imaging delivers radar and advanced machine learning algorithms to power autonomous vehicles and warehouse robots.,augmented radar imaging delivers radar advanced machine learning algorithm power autonomous vehicle warehouse robot
71,Augmented Review,Augmented Review helps to review and validate 3D designs in real-time augmented reality.,augmented review help review validate 3d design realtime augmented reality
72,Aura Salonware,Aura Salonware is a provider of salon management software to elevate the salon experience.,aura salonware provider salon management software elevate salon experience
73,Aurelius Data,"Aurelius Data provide patients, consumers, and healthcare providers with the best cannabinoid treatments.",aurelius data provide patient consumer healthcare provider best cannabinoid treatment
74,AutopartsZ,AutopartsZ - The Best Auto Parts Finder App,autopartsz  best auto part finder app
75,Autymate,"Autymate develops software solutions like accounting, HR and healthcare automation apps that help to reduce time.",autymate develops software solution like accounting hr healthcare automation apps help reduce time
76,Auxon,"Auxon is a software company that enables AI & systems engineers to build safe, resilient systems.",auxon software company enables ai  system engineer build safe resilient system
77,Auxxit,Auxxit is a next-generation digital marketplace platform that leverages the engaging experiences of real-time group chat and live streaming.,auxxit nextgeneration digital marketplace platform leverage engaging experience realtime group chat live streaming
78,Avail,Avail is a boutique firm that manages telecom and technology assets and delivers expense successes.,avail boutique firm manages telecom technology asset delivers expense success
79,Avansa,"Avansa is a computer software company that specializes in blockchain, cryptocurrency, and software.",avansa computer software company specializes blockchain cryptocurrency software
80,Avlaki,Avlaki is an information technology firm that specializes in advisory and consulting solutions to technology businesses.,avlaki information technology firm specializes advisory consulting solution technology business
81,AVO Insights,AVO Insights is an augmented reality based marketing company.,avo insight augmented reality based marketing company
82,Awecom,Awecom is an AI-powered streaming optimizer.,awecom aipowered streaming optimizer
83,Axel Technologies,Axel Technologies is a software developer investing in technology infrastructure.,axel technology software developer investing technology infrastructure
84,Axellero,"Axellero is a software development company that provides product design, web development, IOS, and machine learning services.",axellero software development company provides product design web development io machine learning service
85,Axia CPQ,Axia CPQ is a Salesforce Partner that helps in achieving the greatest possible return on Salesforce investment.,axia cpq salesforce partner help achieving greatest possible return salesforce investment
86,bAbsorbed,bAbsorbed is a technology that enables a business to create immersive experiences while interacting with physical objects in the world.,babsorbed technology enables business create immersive experience interacting physical object world
87,Badge,Badge is a US company that develops biometric and cryptocurrency based unique identification software to store ones cryptographic keys.,badge u company develops biometric cryptocurrency based unique identification software store one cryptographic key
88,Bankd App,Bankd App is makes tracking and managing digital assets effortless.,bankd app make tracking managing digital asset effortless
89,Barkeep,Mobile solution to increasing efficiency and sales at bars / clubs / and other nightlife venues.,mobile solution increasing efficiency sale bar  club  nightlife venue
90,BarShift,BarShift is the first-ever point of promotions software.,barshift firstever point promotion software
91,BarTrack,BarTrack offers digital platform for tracking inventory and optimizing the quality of draft products.,bartrack offer digital platform tracking inventory optimizing quality draft product
92,Base,Base is the first-ever software platform built specifically for executive assistants.,base firstever software platform built specifically executive assistant
93,BaseAi,BaseAi offers business process automation software for several industries.,baseai offer business process automation software several industry
94,BaseNUBE,BaseNUBE is an IT company specializes in the development of healthcare software products.,basenube company specializes development healthcare software product
95,Basil Security,Basil Security develops enterprise software products to enable security policy management.,basil security develops enterprise software product enable security policy management
96,Bayou Midstream,Bayou Midstream is a full-service midstream company providing customized solutions for oil and gas producers.,bayou midstream fullservice midstream company providing customized solution oil gas producer
97," BE Local, Inc. ",Travel Curation Platform,travel curation platform
98,Beagle Learning,Beagle Learning provides software that accelerates learning and strategic decision making using custom built AI.,beagle learning provides software accelerates learning strategic decision making using custom built ai
99,Beanstalk Network,Beanstalk Network is a research and development company for privacy preserving financial transactions.,beanstalk network research development company privacy preserving financial transaction
100,BeanStock,Passive Income Market,passive income market
101,Bearhug Recruiting,We help early & growth stage startups hire the right senior talent that can help them more easily cross the chasm from $1M to $20M+ in ARR.,help early  growth stage startup hire right senior talent help easily cross chasm 1m 20m arr
102,Bedrock.ai,"Bedrock is a private, personal super computers company.",bedrock private personal super computer company
103,Bein Carib,"Bein Carib is a software solution company for carribean product, food, entertainment, travel and lifestyle.",bein carib software solution company carribean product food entertainment travel lifestyle
104,Below the Fold,Below the Fold uses machine learning to provide automatic context on any news article.,fold us machine learning provide automatic context news article
105,Bema Creative,"Bema Creative delivers branding, website creation, animation, logo design, trade shows and social media campaign services.",bema creative delivers branding website creation animation logo design trade show social medium campaign service
106,Bensen AI,Bensen builds software that helps restaurant brands sell stuff on voice platforms like Alexa and Google Assistant.,bensen build software help restaurant brand sell stuff voice platform like alexa google assistant
107,BentoML.ai,"The machine learning model serving platform, from the creators of open-source BentoML.",machine learning model serving platform creator opensource bentoml
108,Bids Events,Bids Events is a provider of a mobile event coordination application.,bid event provider mobile event coordination application
109,Billseye,Billseye is a real-time mobile billing solution application for professionals that bill client calls.,billseye realtime mobile billing solution application professional bill client call
110,Billzero | play your bills®,something wicked this way comes,something wicked way come
111,BinIt,BinIt develops an AI-based tech to revolutionize waste segregation.,binit develops aibased tech revolutionize waste segregation
112,Biocanic,Biocanic is the first of its kind health program intelligence system designed to streamline health programs for integrative practitioners.,biocanic first kind health program intelligence system designed streamline health program integrative practitioner
113,Bionica Labs,Bionica Labs is a digital health hardware development company & build wearable monitoring systems to solve problems for doctors.,bionica lab digital health hardware development company  build wearable monitoring system solve problem doctor
114,Bird Brain,Bird Brain is a developer of an enterprise platform intended to serve the pest control industry.,bird brain developer enterprise platform intended serve pest control industry
115,Bitcoin Energy,"Bitcoin Energy is the ultimate health energy drink made for the hustlers, grinders, and entrepreneurs.",bitcoin energy ultimate health energy drink made hustler grinder entrepreneur
116,BitcoinDB,BitcoinDB is a database designed to store all data in the bitcoin cash blockchain.,bitcoindb database designed store data bitcoin cash blockchain
117,Bithoop,Developer of an enterprise software designed to aggregate and access information from across multiple sources.,developer enterprise software designed aggregate access information across multiple source
118,Bits And Hash,Bits And Hash is a digital marketing agency.,bit hash digital marketing agency
119,Bits on Disk,"Bits on Disk is a data engineering consultancy dedicated to building robust, performant data systems.",bit disk data engineering consultancy dedicated building robust performant data system
120,bizdevIQ,"bizdevIQ is a platform to connect students with paid artificial intelligence, machine learning, and data science projects.",bizdeviq platform connect student paid artificial intelligence machine learning data science project
121,Blink Identity,Privacy preserving face recognition technology for personalized customer experiences and increased venue safety.,privacy preserving face recognition technology personalized customer experience increased venue safety
122,bLinkup,BLinkup is a geo-location app that enables users to connect with their networks to easily locate their proximity.,blinkup geolocation app enables user connect network easily locate proximity
123,BlitzIQ,BlitzIQ develops an insight platform that allows the users to assist sales teams to run consistent sales processes.,blitziq develops insight platform allows user assist sale team run consistent sale process
124,Block Party Studios,Block Party Studios is a technology that manages spam and trolls on social media networks.,block party studio technology manages spam troll social medium network
125,Blockchain Art Collective,"The Blockchain Art Collective provides unparalleled provenance tracking to artists, collectors, dealers, and institutions.",blockchain art collective provides unparalleled provenance tracking artist collector dealer institution
126,Blockchain BGP Inc,Industrial Blockchain Network Infrastructure,industrial blockchain network infrastructure
127,Blockchain Buffalo,"Blockchain Buffalo conducts group discussions, meetings, conferences about blockchain technology services.",blockchain buffalo conduct group discussion meeting conference blockchain technology service
128,Blockchan,"Blockchan is an online social media platform that enables its users to publish and monetize their content, and to connect with others.",blockchan online social medium platform enables user publish monetize content connect others
129,BlockInterop,BlockInterop is an information technology solutions company specializing on analysis and implementation of healthcare resources.,blockinterop information technology solution company specializing analysis implementation healthcare resource
130,BlockMarkets,Bloomberg for crypto assets,bloomberg crypto asset
131,Blockpad,Blockpad is an online platform for documents and spreadsheets.,blockpad online platform document spreadsheet
132,BlockTelegraph,Block Telegraph is the leading source of Blockchain and cryptocurrency news for finance and technology readers outside of the industry.,block telegraph leading source blockchain cryptocurrency news finance technology reader outside industry
133,Blocktown Capital,"Blocktown Capital is an investment fund focused exclusively on blockchain ventures, digital currencies and application tokens.",blocktown capital investment fund focused exclusively blockchain venture digital currency application token
134,Blocktricity Capital,Blocktricity Capital is an investment firm that specializes in cryptocurrencies and digital assets.,blocktricity capital investment firm specializes cryptocurrencies digital asset
135,BlockVigil,BlockVigil helps to build and scale blockchain apps with just a few lines of code.,blockvigil help build scale blockchain apps line code
136,Blocky,"Blocky helps people trust data. Our technology, Zipperchain, scales to millions of txs/second with extremely low and predictable costs.",blocky help people trust data technology zipperchain scale million txssecond extremely low predictable cost
137,Blocnets,Blocnets is a Privately funded software and technology company .,blocnets privately funded software technology company 
138,Bloom AI,"Bloom is an artificial intelligence company that guides users towards happier, healthier, and more fulfilling lives.",bloom artificial intelligence company guide user towards happier healthier fulfilling life
139,bluDOT,bluDOT is a customer loyalty program that uses advanced facial recognition technology.,bludot customer loyalty program us advanced facial recognition technology
140,Boardroom Alpha,"Boardroom Alpha develops analytics that set the standard for the assessment of public company directors, officers, and corporate governance.",boardroom alpha develops analytics set standard assessment public company director officer corporate governance
141,Bola AI,Bola is a AI–Voice Assistant company that develops solutions to reduce documentation burdens on dental and medical providers.,bola ai–voice assistant company develops solution reduce documentation burden dental medical provider
142,BoldCode,BoldCode is a Web and Software Development company,boldcode web software development company
143,Boldvue,Boldvue provides e-learning services solutions.,boldvue provides elearning service solution
144,Bolt Labs,Bolt Labs provides instant private payments for everyday purchases.,bolt lab provides instant private payment everyday purchase
145,Bolton Secure,"Bolton Secure provider of SOC and NOC staffing coverage, cybersecurity services, tools, and analysis.",bolton secure provider soc noc staffing coverage cybersecurity service tool analysis
146,Bonafi,Authenticating the Supply Chain Using Blockchain Technology,authenticating supply chain using blockchain technology
147,BONbLOC,BONbLOC is a blockchain software company that focuses on corporate and government solutions.,bonbloc blockchain software company focus corporate government solution
148,Bookbadger,Childhood literacy platform with a reading log and rewards system,childhood literacy platform reading log reward system
149,Bookelicious,Bookelicious promotes literacy by helping children find great books on topics they are passionate about.,bookelicious promotes literacy helping child find great book topic passionate
150,BOR-Go,BOR-Go is a cloud-based HRIS and payroll management solution for small and mid-sized businesses.,borgo cloudbased hris payroll management solution small midsized business
151,Bot Image,Bot Image is a medical software company that utilizes artificial intelligence for imaging interpretation.,bot image medical software company utilizes artificial intelligence imaging interpretation
152,Botanisol Analytics,Botanisol Analytics improves measurements and analytics with engineering and science.,botanisol analytics improves measurement analytics engineering science
153,Botisimo,"Botisimo is a cross-platform chatbot and viewer engagement tool suite. Available on Twitch, Mixer, YouTube, & Discord",botisimo crossplatform chatbot viewer engagement tool suite available twitch mixer youtube  discord
154,Bounce,"Short term (hourly & daily) storage all around urban areas, hosted by local businesses.",short term hourly  daily storage around urban area hosted local business
155,Bounce,"Giving people the experiences they want, when they want them-- starting with dating.",giving people experience want want starting dating
156,BoundAPI,BOUND enables insurance companies brokerages and agencies to offer an insurance product.,bound enables insurance company brokerage agency offer insurance product
157,Boxlet Storage,Boxlet Storage develops a peer-to-peer network software that offer customizable short term storage solutions.,boxlet storage develops peertopeer network software offer customizable short term storage solution
158,Braid,Helping the world's best consumer brands build deeper customer relationships at scale.,helping world best consumer brand build deeper customer relationship scale
159,BrandChat,"SaaS marketing platform which enables brands to setup, manage and measure Chat conversations with their best customers",saas marketing platform enables brand setup manage measure chat conversation best customer
160,Breaking Normal,Breaking Normal is a social networking and party game app that capitalizes on real human connection.,breaking normal social networking party game app capitalizes real human connection
161,Bridger,"A tech-enabled consulting platform connecting businesses with industry professionals to share knowledge, on-demand.",techenabled consulting platform connecting business industry professional share knowledge ondemand
162,Bridgit.io,Bringing the transformative power of maps to the Internet. We make the entire web a collaborative learning experience.,bringing transformative power map internet make entire web collaborative learning experience
163,Brightback,Brightback offers entreprenurial advice to subscription-based businesses on customer lifetime value.,brightback offer entreprenurial advice subscriptionbased business customer lifetime value
164,Brilliant Hire by SAP,Brilliant Hire is a recruiting solution for efficient and unbiased candidate screening.,brilliant hire recruiting solution efficient unbiased candidate screening
165,BrokerAssist,"BrokerAssist is a mobile-first SaaS marketplace product, connecting Realtors® on fractional assistance and referral networking gigs!",brokerassist mobilefirst saas marketplace product connecting realtors® fractional assistance referral networking gig
166,BT3-Capital Business Mangement Systems,Provides technical and financial services nationwide.,provides technical financial service nationwide
167,BudgetShred,"BudgetShred expertise in paper and document shredding, computer destruction and electronics recycling services.",budgetshred expertise paper document shredding computer destruction electronics recycling service
168,buildee,Behind buildee is a work of the greatest minds in building sciences and partnerships with market drivers company.,behind buildee work greatest mind building science partnership market driver company
169,Buildr,Buildr provides solutions bridging the job site to the cloud for task automation and faster project closeout for data-driven contractors.,buildr provides solution bridging job site cloud task automation faster project closeout datadriven contractor
170,Bundil,Easily Invest Your Spare Change Into Cryptocurrency,easily invest spare change cryptocurrency
171,Buttonwood Network,"Buttonwood is a software platform to help elite, late-stage startups efficiently raise growth capital.",buttonwood software platform help elite latestage startup efficiently raise growth capital
172,Buyjour,Buyjour is a new type of marketing platform that dramatically increases the effectiveness of ABM strategies.,buyjour new type marketing platform dramatically increase effectiveness abm strategy
173,buywith,"Buywith is an online shopping Livestream platform for brands, retailers, influencers & experts to host live shopping events.",buywith online shopping livestream platform brand retailer influencers  expert host live shopping event
174,BuzzDate,Get buzzing.,get buzzing
175,Byteboard,Byteboard redesigns technical interviews to be more reflective of what engineers do on the job through a project-based approach.,byteboard redesigns technical interview reflective engineer job projectbased approach
176,CalenDarer,"CalenDarer offers calendar synchronization for professional contact management, contact scaling and contact organization.",calendarer offer calendar synchronization professional contact management contact scaling contact organization
177,California Cannabis Market,California Cannabis Market is an information technology and services company.,california cannabis market information technology service company
178,Camberline Technologies,Camberline Technologies is a sensor-driven platform that helps communities to read electricity usage and support energy conservation.,camberline technology sensordriven platform help community read electricity usage support energy conservation
179,Cameyo,Cameyo is a cloud-native Windows Application Transformation Platform (ATP) that delivers Windows applications to any device from the browser,cameyo cloudnative window application transformation platform atp delivers window application device browser
180,Camp Network,Take Your Chats Live,take chat live
181,Candl,"Mobile stock market application with pattern recognition technology, watchlist push notifications, and more",mobile stock market application pattern recognition technology watchlist push notification
182,Candoo,Candoo is a workflow management software for drone businesses.,candoo workflow management software drone business
183,CannabisZ3N,Financial Solutions for Cannabis & CBD Companies,financial solution cannabis  cbd company
184,CannCurrent,CannCurrent provides software-as-a-service solutions for the cannabis industry.,canncurrent provides softwareasaservice solution cannabis industry
185,Canopy Software,Canopy is a software company specializing in making data breach impact assessment.,canopy software company specializing making data breach impact assessment
186,Carbon Cash,Carbon Cash is a behavioral energy efficiency app that rewards students for conserving electricity and reducing their carbon footprint.,carbon cash behavioral energy efficiency app reward student conserving electricity reducing carbon footprint
187,Carbonado Technologies Inc,Carbonado connects verified talent with new opportunities guided by skills and fit that use advanced tools and technologies leveraging AI.,carbonado connects verified talent new opportunity guided skill fit use advanced tool technology leveraging ai
188,CarbonMe,Secure blockchain clinical network,secure blockchain clinical network
189,Carbyn,"Carbyn OS, is a “Platform as a Service” tech environment assembled and installed in corporations, funds, and real estate workspace.",carbyn o “platform service” tech environment assembled installed corporation fund real estate workspace
190,Carol,"Bringing on-demand, in-home nursing care to you.",bringing ondemand inhome nursing care
191,Castamash,Castamash is a mobile app that allows to create collaborative videos with your friends around the world,castamash mobile app allows create collaborative video friend around world
192,Catalyst Education,Catalyst Education is an E-learning platform that provides education for STEM courses and labs.,catalyst education elearning platform provides education stem course lab
193,CattleCast,Cattle Management Mobile Application,cattle management mobile application
194,Cawlo,Cawlo is startup currently in stealth,cawlo startup currently stealth
195,CBlocks,"CBlocks creates products that make it easy to save, spend, and earn cryptocurrency.",cblocks creates product make easy save spend earn cryptocurrency
196,CBM Marketing Solutions,"CBM Marketing Solutions provides advertising, SEO, and digital marketing services.",cbm marketing solution provides advertising seo digital marketing service
197,Ceed House,Reservationless Hotel,reservationless hotel
198,Celestium Computing,"Data Science, Analytics, Enterprise Software, AI, Machine Learning, Data Platform, ML operationalization, ETL, and Data Warehousing",data science analytics enterprise software ai machine learning data platform ml operationalization etl data warehousing
199,Celitech,Celitech enables any online business or app to offer cellular data eSIM using mobile connectivity and analytics.,celitech enables online business app offer cellular data esim using mobile connectivity analytics
200,Centanni Park,"We are a full-service strategic consultancy for mobile and web technology and architecture, with a focus on human-centered design.",fullservice strategic consultancy mobile web technology architecture focus humancentered design
201,CERCA,CERCA is a mobile technology that enables users to find and connect with people who move forward.,cerca mobile technology enables user find connect people move forward
202,Chat Goose,Chat Goose helps companies be more responsive to their community by managing their chat channels.  First product:  Bot Manager,chat goose help company responsive community managing chat channel  first product  bot manager
203,Chatgroup.io,The easiest way to create a paid chat group.,easiest way create paid chat group
204,Chattr,Chattr is a retail chatbot platform reinventing the way candidates and employers create meaningful connections at scale.,chattr retail chatbot platform reinventing way candidate employer create meaningful connection scale
205,Checkplis,Checkplis develops software for the restaurant industry.,checkplis develops software restaurant industry
206," Cheeze, Inc ",Mint your photos on the blockchain.,mint photo blockchain
207,Cherry,Cherry is an office perks solution for the modern startup.,cherry office perk solution modern startup
208,ChoreRelief,It's an all-in-one platform,allinone platform
209,Cide Kic,Cide Kic provides a solution for serious pain points within the hospitality industry.,cide kic provides solution serious pain point within hospitality industry
210,Clean Water AI,"Clean Water AI is an AI that detects dangerous bacterias such as ecoli and cholera, as well as harmful particles.",clean water ai ai detects dangerous bacteria ecoli cholera well harmful particle
211,ClearAT,ClearAT is a technology startup that provides an automated sales process that allows us to save time.,clearat technology startup provides automated sale process allows u save time
212,ClearCam,ClearCam provides clinicians with innovative tools and technologies that improve their vision and skill in the operating room.,clearcam provides clinician innovative tool technology improve vision skill operating room
213,ClearLaw,"ClearLaw provides seamless design, artificial intelligence, and innovative natural language processing tools.",clearlaw provides seamless design artificial intelligence innovative natural language processing tool
214,Clerkie,Clerkie is an AI Financial Planner for the 123M underserved Americans looking for answers.,clerkie ai financial planner 123m underserved american looking answer
215,Clerksy HR,Clerksy is a new outlook on human capital services for the modern company. #inclusivehr,clerksy new outlook human capital service modern company inclusivehr
216,Clickher,"Mobile App, Digital Media, Fashion, Beauty, Style",mobile app digital medium fashion beauty style
217,Clinicity,"Digital Health, Clinic Workflow Solutions",digital health clinic workflow solution
218,Cloud Cien,Cloud Cien is an IT firm that is delivering cloud technology & customized IT services.,cloud cien firm delivering cloud technology  customized service
219,Code Pilot,Production-grade development environments with coding analytics,productiongrade development environment coding analytics
220,CodeRecipe,CodeRecipe is a marketplace for developers to grab ready to use cloud solutions.,coderecipe marketplace developer grab ready use cloud solution
221,Coegil,"Coegil helps anyone load, visualize, and predict with their data in seconds. Made for those on the path from Spreadsheets to Big Data.",coegil help anyone load visualize predict data second made path spreadsheet big data
222,Cognaisent,"Cognaisent specializes in the fields of machine learning, deep learning, artificial intelligence, drug discovery, and molecular analysis.",cognaisent specializes field machine learning deep learning artificial intelligence drug discovery molecular analysis
223,Cognida,Cognida Network and its open source platform enable enterprises to more securely manage connected devices.,cognida network open source platform enable enterprise securely manage connected device
224,Command E,Command E develops unified desktop search tool that helps uses quickly scour for files and data sources across nearly every app they use.,command e develops unified desktop search tool help us quickly scour file data source across nearly every app use
225,Common Interest,"Blockchain, Decentralized Organization, Crypto, Cryptocurrencies",blockchain decentralized organization crypto cryptocurrencies
