,Company_Name,Based_in,Company_type,Business_type,Description,Launch,Closure,Duration_(months),Reason,Failure_categories,Number_of_investors,Accelerator_program,Acquisition_status,Acquisition_date,Employee_count,Founders,Total_funding,Number_of_funding_rounds,Funding_round(s)_amount(s),Last_funding ,Last_funding_date,Last_funding_type,Funding_Status
10,Next_step_living,"Boston,_Massachusetts,_United_States","Energy,_Energy_Efficiency,_Home_Renovation,_Renewable_Energy",B2B,Provides_home_energy_evaluations_and_solutions_for_individuals_and_organizations,1_March_2008,19_March_2016,8_years,Low-margin_business_with_a_high_rate_of_cash_burn,​,7,-,-,-,101-250,Geoff_Chapin,"$88,600,000",14,"Venture_-_Series_Unknown_-_$900,000,_Venture_-_Series_Unknown_-_$1,500,000,_Venture_-_Series_Unknown_-_$3,200,000,_Debt_Financing_-_$12,500,491,_Debt_Financing_-_$3,249,000,_Series_C_-_$18,200,000,_Debt_Financing_-_$6,239,268,_Venture_-_Series_Unknown_-_$4,205,422,_Venture_-_Series_Unknown_-_$830,000,_Series_B_-_$2,600,000,_Series_D_-_$25,000,000,_Debt_Financing_-_$2,750,000,_Debt_Financing_-_$2,500,000,_Debt_Financing_-_$4,881,973","$88,600,000",16_February_2016,Venture_-_Series_Unknown,-
11,OpTier,"New_York,_United_States","Analytics,_Application_Performance_Management,_Enterprise_Software",B2B,Business_transaction_management_software,1_January_2002,1_May_2014,"12_years,_3_months",Complex_and_buggy_product,​,8,-,"Acquired_by_SAP_for_$10,000,000",10_August_2014,51-100,"Amir_Alon,_Motti_Tal","$118,100,000",9,"Series_D_-_$7,000,000,_Series_D_-_$47,500,000,_Venture_-_Series_Unknown_-_$15,000,000,_Series_C_-_$9,500,000,_Series_B_-_$7,500,000,_Debt_Financing_-_$15,000,000,_Series_A_-_$8,600,000,_Venture_-_Series_Unknown,_Series_E_-_$8,000,000","$118,100,000",13_August_2013,Series_E,M&A
12,Path,"San_Francisco,_California,_United_States","Mobile,_Photo_Sharing,_Messaging",B2C,Social_network,1_November_2010,16_September_2018,"7_years,_10_months","Competing_with_the_Facebooks,_Twitters_and_Instagrams_of_the_world_is_no_easy_task,_however._In_2015,_Path_was_sold_to_South_Korean_Internet_company_Kakao_for_an_undisclosed_sum._Kakao_wasn’t_able_to_do_much_with_the_acquisition_and,_well,_here_we_are.",​,40,-,Acquired_by_Kakao_for_undisclosed_amount,29_May_2015,51-100,"Dave_Morin,_Dustin_Mierau,_Shawn_Fanning","$66,150,000",5,-,"$66,150,000",10_January_2014,Series_C,M&A
13,Poliana,"Nashville,_Tennessee,_United_States","Analytics,_Politics,_Government",B2B,Visualize_political_influence,1_January_2013,1_January_2015,2_years,Don't_do_politics_unless_you're_ok_to_be_non-profit,​,-,-,-,-,1-10,"Grayson_Carroll,_Patrick_Cason,_Seth_Whiting,_Shawn_Whiting","$15,000",1,-,"$15,000",7_August_2013,Seed,Seed
14,Shyp,"San_Francisco,_California,_United_States","Shipping,_Delivery,_Logistics,_Shipping_and_fulfilment",B2C,Provides_shipping_services_that_ranges_from_picking-up_the_package_to_delivering_it_to_the_destination.,1_July_2013,27_March_2018,"4_years,_8_months",Wrong_target_audience._B2B_market_would've_been_more_scalable_and_higher_demand,​,34,-,-,-,11-50,"Jack_Smith,_Joshua_Scott,_Kevin_Gibbon","$62,100,000",3,​,"$62,100,000",21_April_2015,Series_B,Early_Stage_Venture
15,Skully,"San_Francisco,_California,_United_States","Consumer_Electronics,_Information_Technology,_Automotive,_Wearables,_Augmented_Reality,_Public_Safety",B2C,"Skully_was_a_brand_of_motorcycle_helmet_with_a_heads-up_display_and_a_rear-facing_camera._The_helmet's_software_was_based_on_the_Android_platform,_and_can_be_controlled_with_voice_commands._Users_can_see_rearward_through_the_heads-up_display_and_the_rear_camera.The_helmet_also_includes_Bluetooth_functionality,_allowing_music_streaming_from_smartphones.",27_February_2013,1_July_2016,"3_years,_4_months","According_to_multiple_sources,_Skully_closed_its_doors_in_July/August_2016._Its_founders_were_accused_of_spending_company_money_on_luxury_cars,_vacations_and_strippers._Failing_to_get_acquired_from_LeSports,_Skully_ran_out_of_funds_and_ultimately_shut_down.",Scandalous,13,Techstars_2016_cohort_,-,-,11-50,"Ivan_Contreras,_Marcus_Weller,_Mitch_Weller,_Rafael_Contreras","$14,950,000",4,"Seed_-_$1,500,000,_Series_A_-_$11,000,000,_Rewards_Based_Crowdfunding_-_$2,450,000","$14,950,000",27_February_2015,Series_A,Early_Stage_Venture
16,Thrively,"San_Francisco,_California,_United_States","SaaS,_Enterprise_Software",B2B,Radically_simple_360_feedback_for_your_team,1_January_2011,1_May_2013,"2_years,_4_months","Lack_of_funding,_no_tech_cofounder,_challenging_market",Competition,-,-,-,-,1-10,Nick_Fassler,-,-,-,-,-,-,-
17,Tutorspree,"New_York,_United_States","E-Commerce,_EdTech,_Education",B2B,Web-based_tuition_services,1_September_2010,1_January_2013,"2_years,_4_months","""Tutorspree_was_a_startup_in_a_very_seasoned_and_competitive_sector._There_is_no_clear-cut_reason_for_the_venture_failure_but_analyzing_some_of_the_available_information_might_help_us_shed_light_on_possible_culprits._First,_it_probably_had_to_do_with_the_founders_of_the_company_and_their_lack_of_expertise_in_the_field._Also,_Tutorspree's_vision_of_pairing_up_tutors_and_students_to_meet_up_in_person_so_as_to_create_and_maintain_a_real_connection_is_commendable_but_not_practical._Although_indeed,_in-person_lessons_are_still_very_much_valuable,_the_market_-and_the_world-_is_heading_on_to_a_different_direction._It_is_also_possible_that_the_platform,_which_was_initially_taking_50%_of_the_tutorâs_fees,_might_have_witnessed_a_decline_in_overall_user_growth_because_nothing_could_prevent_tutors_and_students_to_schedule_lessons_without_recurring_to_Tutorspree.com_after_they_got_to_know_each_other.Another_problem_for_Tutorspree's_seemed_to_be_that_the_company_was_primarily_dependent_on_search_traffic_from_Google_to_acquire_new_students_and_tutors,_and_any_algorithm_changes_could_significantly_reduce_their_traffic_and_in_return_their_users.__As_resources_started_to_dwindle_and_funding_failed_to_come_in,_Tutorspree_decided_to_shut_down._Its_assets_(including_its_user's_database)_were_bought_by_Wyzant,_a_tutoring_marketplace_launched_in_2005_which_is_still_active.""",​,10,Y_Combinator,Acquired_by_Wyzant_for_undisclosed_amount,24_January_2014,51-100,"Aaron_Harris,_Josh_Abrams,_Ryan_Bednar","$1,800,000",2,"Venture_-_Series_Unknown_-_$800,000,_Seed_-_$1,000,000","$1,800,000",18_February_2013,Venture_-_Series_Unknown,M&A
18,Zulily,"Seattle,_Washington,_United_States","Delivery,_E-Commerce,_Retail",B2C,Online_retailer_that_offers_consumers_with_daily_product_deals,1_January_2009,1_January_2014,5_years,"The_main_culprit_for_the_downfall_of_the_popularity_of_Zulily_is_poor_marketing_and_user-attention_strategies._Most_notably,_in_order_to_access_the_search_engine_and_databases_of_Zulily's_shopping_items,_the_platform_required_from_new_visitors_to_give_their_email_address_prior_to_even_seeing_what_the_online_store_had_to_offer._This_marketing_trick_met_with_a_lot_of_criticism_since_it_violated_some_basic_marketing_principles._Zulily_initially_achieved_a_record_success_with_the_number_of_new_subscribers_who_registered_on_the_site,_but_Zulily_team_soon_noticed_that_sales_began_rapidly_to_decline._People_gave_their_mail_only_to_peek_at_the_site_and_registered_users_couldn't_necessarily_be_considered_loyal_or_even_willing_customers._Zulily_inadequate_marketing_strategy_and_front-page_email_request_discouraged_thousands_of_potential_new_customers_to_sign_up,_while_their_existing_users_often_bought_only_once_or_anyway_not_enough_to_sustain_the_financial_stability_of_the_company._Users_also_stated_that_they_felt_overwhelmed_by_the_number_of_merchandise_and_flash_sales_invitation_the_e-shop_offered_so_the_company_complied_by_diminishing_them,_and_a_decrease_in_revenue_also_followed._Moreover,_although_Zulily_sometimes_offered_brand_names_for_ridiculously_small_prices,_there_would_often_be_longer_than_expected_delivery_times_to_customers_which_also_earned_them_poor_reviews.",User_Retention_Difficulties,8,-,Acquired_by_QVC_for_$2.4B,17_August_2015,1001-5000,"Darrell_Cavens,_Mark_Vadon","$194,600,000",5,"Series_A_-_$4,600,000,_Series_B_-_$6,000,000,_Series_C_-_$43,000,000,_Series_D_-_$85,000,000,_Post-IPO_Equity_-_$56,000,000","$194,600,000",10_May_2015,Post-IPO_Equity,M&A
19,Yik_Yak,"Atlanta,_United_States","Apps,_Social_Media,_Social_Network",B2C,Yik_Yak_is_a_location-based_social_network_that_helps_you_connect_with_the_people_around_you.,10_October_2013,1_May_2017,"3_years,_6_months",Struggled_to_keep_users_on_its_platform,No_Sustainable_Business_Model,11,-,-,-,11-50,"Brooks_Buffington,_Tyler_Droll,_Will_Jamieson","$73,500,000",3,"Series_B_-_$62,000,000,_Series_A_-_$10,000,000,_Seed_-_$1,500,000","$73,500,000",24_November_2014,Series_B,Early_Stage_Venture
20,eCrowds,"Atlanta,_United_States",Digital_Media,B2C,Web_content_management_meets_social_networking,1_January_2008,1_June_2010,"2_years,_5_months",Too_much_time_building_it_for_ourselves_&_not_getting_feedback,​,-,-,-,-,1_-_10_,David_Cummins,-,-,​,-,-,-,-
