rank,name,sr-score,description,recent_funding_date,round,amount
117,15Five,"83,399","15Five is a performance management platform that combines employee feedback, objectives (OKRs), pulse surveys, and peer recognition. - 15Five - We are driven by a cause to get people ta ...","Oct 02, 2014",Seed,"$ 2,200,000"
122,Breezy HR,"83,288",Modern your recruiting process - Recruiting software for small teams doing big thin ...,"May 20, 2016",Series B,"$ 1,666,567"
125,beBee,"83,089",Successful Personal Branding - The all-in-one platform for building a successful ...,"Nov 24, 2015",Venture,"$ 6,000,000"
126,Readymag,"83,071","Create & discover digital magazines. - Readymag is the most elegant, simple & powerful pu ...","Apr 01, 2015",Seed,"$ 500,000"
129,TravelTriangle,"83,068",TravelTriangle enables travel enthusiasts to reserve a personalized holiday plan with a local travel agent. - TravelTriangle.com is a marketplace for the travel ...,"Feb 07, 2017",Series B,"$ 10,000,000"
130,SocialPilot,"83,058","SocialPilot manages social media, schedule social media posts, improve engagement, and analyze results. - SocialPilot - Easily Schedule Posts Across Multipl ...",,,
135,Flywheel,"82,955",Elegant WordPress hosting & management built for designers. - Flywheel is a premium WordPress hosting and manage ...,"Apr 05, 2016",Series A,"$ 4,000,000"
136,Bizzabo,"82,944",Unleash The Power Of Events - Bizzabo is the only Event Success Platform. Bizzab ...,"Apr 04, 2017",Series A,"$ 6,500,000"
141,Cratejoy,"82,759",Cratejoy is a subscription eCommerce store builder. - Cratejoy is a website builder and eCommerce backen ...,"Oct 14, 2014",Series A,"$ 4,000,000"
144,OnDemandKorea,"82,723","Korean TV, Movies, Video Streaming - ODK Media Inc. operates online TV platforms ""OnDem ...","Apr 01, 2014",Series B,"$ 2,062,743"
146,x.ai,"82,701","A personal assistant who schedules meetings for you - x.ai is a free, personal, artificial intelligent a ...","Aug 14, 2017",Series B,"$ 10,000,000"
149,Slidebean,"82,646",Slidebean is an online platform that designs and creates presentations on demand with user provided content. - Slidebean is a cloud based presentation tool that ...,"Oct 31, 2016",Seed,"$ 850,000"
154,Dealspotr,"82,476","The web's most advanced deal-sharing platform - Since late 2015, Dealspotr has saved shoppers over ...",,,
156,DocSend,"82,414",Analytics for documents you send - DocSend makes business communication with document ...,"Apr 11, 2016",Series A,"$ 8,000,000"
157,Databox,"82,413",Stay on top of your business with the speed of mobile - Databox helps executives stay connected to the key ...,"Sep 03, 2015",Seed,"$ 3,300,000"
161,StudioBinder,"82,327",Production Management Made Modern - SEND PERSONALIZED CALL SHEETS • SHARE DOCUMENTS • ...,,,
164,Algorithmia,"82,303","Algorithmia is an open marketplace for algorithms, enabling developers to create tomorrows smart applications today. - Algorithmia - Marketplace for Algorithms as a serv ...","Jun 23, 2017",Series A,"$ 10,500,000"
168,Shippo,"82,217",API for cheaper (international) shipping - Shippo - We've built an API that makes (internatio ...,"Oct 31, 2017",Series B,"$ 20,000,000"
172,SpotHero,"82,203",Airbnb of Parking - SpotHero - Rent out your parking spot when you're ...,"Jul 18, 2017",Series C,"$ 30,000,000"
173,Chargebee,"82,187",Subscription Billing for Startups - ChargeBee is a subscription management and recurri ...,"Mar 03, 2015",Series B,"$ 5,000,000"
174,Clearbit,"82,185",Business Intelligence APIs - We're committed to bringing our customers the kind ...,"Mar 03, 2015",Seed,"$ 2,000,000"
176,MeUndies,"82,158",A premium underwear brand for men and women - delivered monthly or whenever or want. - MeUndies manufactures and distributes premium unde ...,"Nov 01, 2015",Series B,"$ 2,000,000"
177,Motion Array,"82,146","Motion Array is a membership website focused on providing quality content for video producers, marketers, and more. - Motion Array helps you make amazing videos. Creati ...",,,
178,TripleLift,"82,143",TripleLift is the native programmatic platform with RTB capabilities for buying and selling native advertising - TripleLift is the advertising solution for the vis ...,"Jun 11, 2015",Series B,"$ 10,500,000"
179,Jumpshare,"82,136",File sharing and collaboration platform for creative professionals. - Jumpshare - File sharing made simple! Jumpshare is ...,,,
182,Dropmark,"82,115","Easily share, organize and collaborate on files - Dropmark allows you to easily share files by dropp ...",,,
188,Domo,"81,967",Business Intelligence - Dashboards and Analytics - Domo optimizes your business by connecting you to ...,"Apr 27, 2017",Series D,"$ 100,000,000"
192,CoSchedule,"81,892",Content Marketing Editorial Calendar Software - CoSchedule is a drag-and-drop editorial calendar f ...,"May 17, 2017",Venture,"$ 2,000,000"
195,Process Street,"81,792","Rapid process document creation, iteration, tracking and optimization. - Process Street - We provide a simple and effective ...","Jan 18, 2017",Seed,"$ 1,300,000"
198,Student Loan Hero,"81,708",The smartest way to pay off your student loans. - Student Loan Hero is an unbiased solution to organ ...,"Feb 08, 2013",Seed,"$ 25,000"
207,Kapwing,"81,517",Online toolbox for modern video creators - Kapwing has a set of online tools for modern video ...,,,
208,Nomics,"81,475","Crypto market caps, prices, all-time high data - Nomics is the transparent crypto price & data aggr ...",,,
210,Moqups,"81,468",Vectorial Mockups - Moqups is an unique app based on HTML5 and SVG tha ...,,,
211,Lolli,"81,451","Lolli is the leading bitcoin rewards company - The company has partnered with 1,000+ top merchant ...","May 11, 2020",Seed,"$ 3,000,000"
213,Greenhouse,"81,426","Simple and secure continuous integration for mobile apps. - Greenhouse - Modern, smart recruiting platform. G ...",,,
218,GetFeedback,"81,322",Create Amazing Mobile-Ready Surveys - GetFeedback is a modern survey marketing applicati ...,"Sep 24, 2014",Series A,"$ 2,300,000"
219,Kuula,"81,298",Virtual tours made easy - Kuula is an easy-to-use and budget friendly soluti ...,,,
227,Postmates,"81,145",On-Demand Delivery - Postmates is transforming the way local goods move ...,"Sep 16, 2016",Series D,"$ 140,000,000"
238,GraphicSprings,"80,964",Logo design and business card services - GraphicSprings is a web based logo design applicat ...,,,
243,Ryver,"80,885",The only collaborative email for business. - Ryver provides all of your team communications in ...,"Feb 01, 2015",Venture,"$ 599,905"
251,Buddy,"80,810",Deployments automation for Web Developers - Buddy is a hosted Continuous Integration and Conti ...,"Oct 30, 2017",Post-IPO Equity,"A$ 23,000,000"
254,Refersion,"80,746","Affiliate Tracking Platform - Tracking rewards for social media influencers, amb ...",,,
255,Vectr,"80,736",Free Vector Graphics Editor - Vectr is a free collaborative vector graphics edit ...,"Apr 01, 2015",Seed,"$ 200,000"
256,Freewallet,"80,716",Mobile-first cryptocurrency wallets - Freewallet is a guide to the crypto world created ...,,,
258,Groove,"80,689",Elegant Help Desk Software - Groove - Simple Ticketing and Knowledge Base Softw ...,"Feb 07, 2012",Seed,"$ 1,000,000"
260,Honey,"80,680",Beautiful enterprise social network - Honey - The better way to share news and informati ...,"Oct 24, 2017",Series B,"$ 9,000,000"
262,CleverTap,"80,661","Mobile App Engagement, Delivered. - CleverTap is a mobile user engagement and analytic ...","Aug 03, 2015",Series A,"$ 8,000,000"
264,Social Tables,"80,655",Seating chart SaaS - Social Tables - Visualize your event's seating cha ...,"Oct 04, 2016",Series B,"$ 13,000,000"
267,Bench.co,"80,623","Bookkeeping done for you. - Bench.co - A modern bookkeeping company, providing ...",,,
268,Proto.io,"80,581",Silly-fast mobile prototyping. - Proto.io is a new prototyping tool specifically de ...,,,
269,ViralSweep,"80,567",Sweepstakes Management Platform - ViralSweep is a platform that allows businesses to ...,,,
270,RentHop,"80,566",Apartment search using data - RentHop helps you find your next home quickly and ...,"Apr 01, 2014",Seed,"$ 25,000"
273,ConvertKit,"80,512",Email marketing for professional bloggers. - Email marketing for bloggers. Turn visitors into c ...,"Jul 07, 2016",Product Crowdfunding,"$ 1,800,000"
274,Freedcamp,"80,509",Freedcamp is a web application that allows users to collaborate on projects. - Freedcamp - The first free project management and ...,"Jul 10, 2017",Convertible Note,"$ 50,000"
276,AND CO,"80,434",A smart back office for freelancers - AND CO is a smartphone-based application that enab ...,"Mar 28, 2016",Seed,"$ 2,000,000"
279,Your Money Geek,"80,419",Let's make money happen! - Your Money Geek was founded in 2018 as a way to he ...,,,
280,BabyList,"80,414","Babylist is an online universal baby registry that enables parents discover, request and buy products for newborns. - BabyList is your Baby Registry Anywhere. Add items ...","Jun 25, 2013",Seed,"$ 650,000"
281,Pure Chat,"80,397",Pure Chat - Simple website chat for small businesses Pure Chat is the best live chat and visitor tr ...,,,
287,Wanelo,"80,312","Facebook for products. - Wanelo (“wah-nee-loh,” from Want, Need, Love) is r ...","Mar 15, 2014",Series A,Undisclosed amount
290,Convertio,"80,277",Convertio Co is a web-based platform that provides its users with an online tool to convert files online. - Convertio - Easy tool to convert files online. A l ...,"Aug 01, 2014",Seed,"$ 50,000"
295,Designlab,"80,265","Fun, interactive lessons for beginning designers - Designlab is reinventing design education by teach ...","Jun 16, 2014",Seed,"$ 280,000"
297,Eltoro.com,"80,240",ElToro.com is disrupting the display and banner advertising world by placing online advertisements t ...,,,
300,iLoveIMG,"80,220",EVERY TOOL YOU COULD WANT TO EDIT IMAGES - Convert your images with these free online image c ...,,,
305,Heap,"80,174",Heap provides analytics infrastructure to automate away the annoying parts of user analytics. - Heap - Web and mobile analytics that tracks everyt ...,"May 04, 2017",Series B,"$ 27,000,000"
308,Signifyd,"80,116",the anti virus for social interactions - Signifyd is an anti virus for social interactions. ...,"May 04, 2017",Series C,"$ 56,000,000"
309,Fix The Photo,"80,108",Online photo retouching services - Photo editing company provides quick digital retou ...,,,
318,Officevibe,"80,028",Employee engagement platform - Officevibe is an employee engagement platform with ...,"Apr 01, 2015",Seed,"$ 1,000,000"
319,Equipboard,"80,027",World's largest music gear database - Equipboard is a community-built database that brin ...,,,
323,Happyfox,"79,983","HappyFox is a developer of customer support and ticket management software. - HappyFox is a ridiculously easy, powerfully simple ...",,,
328,Bugsnag,"79,923",Bugsnag provides an automated crash detection platform for web and mobile applications. - Bugsnag (bugsnag.com) automatically detects errors ...,"Jul 07, 2015",Series A,"$ 7,200,000"
333,LaunchRock,"79,864",Viral Launching Soon Page - LaunchRock helps you setup a viral launching soon ...,"Nov 08, 2011",Seed,"$ 800,000"
336,Spark Hire,"79,833",Simple video interviewing software - Spark Hire is an easy to use video interviewing pl ...,,,
338,"Vinyl Me, Please","79,820","The Best Damn Record Club Out There - Vinyl Me, Please is the best damn record club out ...",,,
345,Online Check Writer,"79,702",Online check printing software - There are many check printing software available o ...,,,
346,Elink,"79,700","Create and publish content in minutes - Elink is a smart, easy and fast way of sharing dig ...",,,
351,Tinder,"79,632",Find your match - Tinder is a mobile app that finds who likes you ne ...,,,
352,PotGuide.com,"79,627",The Comprehensive Guide to the World of Marijuana - PotGuide.com is a comprehensive online guide to th ...,"Oct 01, 2015",Seed,"$ 40,000"
353,BetterWorks,"79,596",We Make Work Rewarding - BetterWorks - Recent technical innovations have ch ...,"Mar 23, 2016",Series B,"$ 20,000,000"
364,FlexiSpot,"79,490","Height Adjustable Standing Desk Sit Stand Desk - At FlexiSpot, we believe there’s a healthier way t ...",,,
365,Milled,"79,483",E-Commerce offer aggregator - Milled - We subscribe to thousands of mailing list ...,,,
371,Medium,"79,439","Read, write and share stories that matter - Everyone’s stories and ideas. Move thinking forwar ...","Apr 21, 2016",Series C,"$ 50,000,000"
373,Rollbar,"79,425",Easy and powerful error monitoring and debugging for developers - Rollbar is a full-stack error monitoring platform. ...,"Oct 23, 2017",Series A,"$ 6,000,000"
374,TickPick,"79,417",Simplifying Ticket Purchasing - TickPick is an innovative ticket marketplace to bu ...,"May 08, 2012",Seed,Undisclosed amount
375,SendBird,"79,413",Messaging and Chat API for Mobile Apps and Website - SendBird provides the chat API and the backend for ...,"Nov 21, 2015",Seed,"$ 120,000"
381,AlleyWatch,"79,381","AIIeyWatch is a news, culture, and technology platform that focuses on the creation and fostering of startups and related organizations. - AlleyWatch is a media property dedicated to the ad ...","Oct 15, 2012",Seed,"$ 40,000"
382,Sendy,"79,374","Newsletters, 100x cheaper - Sendy is a self hosted newsletter app that lets yo ...",,,
388,Equityzen,"79,333",EquityZen connects shareholders of private companies with investors seeking alternative investments. ...,"Feb 13, 2014",Seed,Undisclosed amount
389,CodeBeautify,"79,318","Beautify your code with CodeBeautifier - Free Online Tools For Developers - to Beautify, Va ...",,,
393,Smartsupp,"79,239","Look at your website through your customer's eyes. Visitor recording tool that allows you to truly understand behavior of your customers. - ""Your customers are browsing your website right no ...","Aug 01, 2016",Seed,"$ 200,000"
397,Server Pilot,"79,227","Configure, manage, and monitor your cloud servers and web applications - Server Pilot automates the management and administ ...","Oct 01, 2012",Seed,Undisclosed amount
399,Vungle,"79,207",an app discovery platform where every app is showcased through video. - Vungle is an app discovery platform covering apps ...,"Feb 06, 2014",Series B,"$ 17,000,000"
400,Papaly,"79,200",Papaly is a simple bookmarking tool to manage all your links. Share and follow topics of interest to discover new content. - Papaly is your ultimate link manager. Create board ...,,,
403,Inkitt,"79,172","Read, write and discover great online novels - Inkitt is a platform where authors can write and s ...","Sep 25, 2017",Seed,"$ 3,900,000"
405,Samepage.io,"79,160","Samepage is a social collaboration platform connecting people with projects, conversations and files ...",,,
409,Tailwind,"79,093","Tailwind's mission is to make world-class marketing easy for everyone. - Tailwind is the leading visual marketing platform, ...","Nov 06, 2013",Seed,"$ 1,000,000"
417,M1 Finance,"78,978",Build long-term savings and manage wealth - M1 Finance is a first-of-its-kind automated invest ...,"Oct 01, 2016",Seed,Undisclosed amount
419,POWr,"78,955",A suite of easy-to-use online tools to power any small business - POWr is a toolkit of core website components that ...,"May 01, 2014",Angel,"$ 110,000"
420,jsDelivr,"78,952","A free, fast, and reliable Open Source CDN. - jsDelivr is a public, open-source CDN (Content Del ...",,,
421,Mashvisor,"78,945",Real Estate Investment Analytics - Mashvisor delivers an automated platform that anal ...,"Nov 15, 2016",Seed,"$ 150,000"
422,Ministry of Supply,"78,939",High performance business clothing. - Ministry of Supply is creating the future of busin ...,"Jun 16, 2015",Venture,"$ 1,024,999"
423,EngageBay,"78,900",All-in-one marketing platform for less than $1 - EngageBay is built for entrepreneurs and small bus ...,,,
424,Oktopost,"78,889",Social media tool for B2B marketers - Oktopost is the first solution to establish the RO ...,"Nov 07, 2013",Seed,"$ 800,000"
428,Dynalist,"78,861",Bring your lists to life - A productivity app that helps people organize ever ...,,,
431,Algolia,"78,839",Search as a service API built for developers - Algolia is a hosted search service available as a ...,"Sep 01, 2017",Secondary Market,Undisclosed amount
432,Ambition,"78,836",Drive Employee Performance - Ambition is an employee performance management pla ...,"Jun 01, 2014",Seed,"$ 2,000,000"
433,Magic Leap,"78,810",Magic back into the world - You already own the world’s most amazing computer. ...,"Oct 17, 2017",Series D,"$ 502,000,000"
436,Slant,"78,772",Wikipedia for Opinion - Slant is a collaboratively edited resource of subj ...,,,
443,Pics.io,"78,716",Pics.io is complete solution digital assets management. - Pics.io is a simple solution to manage & distribut ...,,,
448,Postable,"78,582",Postable makes it simple to send greeting cards & stationery in the mail. - Postable - The free & easy way to get people's mai ...,,,
452,Coinigy,"78,555",Professional Tools For Cryptocurrency Traders. - Coinigy brings Bitcoin and Cryptocurrency investme ...,"Jul 25, 2016",Seed,"$ 400,000"
455,Happify,"78,515","Happify is the most established destination for effective, evidence-based solutions for better emotional health & mindfulness on the market. - Happify - Transforming the latest innovations in h ...","Aug 15, 2017",Venture,"$ 9,000,000"
468,GoFounders,"78,436","In It to Win It - GoFounders, one of the leading business platform i ...",,,
469,Clockify,"78,432",The only 100% free time tracking - Clockify is the only truly free time tracking soft ...,,,
473,Re:amaze,"78,323",Better Conversations. Happier Customers - Re:amaze is a cloud based helpdesk and customer me ...,,,
485,Stripo.email,"78,226",Drag-and-drop and HTML email template builder - Stripo - Online Email Template Builder empowering ...,,,
486,MarketMuse,"78,214","MarketMuse uses AI to accelerate content planning, creation and optimization. - MarketMuse uses artificial intelligence to analyze ...","Dec 14, 2016",Angel,"$ 978,000"
488,Zenefits,"78,209",Zenefits is an all-in-one Digital HR platform for small and medium businesses. - Zenefits - All in one HR Software. Seamlessly con ...,"May 06, 2015",Series C,"$ 500,000,000"
491,Pymetrics,"78,200",Pymetrics is the next generation job marketplace. - Pymetrics - A next generation career search platfo ...,"Sep 20, 2017",Series A,"$ 8,000,000"
493,Apptentive,"78,187","GetSatisfaction for App Developers - Apptentive - Get better ratings, reviews and custo ...","Feb 13, 2017",Series A,"$ 1,700,000"
495,Pixpa,"78,150","Smart Portfolio Websites for Creative Professionals - Pixpa enables photographers, artists and designers ...",,,
497,Acquire,"78,115",Multi-channel customer communication platform - Acquire is customer service and support software t ...,,,
499,Seedinvest,"78,112",SeedInvest is an equity crowdfunding platform that connects investors with startups. - SeedInvest is a leading equity crowdfunding platfo ...,"Jun 01, 2016",Venture,"$ 5,125,000"
502,iWantMyName,"78,099",Simple Domain Registrar - iWantMyName makes it dead-simple to purchase domai ...,,,
505,ReportGarden,"78,090",Reporting & Dashboard Software - Digital Ad Agency - An Enterprise Ad Agency Reporting & Dashboards sof ...,,,
507,Invoiced,"78,078",Inoviced is the modern invoicing and subscription billing for growing businesses. - Invoiced is simple invoicing for freelancers and s ...,"Aug 30, 2017",Seed,Undisclosed amount
509,Agile CRM,"78,050","Marketing automation + CRM for small businesses - AgileCRM combines CRM with MA, web analytics and s ...",,,
515,Inspirock.com,"78,012",Inspirock’s free travel planner helps you break away from the crowds and discover the places and att ...,,,
516,MindMajix,"78,000",Provides online training for all IT Courses - MindMajix is the leader in delivering online cours ...,,,
518,StopLight,"77,974","Mock, document, and test your way to API nirvana - StopLight makes it easy to inspect and test your w ...","Mar 23, 2015",Convertible Note,"$ 118,000"
520,Insureon,"77,956","Small Business Insurance Quotes Online - Founded in 2011, Insureon is an InsurTech startup ...","Oct 21, 2015",Venture,"$ 31,000,000"
521,LambdaTest,"77,953",Perform All Your Tests On Cloud - LambdaTest is a scalable cloud-based cross browser ...,,,
522,Outgrow,"77,950",Interactive Calculators and Quizzes - Standing out online is tough…customers are immune ...,,,
523,EmailOnDeck,"77,941",Fast & Free temp email in 2 easy steps! - Protect your privacy by using a free temporary ema ...,,,
524,Akeneo,"77,934",The #1 Enterprise Open Source PIM - Akeneo is a global leader in Product Experience Ma ...,,,
526,Packlane,"77,928",Custom packaging in just a few clicks - Packlane makes it easy for brands to create beauti ...,,,
529,Salesmate CRM,"77,909",All in one sales CRM for small business - Salesmate is a truly intelligent sales CRM helps s ...,,,
531,Modalyst,"77,892",Dropshipping automation software for ecommerce - Modalyst is dropshipping automation software for e ...,,,
533,Reonomy,"77,869",Commercial Real Estate Analytics Reimagined. - Reonomy - Using big data analytics and proprietary ...,"Jun 17, 2015",Debt Financing,"$ 4,500,000"
537,HotJar,"77,840",See how visitors are really using your website - HotJar lets you see how visitors are really using ...,,,
540,Kevel,"77,838",Take Back the Internet - Kevel offers infrastructure ad serving APIs that m ...,,,
546,Torre,"77,804","Platforms and services that make work fulfilling - At Torre, our mission is to make work fulfilling f ...","Jan 11, 2012",Seed,Undisclosed amount
547,Hive,"77,794",The Productivity Platform - Hive is the productivity platform for seamless pro ...,,,
552,CryptoTrader.Tax,"77,747",The easiest way to prepare crypto taxes - CryptoTrader.Tax is a tool to help make the task o ...,,,
558,Quote Roller,"77,691",Freshbooks for proposals - Quote Roller is a cloud-based software as a servic ...,"Sep 22, 2014",Convertible Note,"$ 400,000"
559,Payability,"77,677",Improve Cash Flow - Financing for Amazon Business - Payability provides finance solutions to suppliers ...,,,
562,ShipBob,"77,664",ShipBob provides Amazon level logistics to small to mid sized businesses. - ShipBob is shipping made uber simple. It is the ea ...,"Jun 13, 2017",Series B,"$ 17,500,000"
570,KickoffLabs,"77,612",Simple customer signup pages for new and small businesses. - KickoffLabs lets you create one page sites for you ...,"Jul 26, 2012",Venture,"$ 1,700,000"
571,Stackify,"77,607",Stackify is a developer-friendly solution that fully integrates application performance management with error and log management. - Stackify offer software developers the only develo ...,"Jan 01, 2015",Venture,"$ 5,000,000"
572,Onfleet,"77,605",Onfleet makes it easy for businesses to manage their local delivery operations. - Onfleet's delivery management software simplifies ...,"Nov 16, 2016",Seed,"$ 2,600,000"
575,MightyCall,"77,596","Cisco for Small Businesses, without the price tag - MightyCall - Improve your image with a dedicated b ...",,,
576,Realty Mogul,"77,581","We're an online marketplace for real estate investing, connecting borrowers and sponsors to individual and institutional investors. - Realty Mogul - Pool money with like-minded investo ...","Sep 20, 2016",Venture,"$ 1,520,000"
580,Pitchbox,"77,555",Find 'em. Pitch 'em. Close 'em. - Pitchbox is a prospecting and relationship buildin ...,,,
581,Xtensio,"77,540",Documents = Web Pages = Presentations - Documents = Web Pages = Presentations. A super ...,,,
585,Text Request,"77,494",Text customers using your office phone number. - Text Request is an online tool for managing your b ...,"Nov 20, 2014",Seed,"$ 250,000"
589,LaunchDarkly,"77,474","LaunchDarkly is a Feature Management Platform that serves over 10 billion feature flags daily to help teams build better software, faster. - LaunchDarkly solves the biggest pains around effec ...","Dec 20, 2016",Series A,"$ 8,700,000"
591,AdNabu,"77,461",AdWords Automation Software - AdWords Automation Software. SaaS software creates ...,,,
593,Xplenty,"77,401",Hassle-Free Hadoop Data Processing - Xplenty gives you the full data processing of Hado ...,"Dec 01, 2016",Venture,"$ 4,000,000"
595,Zignaly,"77,388",Crypto trading signals and bots - Zignaly.com is the leading platform for robotic ...,,,
596,Bit.ai,"77,374",Smart Document Collaboration for Teams - Bit is an all-in-one document collaboration platfo ...,,,
597,PayKickstart,"77,373","Accept payments, make more sales & boost revenue - PayKickstart provides shopping cart and affiliate ...",,,
605,Topvisor,"77,305",All-in-One SEO and PPC Tools for Better Marketing - Topvisor provides advanced software and automated ...,,,
609,BetaPage,"77,279","Browse, discover, hunt startups and new ideas - A startup directory where you can discover, hunt a ...",,,
610,ProductPlan,"77,273","ProductPlan provides companies with software to assist with the road-mapping process of product development. - ProductPlan is the easiest way to plan, visualize, ...",,,
612,Wibbitz,"77,253",The play button for the web - Wibbitz provides an interactive player for sites & ...,"Oct 23, 2017",Series C,"$ 20,000,000"
614,Pollfish,"77,231",Pollfish is a survey web platform that allows individuals to create surveys and deploy them on selected audiences. - Pollfish is a survey platform which provides acces ...,"Aug 01, 2016",Venture,"$ 1,700,000"
615,Minibar Delivery,"77,198",On-Demand Alcohol Delivery. - Minibar Delivery offers free on-demand delivery of ...,"Aug 15, 2017",Seed,"$ 5,000,000"
618,DYNO Mapper,"77,180","DYNO Mapper streamlines the discovery, analysis, and planning phase of web development. - Sitemap Generator featuring Google Analytics, Cont ...",,,
619,Portfolium,"77,171",Portfolium is the fastest and most effective way to visually tell your story. Showcase your work and ...,"Sep 12, 2016",Series A,"$ 5,350,000"
622,Autopilot,"77,162",Autopilot is visual marketing software for automating customer journeys - Autopilot is easy-to-use software for multi-channe ...,"Jun 07, 2017",Venture,"$ 12,000,000"
628,Hive.co,"77,105",Free unlimited cloud storage for your files and torrents - Hive is a radical new social cloud storage concept ...,"Oct 10, 2017",Venture,"$ 4,000,000"
631,Agency Spotter,"77,093",Agency Spotter is reinventing how businesses find and work with creative agencies - Agency Spotter is reinventing how brands find and ...,"Dec 31, 2014",Seed,Undisclosed amount
