,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name,description
156,IL,41.8851542,-87.6223183,60601,c:12957,Chicago,Chicago IL 60601,Brickfish,1,11/1/2005,Still Operating,7/16/2010,7/16/2010,4.7068,4.7068,2.989,6.863,17,1,940261,2,IL,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,c:12957,0,0,1,0,0,0,1,1,acquired,brickfish,"Brickfish provide social media software that enables brands to build, manage and monitor social engagement and ROI."
157,MA,42.360253,-71.058291,2109,c:34499,Boston,Boston MA 2109,MyEnergy,1,6/4/2007,Still Operating,2/1/2009,2/3/2011,1.6658,3.6712,3.6658,3.6712,12,2,4000000,3,MA,0,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,c:34499,0,1,1,0,0,0,3,1,acquired,myenergy,MyEnergy is a personalized guide to energy savings with tips and incentives for reducing energy consumption and saving on utility bills.
158,CA,37.36883,-122.03635,94085,c:34028,Sunnyvale,Sunnyvale CA 94085,LikeList,0,1/1/2008,12/6/2012,12/15/2009,12/15/2009,1.9562,1.9562,1.0027,1.0027,5,1,5000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:34028,0,0,1,0,0,0,1,0,closed,likelist,LikeList is a word-of-mouth service that enables consumers to share and discover trusted local businesses.
159,VA,38.881717,-77.089398,22201,c:23335,Arlington,Arlington VA 22201,Social Collective,0,4/17/2009,3/6/2012,4/18/2009,4/18/2009,0.0027,0.0027,0.5836,0.5836,3,1,20000,1,VA,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:23335,0,1,0,0,0,0,1,0,closed,social collective,Social Collective develops software that provides hosted services for event organizers.
160,WA,47.60732,-122.335746,98101,c:30526,Seattle,Seattle WA 98101,Pure Networks,1,1/1/2002,Still Operating,1/11/2006,1/11/2006,4.0301,4.0301,3.0027,3.0027,5,1,12500000,1,WA,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:30526,0,0,0,1,0,0,3,1,acquired,pure networks,"Pure Networks provides equipment management, content and digital services to individuals and companies."
161,CO,39.568064,-104.977831,80112,c:42519,Centennial,Centennial CO 80112,Internet Pawn,0,1/1/2009,3/1/2013,5/5/2010,8/27/2013,1.3397,4.6548,1.3589,1.3753,0,5,7228704,2,CO,0,0,0,0,1,finance,0,0,0,0,0,0,0,0,0,1,c:42519,1,0,1,0,0,0,2,1,closed,internet pawn,Internet Pawn is a web-based pawnshop in the U.S. that offers loans based on the collateral of a person's valuables.
162,IL,41.940611,-87.835972,60631,c:48376,Chicago,Chicago IL 60631,NeuroTherapeutics Pharma,0,1/1/2006,6/1/2013,5/20/2010,12/15/2011,4.3836,5.9562,5.4986,5.4986,5,2,55000000,1,IL,0,0,0,0,1,biotech,0,0,0,0,0,0,0,1,0,0,c:48376,1,0,0,1,0,0,4,1,closed,neurotherapeutics pharma,NeuroTherapeutics Pharma develops therapeutics for patients suffering from central nervous system disorders.
163,CA,37.560155,-122.285588,94404,c:15693,San Mateo,San Mateo CA 94404,Provade,1,1/1/2004,Still Operating,1/23/2006,8/11/2010,2.063,6.6137,3.055353048,4.754422568,5,4,15180000,0,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:15693,1,0,1,0,1,0,1,1,acquired,provade,Provade is SaaS for managing work force related services procurement (Enterprise-VMS)
164,CA,37.404788,-121.940842,95134,c:47587,San Jose,San Jose CA 95134,Infineta Systems,0,1/1/2008,1/1/2012,5/7/2010,6/6/2011,2.3479,3.4301,2.3562,4.0027,4,2,30000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:47587,0,0,1,1,0,0,2.5,1,closed,infineta systems,Infineta Systems is a network infrastructure company developing network optimization products for enterprise data center interconnects.
165,TX,30.268236,-97.740651,78701,c:1669,Austin,Austin TX 78701,Challenge Games,1,1/1/2006,Still Operating,7/10/2008,9/1/2008,2.5233,2.6685,3.0027,4.4247,11,2,14500000,3,TX,0,0,0,1,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:1669,0,0,1,1,0,0,1.5,1,acquired,challenge games,Challenge Games creates online social games and helps people play with and against friends.
