,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name,company_description,name
826,CA,37.3767076,-121.997483,95051,c:17481,Santa Clara,Santa Clara CA 95051,Power Analog Microelectronics,0,1/1/2004,9/18/2012,12/1/2007,12/1/2007,3.9178,3.9178,3.055353048,4.754422568,2,2,12000000,0,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:17481,0,0,1,1,0,0,4,1,closed,power analog microelectronics,Power Analog Microelectronics designs and manufactures energy-saving analog and power integrated circuits.,Power Analog Microelectronics
827,OH,41.678675,-83.512728,43607,c:148284,Toledo,Toledo OH 43607,Classiphix,0,9/19/2009,5/1/2013,1/1/2011,1/1/2011,1.2849,1.2849,0,0,1,1,15000,1,OH,0,0,0,0,1,ecommerce,0,0,0,0,0,0,1,0,0,0,c:148284,0,1,0,0,0,0,1,0,closed,classiphix,Classiphix was an intelligent P2P commerce platform that used connectivity and confidence to provide safer online transactions.,Classiphix
828,WA,47.603832,-122.330062,98101,c:38095,Seattle,Seattle WA 98101,StartupDigest,1,11/16/2009,Still Operating,3/9/2011,3/9/2011,1.3096,1.3096,1.3096,2.8822,11,1,200000,3,WA,0,0,0,0,1,news,0,0,0,0,0,0,0,0,0,1,c:38095,1,0,0,0,0,0,1,0,acquired,startupdigest,StartupDigest provides a weekly email newsletter of the top tech and entrepreneurship events in the city to its members.,StartupDigest
829,CA,33.158093,-117.350597,92008,c:42227,Carlsbad,Carlsbad CA 92008,WiLinx,0,1/1/2003,1/4/2012,1/10/2007,1/10/2007,4.0274,4.0274,3.055353048,4.754422568,0,1,15000000,0,CA,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,c:42227,0,0,0,0,1,0,1,0,closed,wilinx,WiLinx Corporation is a semiconductor company providing single-chip complementary metal oxide semiconductor ultra-wide-band solutions.,WiLinx
830,CA,37.779281,-122.419236,94111,c:41006,San Francisco,San Francisco CA 94111,Cohuman,1,10/9/2009,Still Operating,9/9/2009,1/1/2011,-0.0822,1.2301,0.3151,1.2986,4,2,1400000,2,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:41006,0,1,0,0,0,0,3,0,acquired,cohuman,Cohuman is a web-based collaboration and project management app that enables teams to coordinate and organize the tasks of their members.,Cohuman
831,NY,40.707645,-74.010816,10038,c:27938,New York,New York NY 10038,Correlix,0,1/1/2006,5/1/2013,2/19/2005,2/14/2012,-0.8658,6.1233,5.0027,5.0027,5,4,11400000,1,NY,0,1,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:27938,1,0,0,1,0,0,3,1,closed,correlix,Correlix offers real-time latency intelligence monitoring software for capital markets firms.,Correlix
832,CA,37.4815098,-121.9453283,94538,c:28482,Fremont,Fremont CA 94538,Redwood Systems,1,1/1/2008,Still Operating,10/3/2008,5/30/2012,0.7562,4.4137,2.7836,4.0027,14,4,34250000,2,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:28482,1,0,1,1,1,0,2.25,1,acquired,redwood systems,Redwood Systems provides LED lighting system architecture that enables customers to reduce energy costs.,Redwood Systems
833,TX,30.269004,-97.740395,78701,c:5801,Austin,Austin TX 78701,OtherInbox,1,1/1/2008,Still Operating,1/1/2008,9/20/2010,0,2.7205,1.0027,5.9479,4,4,3800000,4,TX,0,0,0,1,0,messaging,0,0,0,0,0,0,0,0,0,1,c:5801,0,1,1,0,0,0,4.75,1,acquired,otherinbox,OtherInbox is a company that builds technology to automatically organize emails enabling users to focus on messages based on their priority.,OtherInbox
834,CA,37.555962,-122.288006,94404,c:17738,San Mateo,San Mateo CA 94404,M-Factor,1,1/1/2003,Still Operating,6/14/2007,2/10/2009,4.4521,6.1151,6.5863,6.5863,3,2,10100000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:17738,1,0,0,0,1,0,3,1,acquired,m-factor,"M-Factor develops web-based profit and revenue optimization software for the consumer goods, retail and restaurant sectors.",M-Factor
835,CA,37.354469,-121.990433,95051,c:45112,Santa Clara,Santa Clara CA 95051,Athena Design Systems,0,1/1/2003,1/1/2012,1/29/2007,1/29/2007,4.0795,4.0795,3.055353048,4.754422568,0,1,4000000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:45112,0,0,0,1,0,0,6,1,closed,athena design systems,"Athena Design Systems develops electronic design automation software, addressing the physical implementation challenges of IC design.",Athena Design Systems
836,CA,37.552262,-122.292146,94403,c:22726,San Mateo,San Mateo CA 94403,Servo Software,1,1/1/2008,Still Operating,12/15/2009,12/15/2009,1.9562,1.9562,1.9562,2.0027,11,1,3011408,3,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:22726,0,0,0,1,0,0,1,1,acquired,servo software,"Kii (Formerly Servo Software) delivers a set of applications, APIs and SDKs to device manufacturers, mobile network operators, and end users, which help users to sync, search, and share mobile content on their and their friends' phones.",Servo Software
837,CA,37.551882,-122.313472,94402,c:43458,San Mateo,San Mateo CA 94402,Levanta,0,1/1/1998,5/9/2008,9/23/2007,9/23/2007,9.7315,9.7315,6.0027,6.0027,2,1,8000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:43458,1,0,0,0,0,0,3,1,closed,levanta,Levanta offers Linux management and data virtualization solutions to both private and government organizations.,Levanta
838,CA,37.566009,-122.321646,94401,c:195233,San Mateo,San Mateo CA 94401,EdgeSpring,1,7/1/2010,Still Operating,7/1/2010,5/17/2013,0,2.8795,2.3397,2.3397,15,2,12700000,1,CA,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,c:195233,0,0,1,0,0,0,1.5,1,acquired,edgespring,EdgeSpring is a business intelligence platform providing visual analytics and business intelligence solutions.,EdgeSpring
839,CA,33.831671,-118.315766,90501,c:6219,Torrance,Torrance CA 90501,DotSpots,0,9/1/2007,4/15/2012,9/1/2007,9/1/2007,0,0,0.3342,3.2219,5,1,300000,4,CA,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:6219,0,1,0,0,0,0,2,0,closed,dotspots,DotSpots is a service enabling anyone to update news in real time with distributed objects of thought or 'dots.',DotSpots
840,CA,37.755068,-122.418026,94110,c:38337,San Francisco,San Francisco CA 94110,about.me,1,2/5/2013,Still Operating,2/5/2013,2/5/2013,0,0,-1.8027,-0.0959,21,1,5675000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:38337,1,0,0,0,0,0,4,1,acquired,about.me,About.me is an online platform enabling users to create and maintain a curated page for self-expression.,about.me
841,CA,33.6156634,-111.8931647,90291,c:20672,Santa Monica,Santa Monica CA 90291,Republic Project,1,8/1/2008,Still Operating,9/1/2012,9/1/2012,4.0877,4.0877,4.6685,5.1863,13,1,1000000,2,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:20672,0,1,0,0,0,0,5,1,acquired,republic project,"Republic Project offers a cloud-based ad platform that makes it easy to scale campaigns, meet demand, and optimize performance in real time.",Republic Project
842,FL,28.66677,-81.392794,32714,c:14483,Altamonte Springs,Altamonte Springs FL 32714,Hit Systems,0,9/1/2008,1/10/2013,9/1/2008,9/1/2008,0,0,3.055353048,4.754422568,2,1,125000,0,FL,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:14483,0,1,0,0,0,0,1,0,closed,hit systems,Hit Systems is a hosted IT company that provides IT systems and support for small- and medium-sized businesses.,Hit Systems
843,CT,39.364504,-84.247556,6880,c:44616,Westport,Westport CT 6880,Yamisee,0,1/1/2010,7/1/2013,3/24/2010,12/15/2010,0.2247,0.9534,0.5808,1.0685,2,2,700000,2,CT,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:44616,0,1,0,0,0,0,2.5,0,closed,yamisee,Yamisee provided a live online learning platform for teachers and subject matter experts to share their knowledge.,Yamisee
844,WA,47.603832,-122.330062,98109,c:60580,Seattle,Seattle WA 98109,Thinkfuse,1,8/1/2010,Still Operating,11/1/2010,3/24/2011,0.2521,0.6438,1.2685,1.7479,6,2,532000,2,WA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:60580,0,1,0,0,0,0,5,1,acquired,thinkfuse,Thinkfuse is a SaaS-based enterprise that allows companies to send regular progress reports to stakeholders.,Thinkfuse
845,CA,37.445326,-122.160671,94301,c:1111,Palo Alto,Palo Alto CA 94301,EchoSign,1,7/15/2005,Still Operating,10/1/2005,10/1/2007,0.2137,2.2137,4.6301,5.5534,8,2,8500000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1111,0,0,1,1,0,0,1,1,acquired,echosign,"Adobe Sign, formerly EchoSign is an e-signature and contract management company that helps its users get their documents signed online.",EchoSign
846,WA,47.602416,-122.332614,98104,c:2955,Seattle,Seattle WA 98104,PI Corporation,1,1/1/2003,Still Operating,7/27/2006,7/27/2006,3.5699,3.5699,5.8795,9.3808,2,1,9400000,3,WA,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:2955,0,0,0,1,0,0,1,1,acquired,pi corporation,PI Corporation develops cloud-based software for personal information management and storage.,PI Corporation
847,RI,41.818712,-71.411775,2903,c:148566,Providence,Providence RI 2903,"MoveableCode, Inc.",0,1/1/2010,1/14/2012,1/1/2009,4/1/2012,-1,2.2493,1.7479,1.7479,3,2,350000,1,RI,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:148566,0,1,0,0,0,0,1,1,closed,"moveablecode, inc.",MoveableCode is a developer of location-aware fantasy games for mid-core gamers using Android and iOS platforms.,"MoveableCode, Inc."
848,NY,40.643438,-73.886452,10013,c:703,New York,New York NY 10013,Daylife,1,4/1/2006,Still Operating,6/1/2007,6/16/2009,1.1671,3.211,0.7534,2.811,16,2,12300000,3,NY,0,1,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:703,0,0,0,1,1,0,1.5,1,acquired,daylife,Daylife is a cloud-based media platform offering digital media management tools and content feeds to publishers and brand marketers.,Daylife
849,MA,42.599814,-71.367284,1824,c:38721,Chelmsford,Chelmsford MA 1824,Desktone,1,1/1/2006,Still Operating,7/30/2007,12/16/2011,1.5753,5.9589,4.4164,4.4164,6,5,25413298,1,MA,0,0,1,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,c:38721,1,0,1,1,0,0,3,1,acquired,desktone,Desktone offers a desktop virtualization platform facilitating the deployment of Windows desktops and apps from a cloud to end user devices.,Desktone
850,CA,37.779281,-122.419236,94105,c:79431,San Francisco,San Francisco CA 94105,Pulse,1,5/1/2010,Still Operating,10/6/2010,6/16/2011,0.4329,1.126,2.6904,3.5397,23,2,9800000,2,CA,1,0,0,0,0,news,0,0,0,0,0,0,0,0,0,1,c:79431,0,1,1,0,0,0,4.5,1,acquired,pulse,Pulse is a news reading app that provides users with news from multiple RSS feeds on a single interface.,Pulse
851,CA,37.779281,-122.419236,94107,c:50449,San Francisco,San Francisco CA 94107,Opzi,0,5/1/2010,7/1/2013,1/1/2010,9/1/2010,-0.3288,0.337,0.4082,0.8712,5,2,1015000,2,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:50449,0,1,0,0,0,0,5,1,closed,opzi,Opzi was a developer of social games for iOS and Android.,Opzi
852,CO,40.011355,-105.274166,80302,c:61783,Boulder,Boulder CO 80302,Standing Cloud,1,1/1/2009,Still Operating,1/1/2009,6/21/2012,0,3.4712,0,1.9123,4,5,10000003,2,CO,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:61783,1,0,1,1,0,0,1.5,1,acquired,standing cloud,Standing Cloud provides app management services that facilitate cloud service providers in deploying and managing their apps.,Standing Cloud
853,IL,41.916619,-87.686634,60647,c:10199,Chicago,Chicago IL 60647,Where I've Been,1,6/8/2007,Still Operating,3/15/2008,4/15/2010,0.7699,2.8548,-0.4329,2.8521,3,2,1750000,2,IL,0,0,0,0,1,travel,0,0,0,0,0,0,0,0,0,1,c:10199,1,1,0,0,0,0,1,1,acquired,where i've been,Where I've Been is a personalized and interactive world map that lets users share their travels.,Where I've Been
854,CA,37.779281,-122.419236,94103,c:37304,San Francisco,San Francisco CA 94103,HipChat,1,9/1/2009,Still Operating,8/10/2010,8/10/2010,0.9397,0.9397,1.4959,3.8164,4,1,100000,2,CA,1,0,0,0,0,messaging,0,0,0,0,0,0,0,0,0,1,c:37304,0,1,0,0,0,0,3,1,acquired,hipchat,HipChat is a private group chat and IM network that provides real-time collaboration features for companies and teams.,HipChat
855,CA,37.441537,-122.158332,94301,c:179507,Palo Alto,Palo Alto CA 94301,ScaleIO,1,1/1/2011,Still Operating,12/4/2012,12/4/2012,1.926,1.926,1.6685,2.4658,1,1,12000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:179507,1,0,0,0,0,0,2,1,acquired,scaleio,"ScaleIO develops ECS, a solution for data centers to cut storage costs and streamline storage operations.",ScaleIO
856,NY,40.730646,-73.986614,10010,c:55122,New York,New York NY 10010,GroupMe,1,5/1/2010,Still Operating,8/25/2010,1/4/2011,0.3178,0.6795,0.7945,2.8521,16,2,11450000,3,NY,0,1,0,0,0,messaging,0,0,0,0,0,0,0,0,0,1,c:55122,0,1,0,1,0,0,8.5,1,acquired,groupme,"GroupMe is a group mobile messaging service for finding, planning and purchasing group activities.",GroupMe
857,CA,37.7611016,-122.4160008,94110,c:11498,San Francisco,San Francisco CA 94110,WeAre.Us,0,12/1/2007,4/23/2012,8/1/2008,8/1/2008,0.6685,0.6685,-0.9151,0.863,7,1,50000,2,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:11498,0,1,0,0,0,0,3,0,closed,weare.us,WeAre.Us is a California-based IT company providing a social support network.,WeAre.Us
858,CA,37.381876,-121.95993,95054,c:16134,Santa Clara,Santa Clara CA 95054,Kickfire,0,1/1/2006,6/17/2010,7/31/2008,7/31/2008,2.5808,2.5808,3.0027,4.6082,4,1,20000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16134,0,0,0,1,0,0,4,1,closed,kickfire,"KickFire, the leader in IP address intelligence, provides B2B firmographics based on IP address through its LIVE Leads, API and Prospector",Kickfire
859,TX,30.265927,-97.783642,78746,c:35511,Austin,Austin TX 78746,"LifeSize, a Division of Logitech",1,1/1/2003,Still Operating,12/19/2005,9/18/2006,2.9671,3.7151,6.9671,8.3342,16,2,42500000,3,TX,0,0,0,1,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:35511,0,0,0,0,1,1,5.5,1,acquired,"lifesize, a division of logitech","Lifesize is a global innovator of video conferencing, collaboration, and meeting productivity solutions.","LifeSize, a Division of Logitech"
860,CA,33.916552,-118.397491,CA 90245,c:30152,"El Segundo,","El Segundo, CA CA 90245",CHiL Semiconductor,1,1/1/2006,Still Operating,1/1/2006,5/7/2008,0,2.3479,0,5.1616,7,3,22487000,2,CA,1,0,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,c:30152,1,0,0,1,1,0,2.3333,1,acquired,chil semiconductor,"CHiL Semiconductor designs, develops and markets intelligent mixed-signal products using digital power techniques.",CHiL Semiconductor
861,CA,37.5568425,-122.2884881,94404,c:27339,San Mateo,San Mateo CA 94404,Aptana,1,1/1/2007,Still Operating,7/14/2009,7/14/2009,2.5342,2.5342,-1.2521,4.0493,3,1,7800000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:27339,1,0,0,0,0,0,2,1,acquired,aptana,"Aptana provides a web application development, deployment and management suite for users of Ajax, Ruby on Rails and PHP web technologies.",Aptana
862,NJ,40.707045,-74.956003,8827,c:25510,Hampton,Hampton NJ 8827,Enpirion,1,1/1/2001,Still Operating,12/21/2004,3/31/2011,3.9726,10.2493,3,3,8,4,59000000,1,NJ,0,0,0,0,1,semiconductor,0,0,0,0,0,0,0,0,0,1,c:25510,0,0,0,1,1,0,6,1,acquired,enpirion,Enpirion is an analog semiconductor company offering highly integrated power management solutions.,Enpirion
863,ID,43.493525,-112.040092,83402,c:33519,Idaho Falls,Idaho Falls ID 83402,RFinity,0,10/1/2008,6/1/2013,2/1/2011,2/1/2011,2.337,2.337,0.5808,2.3726,5,1,4000000,4,ID,0,0,0,0,1,mobile,0,0,1,0,0,0,0,0,0,0,c:33519,0,0,1,0,0,0,1,1,closed,rfinity,"RFinity develops person-to-person, cell phone-based payment and identification apps to facilitate financial transactions.",RFinity
864,CA,32.901049,-117.192656,92121,c:42223,San Diego,San Diego CA 92121,ecoATM,1,8/2/2008,Still Operating,2/17/2010,2/6/2013,1.5452,4.5178,1.663,4.9178,6,4,71400000,3,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:42223,1,0,1,0,0,0,2.6667,1,acquired,ecoatm,ecoATM is an e-waste recycling company. ecoATM kiosks evaluate and purchase used electronics from consumers for cash or store credit.,ecoATM
865,CA,37.779281,-122.419236,94103,c:42497,San Francisco,San Francisco CA 94103,Adura Technologies,1,1/1/2008,Still Operating,10/16/2008,4/26/2012,0.7918,4.3205,3.9753,3.9753,5,3,25500000,1,CA,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,c:42497,0,0,1,1,0,0,2.6667,1,acquired,adura technologies,Adura Technologies develops enabling technologies for commercial building lighting control and energy management.,Adura Technologies
866,CA,39.78373,-100.445882,94040-2573,c:15123,Mountain View,Mountain View CA 94040-2573,Rhythm NewMedia,1,1/1/2005,Still Operating,11/10/2010,9/11/2012,5.8603,7.6986,5.8603,7.6712,28,4,28932322,3,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:15123,1,0,0,0,1,0,2.6667,1,acquired,rhythm newmedia,"Rhythm sells and serves video, rich media and other immersive advertising formats to connect brand advertisers with mobile audiences.",Rhythm NewMedia
867,CA,37.775196,-122.419204,94105,c:23588,San Francisco,San Francisco CA 94105,Topsy Labs,1,1/15/2007,Still Operating,1/1/2008,10/1/2012,0.9616,5.7151,6.0438,6.8849,18,6,35200000,3,CA,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,c:23588,1,0,1,1,1,0,2.3333,1,acquired,topsy labs,"Topsy, a social analytics company, provides instant answers to critical business questions via real-time analysis of public conversations.",Topsy Labs
868,MA,42.504817,-71.195611,1803,c:38273,Burlington,Burlington MA 1803,Digit Wireless,0,1/1/2000,1/1/2012,3/14/2005,2/11/2008,5.2027,8.1178,8.0055,8.0055,2,2,10000000,1,MA,0,0,1,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,c:38273,1,0,0,0,1,0,2.5,1,closed,digit wireless,"Digit Wireless offers Fastap, a keypad technology solution that enhances handheld device features.",Digit Wireless
869,CA,37.4280877,-122.143368,94025,c:15018,Menlo Park,Menlo Park CA 94025,Silver Tail Systems,1,1/8/2008,Still Operating,9/26/2008,9/22/2011,0.7178,3.7068,0.537,3.6274,11,3,22100000,4,CA,1,0,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,c:15018,1,0,1,1,0,0,2.6667,1,acquired,silver tail systems,Silver Tail Systems employs web session intelligence and real-time behavioral analytics to detect and prevent fraud and abuse on websites.,Silver Tail Systems
870,MA,42.485093,-71.43284,1720,c:37335,Acton,Acton MA 1720,Tatara Systems,1,1/1/2001,Still Operating,1/20/2004,6/22/2010,3.0521,9.4767,1,1,4,5,33000000,1,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:37335,1,0,0,1,1,1,2,1,acquired,tatara systems,"Tatara Systems invents, develops and deploys convergence products for mobile operators and service providers.",Tatara Systems
871,CA,37.400115,-122.052208,94303,c:31559,Mountain View,Mountain View CA 94303,Reliant Technologies,1,1/1/2001,Still Operating,4/19/2007,4/19/2007,6.2986,6.2986,6.0027,6.0027,9,1,15000000,1,CA,1,0,0,0,0,biotech,0,0,0,0,0,0,0,1,0,0,c:31559,0,0,0,0,0,0,3,1,acquired,reliant technologies,"Reliant Technologies, LLC develops aesthetic clinical solutions to rejuvenate aging and environmentally damaged skin.",Reliant Technologies
872,CA,37.2624049,-121.9577052,95008,c:9665,Campbell,Campbell CA 95008,Atrua Technologies,1,1/1/2000,Still Operating,12/7/2006,2/25/2009,6.937,9.1589,6.0055,6.0055,6,3,13000000,1,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:9665,0,0,0,0,0,1,3,1,acquired,atrua technologies,Atrua Technology is a high-tech provider of intelligent touch control solutions.,Atrua Technologies
873,CA,37.293687,-121.934573,95008,c:18163,Campbell,Campbell CA 95008,Casabi,1,1/1/2004,Still Operating,12/19/2005,3/12/2007,1.9671,3.1945,2.2493,2.2493,5,2,12800000,1,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:18163,0,0,1,1,0,0,2.5,1,acquired,casabi,Casabi provides a solution that enables carriers to deliver web-based content or services for cordless phones and other smart devices.,Casabi
874,NY,40.73901,-73.997259,10011,c:14345,New York,New York NY 10011,Peek & Co,0,11/1/2007,2/22/2013,1/1/2008,8/12/2011,0.1671,3.7808,3.8356,6.1178,6,2,626096,3,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:14345,1,0,1,0,0,0,1,1,closed,peek & co,"Peek made a simple smartphone. The software platform for smart apps on low-cost hardware is now part of Softbank, Viber and Twitter",Peek & Co
875,MA,42.3751,-71.105616,2139,c:33416,Cambridge,Cambridge MA 2139,Bluefin Labs,1,6/1/2008,Still Operating,4/1/2008,1/24/2012,-0.1671,3.6493,4.1507,4.6849,12,4,20350000,3,MA,0,0,1,0,0,analytics,0,0,0,0,0,0,0,0,0,1,c:33416,0,1,1,1,0,0,3.75,1,acquired,bluefin labs,"Bluefin Labs is a social TV analytics company providing solutions to brand advertisers, advertising agencies and TV networks.",Bluefin Labs
876,CA,37.404788,-121.940842,95134,c:40147,San Jose,San Jose CA 95134,C2 Microsystems,0,1/1/2004,11/5/2012,10/12/2009,10/12/2009,5.7836,5.7836,2.0027,2.0027,1,1,10000000,1,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:40147,1,0,0,0,0,0,3,1,closed,c2 microsystems,C2 Microsystems develops media processor devices for the broadband delivery of rich media content via internet and private networks.,C2 Microsystems
